sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-10T14:05:26.042+0200,21.15356818,42.64897219,18.94
2017-06-10T14:05:27.149+0200,21.15356818,42.64897219,18.76
2017-06-10T14:05:28.326+0200,21.15356818,42.64897219,18.85
2017-06-10T14:05:29.501+0200,21.15356818,42.64897219,18.57
2017-06-10T14:05:30.630+0200,21.15356818,42.64897219,17.58
2017-06-10T14:05:31.880+0200,21.15356818,42.64897219,18.48
2017-06-10T14:05:32.992+0200,21.15356818,42.64897219,20.61
2017-06-10T14:05:34.185+0200,21.15356818,42.64897219,19.91
2017-06-10T14:05:35.319+0200,21.15356818,42.64897219,20.2
2017-06-10T14:05:36.492+0200,21.15356818,42.64897219,20.1
2017-06-10T14:05:37.654+0200,21.15356818,42.64897219,20.01
2017-06-10T14:05:38.834+0200,21.15356818,42.64897219,19.61
2017-06-10T14:05:39.989+0200,21.15356818,42.64897219,19.71
2017-06-10T14:05:41.179+0200,21.15356818,42.64897219,19.13
2017-06-10T14:05:42.329+0200,21.15356818,42.64897219,18.57
2017-06-10T14:05:43.468+0200,21.15356818,42.64897219,19.42
2017-06-10T14:05:44.632+0200,21.15356818,42.64897219,19.71
2017-06-10T14:05:45.838+0200,21.15356818,42.64897219,21.03
2017-06-10T14:05:46.957+0200,21.15356818,42.64897219,22.33
2017-06-10T14:05:48.179+0200,21.15343455,42.64906974,24.58
2017-06-10T14:05:49.347+0200,21.15347819,42.64907526,24.58
2017-06-10T14:05:50.495+0200,21.1534698,42.64905648,24.21
2017-06-10T14:05:51.662+0200,21.1534908,42.64903298,24.46
2017-06-10T14:05:52.834+0200,21.1534969,42.64901892,25.6
2017-06-10T14:05:54.028+0200,21.15350499,42.64900868,24.83
2017-06-10T14:05:55.168+0200,21.15351127,42.64900594,26.13
2017-06-10T14:05:56.297+0200,21.15352078,42.64899447,26.27
2017-06-10T14:05:57.512+0200,21.15352568,42.64899522,23.01
2017-06-10T14:05:58.668+0200,21.15352033,42.6489984,22.33
2017-06-10T14:05:59.878+0200,21.15351784,42.64899924,22.22
2017-06-10T14:06:00.996+0200,21.15351653,42.64899859,21.67
2017-06-10T14:06:02.161+0200,21.15351608,42.64900073,20.92
2017-06-10T14:06:03.313+0200,21.1535158,42.64900057,22.9
2017-06-10T14:06:04.490+0200,21.15351595,42.64900054,21.56
2017-06-10T14:06:05.725+0200,21.15351604,42.64900046,20.82
2017-06-10T14:06:06.826+0200,21.153516,42.64900008,21.34
2017-06-10T14:06:07.997+0200,21.15351606,42.64899783,20.31
2017-06-10T14:06:09.164+0200,21.15351583,42.64899235,19.81
2017-06-10T14:06:10.323+0200,21.15351585,42.64899235,19.91
2017-06-10T14:06:11.575+0200,21.15351579,42.6489921,21.34
2017-06-10T14:06:12.642+0200,21.15351559,42.64898956,20.61
2017-06-10T14:06:13.844+0200,21.15351549,42.64898829,20.82
2017-06-10T14:06:15.013+0200,21.15351546,42.64898769,20.82
2017-06-10T14:06:16.162+0200,21.15351548,42.64898765,19.71
2017-06-10T14:06:17.313+0200,21.15351548,42.64898756,19.51
2017-06-10T14:06:18.504+0200,21.1535155,42.64898757,18.94
2017-06-10T14:06:19.649+0200,21.15351548,42.64898742,19.51
2017-06-10T14:06:20.817+0200,21.15351548,42.64898735,19.81
2017-06-10T14:06:21.962+0200,21.15351541,42.64898723,20.1
2017-06-10T14:06:23.159+0200,21.15351541,42.64898713,20.61
2017-06-10T14:06:24.321+0200,21.15351539,42.64898693,20.92
2017-06-10T14:06:25.542+0200,21.1535154,42.64898694,20.1
2017-06-10T14:06:26.647+0200,21.15351535,42.64898682,20.92
2017-06-10T14:06:27.849+0200,21.15351529,42.64898673,19.91
2017-06-10T14:06:29.002+0200,21.15351514,42.64898674,18.94
2017-06-10T14:06:30.157+0200,21.15351508,42.64898663,19.13
2017-06-10T14:06:31.328+0200,21.15351497,42.64898659,19.32
2017-06-10T14:06:32.499+0200,21.15351485,42.64898641,19.32
2017-06-10T14:06:33.637+0200,21.15351488,42.6489863,19.23
2017-06-10T14:06:34.824+0200,21.15351482,42.64898622,21.24
2017-06-10T14:06:36.006+0200,21.15351462,42.64898633,20.51
2017-06-10T14:06:37.154+0200,21.15351457,42.64898608,19.91
2017-06-10T14:06:38.314+0200,21.15351454,42.64898601,19.42
2017-06-10T14:06:39.496+0200,21.15351453,42.64898598,19.32
2017-06-10T14:06:40.625+0200,21.15351454,42.64898594,19.04
2017-06-10T14:06:41.859+0200,21.15351442,42.64898597,18.3
2017-06-10T14:06:42.979+0200,21.15351427,42.64898599,18.48
2017-06-10T14:06:44.148+0200,21.1535141,42.64898603,19.81
2017-06-10T14:06:45.293+0200,21.15351401,42.64898597,20.71
2017-06-10T14:06:46.500+0200,21.15351396,42.64898596,20.31
2017-06-10T14:06:47.643+0200,21.15351393,42.64898605,19.42
2017-06-10T14:06:48.832+0200,21.15351386,42.64898601,18.76
2017-06-10T14:06:49.979+0200,21.15351383,42.64898582,18.03
2017-06-10T14:06:51.158+0200,21.15351379,42.64898568,18.03
2017-06-10T14:06:52.300+0200,21.15351377,42.64898575,18.12
