sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-10T15:10:50.695+0200,21.15349631,42.64892129,17.76
2017-06-10T15:10:51.908+0200,21.153492,42.64891951,18.12
2017-06-10T15:10:53.016+0200,21.15348923,42.64892451,18.03
2017-06-10T15:10:54.220+0200,21.15348409,42.64892102,17.24
2017-06-10T15:10:55.376+0200,21.15348406,42.64891805,16.56
2017-06-10T15:10:56.532+0200,21.15348814,42.64892099,16.81
2017-06-10T15:10:57.706+0200,21.15348654,42.64892308,16.9
2017-06-10T15:10:58.883+0200,21.15348376,42.64892329,17.58
2017-06-10T15:11:00.002+0200,21.15348431,42.64892576,18.03
2017-06-10T15:11:01.190+0200,21.15348504,42.64892844,18.12
2017-06-10T15:11:02.409+0200,21.15348655,42.64893038,18.94
2017-06-10T15:11:03.581+0200,21.15348452,42.64893675,20.01
2017-06-10T15:11:04.690+0200,21.15348356,42.64893765,20.92
2017-06-10T15:11:05.852+0200,21.15348338,42.64893743,19.81
2017-06-10T15:11:07.042+0200,21.15348342,42.64893744,20.01
2017-06-10T15:11:08.247+0200,21.15348328,42.64893748,22.1
2017-06-10T15:11:09.401+0200,21.15348328,42.64893748,22.22
2017-06-10T15:11:10.528+0200,21.15348332,42.64893747,22.33
2017-06-10T15:11:11.691+0200,21.15348335,42.64893745,21.99
2017-06-10T15:11:12.891+0200,21.15348336,42.64893742,21.45
2017-06-10T15:11:14.026+0200,21.15348336,42.64893742,22.1
2017-06-10T15:11:15.181+0200,21.15348336,42.64893741,20.92
2017-06-10T15:11:16.376+0200,21.15348339,42.6489374,21.77
2017-06-10T15:11:17.521+0200,21.15348347,42.64893741,21.56
2017-06-10T15:11:18.665+0200,21.15348349,42.64893739,21.67
2017-06-10T15:11:19.876+0200,21.15348354,42.64893739,24.33
2017-06-10T15:11:21.021+0200,21.1534836,42.6489374,25.09
2017-06-10T15:11:22.201+0200,21.1534836,42.6489374,25.74
2017-06-10T15:11:23.366+0200,21.15348359,42.64893738,26.27
2017-06-10T15:11:24.533+0200,21.15348358,42.64893737,24.33
2017-06-10T15:11:25.742+0200,21.15348355,42.64893738,23.96
2017-06-10T15:11:26.873+0200,21.15348354,42.6489374,23.6
2017-06-10T15:11:28.003+0200,21.15348353,42.64893741,23.01
2017-06-10T15:11:29.219+0200,21.15348351,42.64893742,23.13
2017-06-10T15:11:30.365+0200,21.15348349,42.64893742,22.67
2017-06-10T15:11:31.544+0200,21.15348343,42.64893742,21.88
2017-06-10T15:11:32.662+0200,21.15348342,42.64893742,21.45
2017-06-10T15:11:33.896+0200,21.15348345,42.64893742,21.45
2017-06-10T15:11:35.063+0200,21.15348346,42.64893742,20.1
2017-06-10T15:11:36.206+0200,21.15348349,42.64893744,19.81
2017-06-10T15:11:37.391+0200,21.15348349,42.64893745,19.91
2017-06-10T15:11:38.526+0200,21.15348346,42.64893746,19.91
2017-06-10T15:11:39.666+0200,21.15348346,42.6489375,20.82
2017-06-10T15:11:40.917+0200,21.15348348,42.64893749,20.1
2017-06-10T15:11:42.061+0200,21.1534835,42.64893747,20.71
2017-06-10T15:11:43.241+0200,21.15348349,42.64893749,21.45
2017-06-10T15:11:44.342+0200,21.15348347,42.64893749,21.56
2017-06-10T15:11:45.523+0200,21.15348346,42.64893752,21.45
2017-06-10T15:11:46.763+0200,21.15348346,42.64893751,20.92
2017-06-10T15:11:47.900+0200,21.15348345,42.64893747,21.99
2017-06-10T15:11:49.013+0200,21.15348346,42.64893744,23.13
2017-06-10T15:11:50.209+0200,21.15348345,42.64893742,21.88
2017-06-10T15:11:51.351+0200,21.15348345,42.64893741,20.41
2017-06-10T15:11:52.614+0200,21.15348346,42.64893738,21.24
2017-06-10T15:11:53.656+0200,21.15348346,42.64893737,20.71
2017-06-10T15:11:54.887+0200,21.15348345,42.64893737,19.61
