sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-16T00:15:50.136+0200,21.05887365,42.67728401,23.13
2017-06-16T00:15:51.291+0200,21.05887369,42.67728693,23.48
2017-06-16T00:15:52.445+0200,21.05887402,42.67728608,23.25
2017-06-16T00:15:53.625+0200,21.05887514,42.67728579,22.67
2017-06-16T00:15:54.772+0200,21.05887375,42.67728311,22.55
2017-06-16T00:15:55.984+0200,21.05887706,42.67727412,23.01
2017-06-16T00:15:57.120+0200,21.05887402,42.67726787,22.44
2017-06-16T00:15:58.282+0200,21.05887515,42.67726708,22.55
2017-06-16T00:15:59.435+0200,21.05886883,42.67727898,22.78
2017-06-16T00:16:00.644+0200,21.05886777,42.67728229,22.44
2017-06-16T00:16:01.761+0200,21.05886253,42.67728461,22.1
2017-06-16T00:16:02.940+0200,21.05886113,42.677286,22.1
2017-06-16T00:16:04.117+0200,21.05886259,42.67730997,20.01
2017-06-16T00:16:05.296+0200,21.05888408,42.67733136,20.31
2017-06-16T00:16:06.487+0200,21.05889686,42.67737416,20.51
2017-06-16T00:16:07.630+0200,21.05892395,42.67741545,20.2
2017-06-16T00:16:08.794+0200,21.05895824,42.67745935,21.34
2017-06-16T00:16:09.945+0200,21.05902837,42.67756629,21.67
2017-06-16T00:16:11.120+0200,21.05906973,42.67761112,22.67
2017-06-16T00:16:12.263+0200,21.05912028,42.67765546,21.03
2017-06-16T00:16:13.439+0200,21.05915678,42.67774315,21.67
2017-06-16T00:16:14.625+0200,21.05921994,42.67781043,20.31
2017-06-16T00:16:15.763+0200,21.05927321,42.67790027,19.32
2017-06-16T00:16:16.991+0200,21.05937281,42.67806647,18.85
2017-06-16T00:16:18.115+0200,21.05943393,42.67814485,18.94
2017-06-16T00:16:19.291+0200,21.05950069,42.67823098,20.1
2017-06-16T00:16:20.430+0200,21.0595682,42.67832344,20.51
2017-06-16T00:16:21.601+0200,21.05963285,42.6784143,20.92
2017-06-16T00:16:22.796+0200,21.0596946,42.6785092,20.51
2017-06-16T00:16:23.987+0200,21.05983257,42.6787147,21.67
2017-06-16T00:16:25.106+0200,21.05990305,42.67881938,21.99
2017-06-16T00:16:26.272+0200,21.0599719,42.67892168,22.22
2017-06-16T00:16:27.487+0200,21.0600495,42.67900864,22.1
2017-06-16T00:16:28.610+0200,21.06012344,42.67910361,20.92
2017-06-16T00:16:29.768+0200,21.06018804,42.67920538,20.41
2017-06-16T00:16:30.948+0200,21.06033536,42.67940835,21.24
2017-06-16T00:16:32.100+0200,21.06042547,42.67951043,21.56
2017-06-16T00:16:33.278+0200,21.06051789,42.67960776,21.13
2017-06-16T00:16:34.432+0200,21.06061655,42.67971304,20.61
2017-06-16T00:16:35.635+0200,21.06070993,42.67981844,21.03
2017-06-16T00:16:36.785+0200,21.06080608,42.67992481,20.82
2017-06-16T00:16:37.523+0200,21.0609834,42.68013725,20.71
2017-06-16T00:16:38.751+0200,21.06106749,42.68025115,20.1
2017-06-16T00:16:39.904+0200,21.06115437,42.68037011,20.01
2017-06-16T00:16:41.016+0200,21.06123824,42.68049038,20.1
2017-06-16T00:16:42.232+0200,21.06132386,42.68060904,19.81
2017-06-16T00:16:43.386+0200,21.06141325,42.68072843,19.81
2017-06-16T00:16:44.568+0200,21.06158823,42.68095922,19.61
2017-06-16T00:16:45.692+0200,21.06167911,42.68107607,18.94
2017-06-16T00:16:46.884+0200,21.061768,42.68119181,18.66
2017-06-16T00:16:48.010+0200,21.06185125,42.68130527,18.85
2017-06-16T00:16:49.208+0200,21.06193659,42.68141482,20.31
2017-06-16T00:16:50.372+0200,21.06202919,42.68152986,21.13
2017-06-16T00:16:51.536+0200,21.06219705,42.68173872,20.31
2017-06-16T00:16:52.718+0200,21.0622982,42.6818646,19.23
2017-06-16T00:16:53.877+0200,21.06239771,42.68197407,18.94
2017-06-16T00:16:55.056+0200,21.06248661,42.68209604,19.04
2017-06-16T00:16:56.233+0200,21.06257375,42.68222491,18.66
2017-06-16T00:16:57.356+0200,21.06267272,42.68237129,18.76
2017-06-16T00:16:58.545+0200,21.06288639,42.68271076,18.48
2017-06-16T00:16:59.698+0200,21.0629867,42.68287559,18.48
2017-06-16T00:17:00.912+0200,21.06312834,42.6830631,18.12
2017-06-16T00:17:02.045+0200,21.06324095,42.6832304,19.91
2017-06-16T00:17:03.224+0200,21.06336318,42.68339744,20.71
2017-06-16T00:17:04.096+0200,21.06347526,42.6835631,20.31
2017-06-16T00:17:05.355+0200,21.06370028,42.68386974,19.71
2017-06-16T00:17:06.419+0200,21.06377928,42.68401088,19.04
2017-06-16T00:17:07.597+0200,21.06385833,42.6841475,19.32
2017-06-16T00:17:08.763+0200,21.06393269,42.68426532,18.48
2017-06-16T00:17:09.938+0200,21.06402753,42.68439698,18.57
2017-06-16T00:17:11.069+0200,21.06411003,42.68450028,19.04
2017-06-16T00:17:12.265+0200,21.06425839,42.68473835,18.12
2017-06-16T00:17:13.410+0200,21.06433346,42.68483833,17.76
2017-06-16T00:17:14.649+0200,21.06443463,42.68493291,18.48
2017-06-16T00:17:15.755+0200,21.06453739,42.68501651,18.57
2017-06-16T00:17:16.923+0200,21.06465093,42.68511541,18.39
2017-06-16T00:17:18.126+0200,21.06476982,42.68519806,18.3
2017-06-16T00:17:19.270+0200,21.06495778,42.68535589,18.3
2017-06-16T00:17:20.440+0200,21.06501476,42.6853857,17.94
2017-06-16T00:17:21.633+0200,21.06503793,42.68540623,17.76
2017-06-16T00:17:22.769+0200,21.06507044,42.68542627,18.3
2017-06-16T00:17:23.924+0200,21.0650778,42.68543811,18.66
2017-06-16T00:17:25.190+0200,21.06508068,42.68544832,19.91
2017-06-16T00:17:26.396+0200,21.06509387,42.68545676,19.42
2017-06-16T00:17:27.547+0200,21.06509123,42.68545512,18.85
2017-06-16T00:17:28.739+0200,21.06508717,42.68544406,18.39
2017-06-16T00:17:29.866+0200,21.06508466,42.6854324,17.67
2017-06-16T00:17:31.047+0200,21.06509323,42.6854218,17.41
2017-06-16T00:17:32.207+0200,21.06508773,42.68543602,16.9
2017-06-16T00:17:33.401+0200,21.06509273,42.68544221,17.76
2017-06-16T00:17:34.587+0200,21.06508866,42.68543917,18.12
2017-06-16T00:17:35.707+0200,21.06512631,42.68542994,18.39
2017-06-16T00:17:36.870+0200,21.06514326,42.68540887,18.03
2017-06-16T00:17:38.042+0200,21.06514987,42.68539503,18.12
2017-06-16T00:17:39.226+0200,21.06516415,42.68536667,19.91
2017-06-16T00:17:40.453+0200,21.06521142,42.68530173,21.56
2017-06-16T00:17:41.545+0200,21.06525015,42.68526274,23.36
2017-06-16T00:17:42.740+0200,21.06528368,42.68522066,26.0
2017-06-16T00:17:43.920+0200,21.06531421,42.68517804,32.81
2017-06-16T00:17:45.046+0200,21.06534675,42.68513336,38.91
2017-06-16T00:17:46.285+0200,21.0653819,42.68509491,45.97
2017-06-16T00:17:47.373+0200,21.0654162,42.68504429,53.2
2017-06-16T00:17:48.540+0200,21.06542367,42.68502853,59.77
2017-06-16T00:17:49.713+0200,21.06541085,42.68503818,63.09
2017-06-16T00:17:50.885+0200,21.06540821,42.68503242,65.65
2017-06-16T00:17:52.135+0200,21.06540914,42.68503142,65.07
2017-06-16T00:17:53.182+0200,21.06540425,42.6850278,72.13
2017-06-16T00:17:54.394+0200,21.06541196,42.6850328,78.92
2017-06-16T00:17:55.520+0200,21.0654177,42.6850366,84.04
2017-06-16T00:17:56.682+0200,21.06541246,42.68503411,87.33
2017-06-16T00:17:57.843+0200,21.06541351,42.68503379,97.23
2017-06-16T00:17:59.041+0200,21.06541306,42.68503473,101.14
2017-06-16T00:18:00.203+0200,21.06541182,42.68503579,103.31
2017-06-16T00:18:01.384+0200,21.06540987,42.68503641,113.5
2017-06-16T00:18:02.536+0200,21.06540886,42.6850359,118.69
2017-06-16T00:18:03.714+0200,21.06540969,42.68503569,114.29
2017-06-16T00:18:04.900+0200,21.06540974,42.68503548,119.1
2017-06-16T00:18:06.068+0200,21.06540988,42.6850362,129.79
2017-06-16T00:18:07.212+0200,21.06540998,42.68503649,137.7
2017-06-16T00:18:08.372+0200,21.06541016,42.68503642,140.14
2017-06-16T00:18:09.536+0200,21.06541042,42.68503639,143.16
2017-06-16T00:18:10.724+0200,21.06541048,42.68503634,155.67
2017-06-16T00:18:11.888+0200,21.06541085,42.68503631,148.95
2017-06-16T00:18:13.050+0200,21.06541116,42.6850363,158.02
2017-06-16T00:18:14.177+0200,21.06541118,42.68503634,155.1
2017-06-16T00:18:15.352+0200,21.06541119,42.68503638,156.25
2017-06-16T00:18:16.540+0200,21.06541122,42.68503638,148.41
2017-06-16T00:18:17.715+0200,21.06541121,42.68503642,155.1
2017-06-16T00:18:18.923+0200,21.06541118,42.68503644,164.8
2017-06-16T00:18:20.027+0200,21.06541121,42.68503644,159.83
2017-06-16T00:18:21.208+0200,21.06541122,42.68503644,156.25
