sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-23T00:16:16.084+0200,21.10426373,42.67606644,26.81
2017-06-23T00:16:17.313+0200,21.10419729,42.67607311,26.68
2017-06-23T00:16:18.459+0200,21.10414008,42.6760847,25.34
2017-06-23T00:16:19.651+0200,21.10410344,42.67609409,25.6
2017-06-23T00:16:20.821+0200,21.10409856,42.67609738,26.4
2017-06-23T00:16:21.977+0200,21.10409881,42.67609965,26.81
2017-06-23T00:16:23.124+0200,21.1040974,42.67610253,25.87
2017-06-23T00:16:24.305+0200,21.10409609,42.67610325,24.83
2017-06-23T00:16:25.447+0200,21.10409911,42.67610552,24.46
2017-06-23T00:16:26.672+0200,21.10410413,42.67610699,26.0
2017-06-23T00:16:27.793+0200,21.10410212,42.67610797,25.34
2017-06-23T00:16:28.968+0200,21.1041004,42.67611009,23.96
2017-06-23T00:16:30.121+0200,21.10409965,42.67611073,23.01
2017-06-23T00:16:31.301+0200,21.10409787,42.67611161,22.55
2017-06-23T00:16:32.522+0200,21.10409733,42.67611217,24.58
2017-06-23T00:16:33.626+0200,21.10409718,42.67611233,23.6
2017-06-23T00:16:34.806+0200,21.10409686,42.67611253,22.22
2017-06-23T00:16:35.963+0200,21.10409679,42.67611254,20.41
2017-06-23T00:16:37.133+0200,21.10409673,42.67611256,21.03
2017-06-23T00:16:38.372+0200,21.10409667,42.67611257,21.13
2017-06-23T00:16:39.433+0200,21.10409661,42.67611259,21.24
2017-06-23T00:16:40.673+0200,21.10409658,42.67611261,21.77
2017-06-23T00:16:41.821+0200,21.10409643,42.6761127,21.45
2017-06-23T00:16:42.973+0200,21.10409638,42.67611274,23.13
2017-06-23T00:16:44.221+0200,21.10409636,42.67611276,23.13
2017-06-23T00:16:45.326+0200,21.10409632,42.67611275,23.25
2017-06-23T00:16:46.426+0200,21.10409626,42.67611275,24.83
2017-06-23T00:16:47.647+0200,21.10409621,42.67611273,25.47
2017-06-23T00:16:48.795+0200,21.10409618,42.67611279,27.51
2017-06-23T00:16:50.070+0200,21.10409617,42.6761128,26.0
2017-06-23T00:16:51.097+0200,21.10409615,42.67611278,25.34
2017-06-23T00:16:52.298+0200,21.10409612,42.67611278,23.96
2017-06-23T00:16:53.443+0200,21.10409608,42.67611278,24.46
2017-06-23T00:16:54.621+0200,21.10409607,42.67611275,24.83
2017-06-23T00:16:55.786+0200,21.10409604,42.67611277,23.48
2017-06-23T00:16:56.975+0200,21.10409605,42.67611275,23.48
2017-06-23T00:16:58.122+0200,21.10409602,42.67611272,23.84
2017-06-23T00:16:59.284+0200,21.10409601,42.67611272,25.21
2017-06-23T00:17:00.429+0200,21.104096,42.67611273,26.27
2017-06-23T00:17:01.652+0200,21.10409596,42.67611274,24.96
2017-06-23T00:17:02.802+0200,21.10409591,42.67611274,25.74
2017-06-23T00:17:03.957+0200,21.1040959,42.67611274,26.13
2017-06-23T00:17:05.161+0200,21.10408786,42.67611473,24.96
2017-06-23T00:17:06.311+0200,21.10406126,42.67611941,25.6
2017-06-23T00:17:07.443+0200,21.10400712,42.67612323,22.67
2017-06-23T00:17:08.625+0200,21.10394491,42.67613543,23.96
2017-06-23T00:17:09.798+0200,21.10379846,42.67617496,26.0
2017-06-23T00:17:10.956+0200,21.10370057,42.67620226,26.68
2017-06-23T00:17:12.111+0200,21.10359032,42.67623615,26.54
2017-06-23T00:17:13.282+0200,21.10347493,42.67626655,25.87
2017-06-23T00:17:14.491+0200,21.10335469,42.67629607,25.47
2017-06-23T00:17:15.630+0200,21.10323193,42.67633132,26.13
2017-06-23T00:17:16.791+0200,21.10295945,42.6764022,28.09
2017-06-23T00:17:17.958+0200,21.10281201,42.67644167,27.23
2017-06-23T00:17:19.116+0200,21.10265845,42.67647666,28.67
2017-06-23T00:17:20.317+0200,21.10250122,42.67652121,29.27
