sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-06T13:54:12.502+0200,21.08960778,42.63661898,13.42
2017-06-06T13:54:13.627+0200,21.08959397,42.63662326,13.34
2017-06-06T13:54:14.643+0200,21.08958481,42.63663521,13.05
2017-06-06T13:54:16.143+0200,21.08958073,42.63664405,13.34
2017-06-06T13:54:17.040+0200,21.08957986,42.63665508,13.57
2017-06-06T13:54:17.962+0200,21.08957986,42.63665508,14.18
2017-06-06T13:54:19.013+0200,21.08958439,42.63666812,15.26
2017-06-06T13:54:20.187+0200,21.08958898,42.63669532,15.42
2017-06-06T13:54:21.871+0200,21.08958367,42.63670969,15.58
2017-06-06T13:54:23.121+0200,21.08956676,42.63672956,15.03
2017-06-06T13:54:24.387+0200,21.08955676,42.63673783,15.42
2017-06-06T13:54:25.637+0200,21.08954795,42.63675136,15.66
2017-06-06T13:54:26.398+0200,21.08954069,42.63676423,15.34
2017-06-06T13:54:27.583+0200,21.08953362,42.63677678,15.34
2017-06-06T13:54:28.367+0200,21.08952674,42.63678889,16.31
2017-06-06T13:54:29.514+0200,21.08951936,42.63680398,17.07
2017-06-06T13:54:30.873+0200,21.08950908,42.63681747,17.41
2017-06-06T13:54:31.936+0200,21.08950335,42.63683257,17.15
2017-06-06T13:54:33.263+0200,21.08949329,42.63685872,16.64
2017-06-06T13:54:34.767+0200,21.08948317,42.63686946,16.56
2017-06-06T13:54:35.877+0200,21.08947802,42.63688089,16.31
2017-06-06T13:54:36.898+0200,21.08947403,42.63689768,16.73
2017-06-06T13:54:37.684+0200,21.08947081,42.63690876,16.48
2017-06-06T13:54:38.873+0200,21.0894678,42.63692101,16.23
2017-06-06T13:54:40.003+0200,21.08946181,42.6369325,16.64
2017-06-06T13:54:41.195+0200,21.08944842,42.63695071,16.15
2017-06-06T13:54:42.353+0200,21.08944284,42.63696637,16.23
2017-06-06T13:54:43.533+0200,21.08943481,42.63697859,16.23
2017-06-06T13:54:44.678+0200,21.08942552,42.63698968,15.98
2017-06-06T13:54:45.874+0200,21.08941532,42.63699857,15.34
2017-06-06T13:54:47.058+0200,21.08940312,42.63702682,14.95
2017-06-06T13:54:48.207+0200,21.08939942,42.63703976,14.87
2017-06-06T13:54:49.365+0200,21.08939415,42.63705318,15.03
2017-06-06T13:54:50.527+0200,21.08938803,42.6370646,14.87
2017-06-06T13:54:51.674+0200,21.08938328,42.63707678,15.66
2017-06-06T13:54:52.899+0200,21.08937965,42.63709015,16.39
2017-06-06T13:54:53.990+0200,21.08937312,42.63710388,16.48
2017-06-06T13:54:55.238+0200,21.08936013,42.63713045,17.41
2017-06-06T13:54:56.338+0200,21.08935596,42.63714379,16.07
2017-06-06T13:54:57.535+0200,21.08934859,42.63715342,16.9
2017-06-06T13:54:58.691+0200,21.08934186,42.63717015,17.41
2017-06-06T13:54:59.827+0200,21.08933495,42.63718263,18.66
2017-06-06T13:55:01.037+0200,21.08932777,42.63720561,18.94
2017-06-06T13:55:02.188+0200,21.08932632,42.6372146,19.61
2017-06-06T13:55:03.344+0200,21.08932104,42.63722403,19.81
2017-06-06T13:55:04.497+0200,21.08931198,42.6372351,19.51
2017-06-06T13:55:05.637+0200,21.08930337,42.63724643,19.71
2017-06-06T13:55:06.904+0200,21.08929443,42.63725548,19.42
2017-06-06T13:55:08.010+0200,21.08928706,42.63726434,18.94
2017-06-06T13:55:09.176+0200,21.08927432,42.63729096,18.3
2017-06-06T13:55:10.344+0200,21.08926741,42.637302,18.39
2017-06-06T13:55:11.517+0200,21.08926214,42.63731566,18.66
2017-06-06T13:55:12.687+0200,21.08926001,42.63732704,18.85
2017-06-06T13:55:13.862+0200,21.08925221,42.6373403,17.58
2017-06-06T13:55:14.985+0200,21.08924557,42.6373572,17.58
2017-06-06T13:55:16.172+0200,21.08923202,42.6373861,16.98
