sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-05T14:05:15.284+0200,21.09303593,42.63766265,22.44
2017-06-05T14:05:16.495+0200,21.09301829,42.63766672,22.44
2017-06-05T14:05:17.601+0200,21.09299954,42.6376752,23.48
2017-06-05T14:05:18.809+0200,21.09298851,42.6376622,23.13
2017-06-05T14:05:19.925+0200,21.09298022,42.63765258,24.33
2017-06-05T14:05:21.149+0200,21.09296395,42.63765508,22.78
2017-06-05T14:05:22.254+0200,21.09296165,42.63766128,22.67
2017-06-05T14:05:23.468+0200,21.09295527,42.63766728,21.88
2017-06-05T14:05:24.570+0200,21.09294791,42.63766007,22.1
2017-06-05T14:05:25.774+0200,21.09294791,42.63766007,21.24
2017-06-05T14:05:26.931+0200,21.09292411,42.63765526,21.88
2017-06-05T14:05:28.129+0200,21.09291653,42.63765499,24.58
2017-06-05T14:05:29.279+0200,21.092902,42.6376585,24.46
2017-06-05T14:05:30.430+0200,21.09289947,42.63764818,25.34
2017-06-05T14:05:31.584+0200,21.09288617,42.63763488,25.21
2017-06-05T14:05:32.784+0200,21.09287996,42.63764026,24.96
2017-06-05T14:05:33.945+0200,21.0928686,42.63764285,25.34
2017-06-05T14:05:35.138+0200,21.09285646,42.63764,23.48
2017-06-05T14:05:36.283+0200,21.09284746,42.63764144,23.36
2017-06-05T14:05:37.448+0200,21.09281618,42.63764852,22.1
2017-06-05T14:05:38.600+0200,21.09280634,42.63765365,21.34
2017-06-05T14:05:39.793+0200,21.0927902,42.63765479,21.24
2017-06-05T14:05:40.929+0200,21.09278442,42.63765364,20.71
2017-06-05T14:05:42.096+0200,21.09277326,42.63765156,22.22
2017-06-05T14:05:43.305+0200,21.09276805,42.63764543,22.78
2017-06-05T14:05:44.423+0200,21.09275441,42.63763988,22.67
2017-06-05T14:05:45.657+0200,21.09275894,42.63763378,22.33
2017-06-05T14:05:46.786+0200,21.09275175,42.63762414,22.33
2017-06-05T14:05:47.941+0200,21.09274264,42.63761658,21.24
2017-06-05T14:05:49.120+0200,21.09272578,42.63761288,21.77
2017-06-05T14:05:50.293+0200,21.09271813,42.63760619,23.36
2017-06-05T14:05:51.411+0200,21.09270535,42.6376006,24.58
2017-06-05T14:05:52.614+0200,21.09269941,42.63758945,24.09
2017-06-05T14:05:53.764+0200,21.09268457,42.63757073,25.47
2017-06-05T14:05:54.940+0200,21.09266901,42.6375645,25.47
2017-06-05T14:05:56.114+0200,21.09266608,42.63756948,26.68
2017-06-05T14:05:57.279+0200,21.09265844,42.63755651,26.68
2017-06-05T14:05:58.450+0200,21.09264135,42.63753791,26.13
2017-06-05T14:05:59.589+0200,21.09262169,42.63753187,25.34
2017-06-05T14:06:00.758+0200,21.09260683,42.63752105,23.84
2017-06-05T14:06:01.921+0200,21.09259207,42.63750899,22.78
2017-06-05T14:06:03.099+0200,21.09257364,42.63750041,22.22
2017-06-05T14:06:04.275+0200,21.09256194,42.63748128,23.48
2017-06-05T14:06:05.454+0200,21.09256397,42.6374642,24.58
2017-06-05T14:06:06.608+0200,21.09255677,42.63746481,23.36
2017-06-05T14:06:07.823+0200,21.09254798,42.63746524,22.67
2017-06-05T14:06:08.906+0200,21.09253406,42.63746382,21.03
2017-06-05T14:06:10.156+0200,21.09252988,42.63745655,20.61
2017-06-05T14:06:11.271+0200,21.09253028,42.63744098,21.24
2017-06-05T14:06:12.450+0200,21.0925274,42.6374367,21.77
2017-06-05T14:06:13.590+0200,21.09252567,42.6374354,22.22
2017-06-05T14:06:14.768+0200,21.0925249,42.63742828,23.96
2017-06-05T14:06:15.959+0200,21.09252559,42.63742413,23.84
2017-06-05T14:06:17.099+0200,21.09252316,42.63742108,23.25
2017-06-05T14:06:18.255+0200,21.09252193,42.63741884,24.33
2017-06-05T14:06:19.445+0200,21.09251894,42.63741588,25.21
