sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-07T10:49:21.884+0200,21.09203464,42.63726184,19.23
2017-06-07T10:49:23.033+0200,21.09203279,42.63726079,19.32
2017-06-07T10:49:24.270+0200,21.09202999,42.63726166,18.85
2017-06-07T10:49:25.373+0200,21.09203046,42.63726139,18.03
2017-06-07T10:49:26.550+0200,21.09203075,42.63726126,18.66
2017-06-07T10:49:27.715+0200,21.09203071,42.63726128,18.85
2017-06-07T10:49:28.915+0200,21.09203288,42.63725835,20.01
2017-06-07T10:49:30.046+0200,21.09200616,42.63725936,19.81
2017-06-07T10:49:31.255+0200,21.091993,42.63725292,19.13
2017-06-07T10:49:32.414+0200,21.0919687,42.63725446,18.76
2017-06-07T10:49:33.548+0200,21.09194234,42.6372413,18.76
2017-06-07T10:49:34.690+0200,21.09191842,42.63724048,18.66
2017-06-07T10:49:35.897+0200,21.09189417,42.63724502,19.23
2017-06-07T10:49:37.059+0200,21.09186668,42.63724799,19.23
2017-06-07T10:49:38.196+0200,21.09184256,42.63724877,18.94
2017-06-07T10:49:39.347+0200,21.09182606,42.63724983,18.21
2017-06-07T10:49:40.530+0200,21.09181185,42.63724489,18.57
2017-06-07T10:49:41.723+0200,21.09177452,42.6372241,19.51
2017-06-07T10:49:42.870+0200,21.09175587,42.63721895,19.71
2017-06-07T10:49:44.026+0200,21.09173089,42.63721249,20.2
2017-06-07T10:49:45.211+0200,21.09170439,42.63720302,20.82
2017-06-07T10:49:46.360+0200,21.09168269,42.63719179,19.61
2017-06-07T10:49:47.523+0200,21.09166777,42.63717982,18.57
2017-06-07T10:49:48.706+0200,21.09163832,42.63716254,19.32
2017-06-07T10:49:49.928+0200,21.09163785,42.63716312,19.13
2017-06-07T10:49:51.017+0200,21.09163545,42.63716207,18.12
2017-06-07T10:49:52.205+0200,21.0916346,42.63715027,17.94
2017-06-07T10:49:53.380+0200,21.091616,42.6371462,19.61
2017-06-07T10:49:54.553+0200,21.0915942,42.63714226,17.41
2017-06-07T10:49:55.684+0200,21.09156515,42.6371478,17.07
2017-06-07T10:49:56.855+0200,21.09154314,42.63714917,16.56
2017-06-07T10:49:58.064+0200,21.09152759,42.63714185,16.31
2017-06-07T10:49:59.215+0200,21.09151348,42.63714104,16.9
2017-06-07T10:50:00.355+0200,21.09149199,42.63713999,17.76
2017-06-07T10:50:01.589+0200,21.09147062,42.63713709,16.9
2017-06-07T10:50:02.686+0200,21.09143229,42.63713353,15.74
2017-06-07T10:50:03.869+0200,21.09143045,42.63713852,16.31
2017-06-07T10:50:05.031+0200,21.09141937,42.63713993,16.81
2017-06-07T10:50:06.195+0200,21.09140079,42.6371387,16.23
2017-06-07T10:50:07.337+0200,21.09139425,42.63713773,15.82
2017-06-07T10:50:08.530+0200,21.09137428,42.63713427,16.23
2017-06-07T10:50:09.702+0200,21.09132149,42.63712008,15.74
2017-06-07T10:50:10.877+0200,21.09131055,42.63710525,16.56
2017-06-07T10:50:12.035+0200,21.09128581,42.63710104,16.15
2017-06-07T10:50:13.185+0200,21.09126951,42.6370908,16.48
2017-06-07T10:50:14.360+0200,21.09125244,42.63708656,16.73
2017-06-07T10:50:15.523+0200,21.09124132,42.63708719,17.07
2017-06-07T10:50:16.699+0200,21.09120091,42.63707424,17.58
2017-06-07T10:50:17.878+0200,21.09117656,42.63707286,17.41
2017-06-07T10:50:19.024+0200,21.09116808,42.63706771,17.15
2017-06-07T10:50:20.181+0200,21.09114578,42.63706235,17.94
2017-06-07T10:50:21.336+0200,21.09112212,42.63705766,18.03
2017-06-07T10:50:22.560+0200,21.09110347,42.63704581,17.24
2017-06-07T10:50:23.688+0200,21.09107029,42.63703441,17.15
2017-06-07T10:50:24.865+0200,21.09105181,42.63703,17.41
2017-06-07T10:50:26.036+0200,21.09104026,42.63702035,16.31
