sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-08T13:36:47.119+0200,21.08948535,42.6369854,4.2
2017-06-08T13:36:48.264+0200,21.08948535,42.6369854,4.06
2017-06-08T13:36:49.439+0200,21.0894003,42.63705562,4.2
2017-06-08T13:36:50.612+0200,21.08940756,42.6370849,3.69
2017-06-08T13:36:51.767+0200,21.08941844,42.63709589,3.76
2017-06-08T13:36:52.945+0200,21.08940382,42.63711113,3.54
2017-06-08T13:36:54.101+0200,21.08940216,42.63711178,4.35
2017-06-08T13:36:55.264+0200,21.0893829,42.63712641,4.5
2017-06-08T13:36:56.472+0200,21.08937602,42.637128,4.13
2017-06-08T13:36:57.587+0200,21.08936972,42.63713061,4.35
2017-06-08T13:36:58.806+0200,21.08937607,42.63713685,4.73
2017-06-08T13:36:59.917+0200,21.08937388,42.63714905,4.58
2017-06-08T13:37:01.089+0200,21.08937807,42.63715504,4.96
2017-06-08T13:37:02.217+0200,21.08937512,42.63716901,4.88
2017-06-08T13:37:03.427+0200,21.08937534,42.63717444,4.65
2017-06-08T13:37:04.559+0200,21.08937286,42.63717687,5.57
2017-06-08T13:37:05.770+0200,21.08937626,42.63717495,5.19
2017-06-08T13:37:06.882+0200,21.08937272,42.63718324,4.81
2017-06-08T13:37:08.144+0200,21.08937363,42.6371817,4.88
2017-06-08T13:37:09.266+0200,21.08937043,42.63719061,4.81
2017-06-08T13:37:10.408+0200,21.08936628,42.63719379,4.73
2017-06-08T13:37:11.592+0200,21.08936489,42.63719686,4.65
2017-06-08T13:37:12.745+0200,21.08936288,42.63719993,5.49
2017-06-08T13:37:13.891+0200,21.08936335,42.63721121,5.34
2017-06-08T13:37:15.109+0200,21.08935607,42.63722194,4.81
2017-06-08T13:37:16.241+0200,21.08934568,42.63723747,4.28
2017-06-08T13:37:17.426+0200,21.08934223,42.63724486,4.88
2017-06-08T13:37:18.592+0200,21.08933815,42.63724772,5.49
2017-06-08T13:37:19.749+0200,21.08934134,42.63724959,5.42
2017-06-08T13:37:20.901+0200,21.0893357,42.63725217,4.81
2017-06-08T13:37:22.114+0200,21.08933523,42.63726028,4.35
2017-06-08T13:37:23.238+0200,21.08931884,42.63727185,3.98
2017-06-08T13:37:24.447+0200,21.08931088,42.63727651,3.54
2017-06-08T13:37:25.513+0200,21.08930611,42.63728006,3.4
2017-06-08T13:37:26.747+0200,21.08930273,42.63728174,3.69
2017-06-08T13:37:27.887+0200,21.08930469,42.63728796,3.98
2017-06-08T13:37:29.062+0200,21.08929619,42.63729555,3.91
2017-06-08T13:37:30.241+0200,21.08928542,42.63731318,3.98
2017-06-08T13:37:31.397+0200,21.08928345,42.63732281,3.69
2017-06-08T13:37:32.572+0200,21.08927995,42.6373314,3.62
2017-06-08T13:37:33.730+0200,21.08927574,42.63733663,3.26
2017-06-08T13:37:34.906+0200,21.0892745,42.63734518,3.19
2017-06-08T13:37:36.081+0200,21.08927013,42.63735176,3.47
2017-06-08T13:37:37.244+0200,21.08926132,42.63736746,3.76
2017-06-08T13:37:38.381+0200,21.08925954,42.63737436,4.58
2017-06-08T13:37:39.534+0200,21.08925785,42.63738109,4.43
2017-06-08T13:37:40.709+0200,21.08925299,42.63738803,4.35
2017-06-08T13:37:41.855+0200,21.089248,42.63739384,4.96
2017-06-08T13:37:43.072+0200,21.08924383,42.63740443,4.73
2017-06-08T13:37:44.227+0200,21.08925011,42.63742599,4.81
2017-06-08T13:37:45.406+0200,21.0892485,42.63743716,4.65
2017-06-08T13:37:46.511+0200,21.08924395,42.63744702,4.81
2017-06-08T13:37:47.736+0200,21.08923307,42.63745877,5.03
2017-06-08T13:37:48.870+0200,21.08922107,42.63746845,5.49
2017-06-08T13:37:50.103+0200,21.08921418,42.63747951,6.03
2017-06-08T13:37:51.182+0200,21.08920866,42.63748839,6.19
