sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-08T10:45:12.404+0200,21.09288634,42.6376324,2.12
2017-06-08T10:45:13.578+0200,21.09288415,42.63763692,2.51
2017-06-08T10:45:14.720+0200,21.09288319,42.6376315,2.84
2017-06-08T10:45:15.910+0200,21.0928802,42.63763134,3.47
2017-06-08T10:45:17.020+0200,21.09287424,42.63763115,4.06
2017-06-08T10:45:18.196+0200,21.09287679,42.63761973,5.72
2017-06-08T10:45:19.329+0200,21.09286901,42.63761873,5.03
2017-06-08T10:45:20.550+0200,21.09285868,42.63761562,4.73
2017-06-08T10:45:21.713+0200,21.09284416,42.63761527,4.65
2017-06-08T10:45:22.883+0200,21.09283074,42.63761407,4.35
2017-06-08T10:45:24.021+0200,21.0928146,42.63761343,3.91
2017-06-08T10:45:25.283+0200,21.09280309,42.63761179,3.76
2017-06-08T10:45:26.378+0200,21.0927751,42.63760214,3.4
2017-06-08T10:45:27.578+0200,21.09276278,42.63759972,3.54
2017-06-08T10:45:28.670+0200,21.09275021,42.63759816,4.35
2017-06-08T10:45:29.884+0200,21.09274864,42.63758841,4.28
2017-06-08T10:45:31.047+0200,21.09272124,42.63760605,4.13
2017-06-08T10:45:32.189+0200,21.09270815,42.63761042,3.69
2017-06-08T10:45:33.350+0200,21.09270028,42.63761279,3.76
2017-06-08T10:45:34.529+0200,21.09269547,42.63760137,3.76
2017-06-08T10:45:35.690+0200,21.09269223,42.63758934,3.83
2017-06-08T10:45:36.879+0200,21.09268569,42.63757512,3.98
2017-06-08T10:45:38.045+0200,21.09267079,42.63756144,4.2
2017-06-08T10:45:39.196+0200,21.09265714,42.6375555,4.58
2017-06-08T10:45:40.380+0200,21.09264867,42.63754602,4.5
2017-06-08T10:45:41.536+0200,21.09263092,42.63754218,4.06
2017-06-08T10:45:42.692+0200,21.09261539,42.63753696,3.69
2017-06-08T10:45:43.855+0200,21.0925958,42.63753144,3.91
2017-06-08T10:45:45.015+0200,21.09257743,42.63752991,3.76
2017-06-08T10:45:46.215+0200,21.09255373,42.6375135,3.33
2017-06-08T10:45:47.349+0200,21.09254068,42.63750837,3.76
2017-06-08T10:45:48.531+0200,21.09253067,42.63750199,4.06
2017-06-08T10:45:49.688+0200,21.09252102,42.63749599,3.98
2017-06-08T10:45:50.866+0200,21.09250305,42.63748902,3.83
2017-06-08T10:45:52.051+0200,21.09246896,42.63748084,3.62
2017-06-08T10:45:53.220+0200,21.09245811,42.63747819,3.91
2017-06-08T10:45:54.345+0200,21.0924439,42.63746795,4.13
2017-06-08T10:45:55.515+0200,21.0924326,42.63745577,3.76
2017-06-08T10:45:56.718+0200,21.09242472,42.63744635,3.54
2017-06-08T10:45:57.841+0200,21.09242442,42.63743962,3.69
2017-06-08T10:45:58.993+0200,21.09242013,42.63743097,3.62
2017-06-08T10:46:00.204+0200,21.09239944,42.63741837,4.2
2017-06-08T10:46:01.340+0200,21.09238856,42.63741176,4.58
2017-06-08T10:46:02.536+0200,21.09237469,42.63741045,4.73
2017-06-08T10:46:03.690+0200,21.09236613,42.63740753,5.11
2017-06-08T10:46:04.826+0200,21.09235997,42.63740389,5.34
2017-06-08T10:46:06.000+0200,21.0923495,42.6373958,7.04
2017-06-08T10:46:07.188+0200,21.09231849,42.63738888,8.49
2017-06-08T10:46:08.361+0200,21.09231174,42.63738088,8.34
2017-06-08T10:46:09.540+0200,21.09229586,42.63737634,8.42
2017-06-08T10:46:10.665+0200,21.09228114,42.63737595,8.49
2017-06-08T10:46:11.829+0200,21.09227348,42.6373731,9.02
2017-06-08T10:46:13.013+0200,21.09227032,42.63736713,10.0
2017-06-08T10:46:14.190+0200,21.09225837,42.63735884,10.89
2017-06-08T10:46:15.384+0200,21.0922358,42.63735598,11.12
2017-06-08T10:46:16.490+0200,21.09221891,42.63735147,10.45
