sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-09T13:45:26.723+0200,21.09248295,42.63740985,6.26
2017-06-09T13:45:27.927+0200,21.09248294,42.6374117,6.26
2017-06-09T13:45:29.072+0200,21.09248409,42.63741482,6.34
2017-06-09T13:45:30.258+0200,21.09248275,42.63740958,6.26
2017-06-09T13:45:31.414+0200,21.09247879,42.6374083,6.8
2017-06-09T13:45:32.588+0200,21.09247859,42.63740867,7.19
2017-06-09T13:45:33.728+0200,21.0924784,42.63740901,7.88
2017-06-09T13:45:34.924+0200,21.09245751,42.63740218,7.65
2017-06-09T13:45:36.073+0200,21.09244565,42.637399,7.11
2017-06-09T13:45:37.234+0200,21.09243584,42.63740549,6.73
2017-06-09T13:45:38.403+0200,21.0924121,42.63741128,7.5
2017-06-09T13:45:39.593+0200,21.09239604,42.6374123,7.5
2017-06-09T13:45:40.743+0200,21.09237917,42.63740143,7.96
2017-06-09T13:45:41.967+0200,21.09236409,42.63739226,7.42
2017-06-09T13:45:43.076+0200,21.09235516,42.63740196,7.19
2017-06-09T13:45:44.219+0200,21.09234047,42.63739513,6.73
2017-06-09T13:45:45.411+0200,21.09232572,42.63737646,6.73
2017-06-09T13:45:46.617+0200,21.09229016,42.63737764,8.11
2017-06-09T13:45:47.701+0200,21.09228097,42.6373804,8.11
2017-06-09T13:45:48.898+0200,21.09226808,42.63737775,7.8
2017-06-09T13:45:50.062+0200,21.09225301,42.63737978,7.73
2017-06-09T13:45:51.238+0200,21.0922412,42.63737891,7.65
2017-06-09T13:45:52.403+0200,21.09223361,42.63738195,8.19
2017-06-09T13:45:53.584+0200,21.09221188,42.63738414,7.57
2017-06-09T13:45:54.713+0200,21.09220224,42.63738643,7.5
2017-06-09T13:45:55.893+0200,21.09218949,42.6373761,8.26
2017-06-09T13:45:57.065+0200,21.09218399,42.63736711,8.57
2017-06-09T13:45:58.212+0200,21.09216929,42.63736684,8.64
2017-06-09T13:45:59.373+0200,21.09215728,42.63736725,7.88
2017-06-09T13:46:00.524+0200,21.09211967,42.63736882,6.96
2017-06-09T13:46:01.706+0200,21.0921073,42.63736988,6.57
2017-06-09T13:46:02.861+0200,21.092097,42.63737296,5.88
2017-06-09T13:46:04.036+0200,21.092086,42.63737306,6.03
2017-06-09T13:46:05.263+0200,21.09207206,42.63737036,6.73
2017-06-09T13:46:06.358+0200,21.092062,42.63736462,7.5
2017-06-09T13:46:07.547+0200,21.09203373,42.63735878,7.73
2017-06-09T13:46:08.695+0200,21.0920081,42.63736004,7.96
2017-06-09T13:46:09.867+0200,21.09198472,42.63736651,7.96
2017-06-09T13:46:11.031+0200,21.09196237,42.63736701,7.42
2017-06-09T13:46:12.202+0200,21.09194921,42.63736164,7.65
2017-06-09T13:46:13.378+0200,21.09194001,42.63736572,8.11
2017-06-09T13:46:14.546+0200,21.09190295,42.63735798,8.64
2017-06-09T13:46:15.686+0200,21.09188894,42.63735333,8.57
2017-06-09T13:46:16.886+0200,21.09186401,42.63735572,8.42
2017-06-09T13:46:18.039+0200,21.09184372,42.63735328,9.1
2017-06-09T13:46:19.213+0200,21.09182445,42.63734612,9.78
2017-06-09T13:46:20.379+0200,21.0918108,42.63735072,9.78
2017-06-09T13:46:21.543+0200,21.09177227,42.63732956,9.85
2017-06-09T13:46:22.664+0200,21.09175136,42.63732429,10.3
2017-06-09T13:46:23.864+0200,21.09172649,42.63731489,9.78
2017-06-09T13:46:25.027+0200,21.09170824,42.63731388,9.85
2017-06-09T13:46:26.208+0200,21.09168754,42.63731042,9.85
2017-06-09T13:46:27.378+0200,21.09166926,42.63730657,9.17
2017-06-09T13:46:28.507+0200,21.09163317,42.63729142,8.64
2017-06-09T13:46:29.662+0200,21.09162353,42.63728684,8.19
2017-06-09T13:46:30.866+0200,21.09161245,42.63727934,8.19
2017-06-09T13:46:32.043+0200,21.09160541,42.63728343,8.95
2017-06-09T13:46:33.203+0200,21.09161211,42.63725986,8.72
2017-06-09T13:46:34.353+0200,21.09160708,42.63725507,8.49
2017-06-09T13:46:35.512+0200,21.09158283,42.63722757,8.57
2017-06-09T13:46:36.691+0200,21.09157186,42.63722279,7.73
2017-06-09T13:46:37.832+0200,21.09155673,42.6372249,7.65
2017-06-09T13:46:39.002+0200,21.09154135,42.63720506,7.5
2017-06-09T13:46:40.210+0200,21.09152535,42.63720035,7.5
2017-06-09T13:46:41.357+0200,21.09151246,42.6371896,6.88
2017-06-09T13:46:42.512+0200,21.09147258,42.63718689,7.65
2017-06-09T13:46:43.712+0200,21.09145642,42.63718366,7.73
2017-06-09T13:46:44.869+0200,21.09144028,42.63718034,8.11
2017-06-09T13:46:46.047+0200,21.09143326,42.63716565,7.65
2017-06-09T13:46:47.191+0200,21.09141579,42.63716066,7.27
2017-06-09T13:46:48.387+0200,21.09140853,42.63714389,7.57
2017-06-09T13:46:49.503+0200,21.09138971,42.63713025,8.03
2017-06-09T13:46:50.713+0200,21.09138145,42.63712072,7.19
2017-06-09T13:46:51.883+0200,21.09137404,42.63711264,6.57
2017-06-09T13:46:53.003+0200,21.09137401,42.63710203,6.65
2017-06-09T13:46:54.150+0200,21.0913629,42.63709186,7.19
