sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-02T18:50:51.081+0200,21.09859738,42.67766701,73.03
2017-06-02T18:50:52.289+0200,21.09859069,42.67771566,74.87
2017-06-02T18:50:53.417+0200,21.09856887,42.67771024,76.72
2017-06-02T18:50:54.581+0200,21.09855373,42.67769988,79.55
2017-06-02T18:50:55.804+0200,21.09850875,42.67769307,81.46
2017-06-02T18:50:56.886+0200,21.09850125,42.67768298,79.87
2017-06-02T18:50:58.125+0200,21.09849009,42.67768535,76.1
2017-06-02T18:50:59.249+0200,21.09847893,42.67768772,73.64
2017-06-02T18:51:00.394+0200,21.09853148,42.67770584,78.29
2017-06-02T18:51:01.566+0200,21.09851695,42.67771194,74.25
2017-06-02T18:51:02.763+0200,21.09850215,42.67770461,76.41
2017-06-02T18:51:03.937+0200,21.09849175,42.67770477,77.04
2017-06-02T18:51:05.096+0200,21.09847654,42.67770974,76.41
2017-06-02T18:51:06.239+0200,21.09845394,42.67771892,73.34
2017-06-02T18:51:07.416+0200,21.09844141,42.67772489,72.43
2017-06-02T18:51:08.584+0200,21.09843123,42.67772778,72.43
2017-06-02T18:51:09.746+0200,21.09841817,42.67773096,73.95
2017-06-02T18:51:10.949+0200,21.09839804,42.67773645,74.87
2017-06-02T18:51:12.092+0200,21.09837991,42.67773992,75.79
2017-06-02T18:51:13.264+0200,21.09834115,42.67773615,78.6
2017-06-02T18:51:14.434+0200,21.09832344,42.67774127,79.23
2017-06-02T18:51:15.591+0200,21.09830528,42.67774371,83.72
2017-06-02T18:51:16.765+0200,21.0982903,42.67774783,84.37
2017-06-02T18:51:17.884+0200,21.09827496,42.67775365,84.04
2017-06-02T18:51:19.115+0200,21.09825679,42.67775912,83.07
2017-06-02T18:51:20.252+0200,21.09822101,42.67775944,82.1
2017-06-02T18:51:21.447+0200,21.09820708,42.6777635,83.39
2017-06-02T18:51:22.571+0200,21.09818757,42.67776963,80.18
2017-06-02T18:51:23.744+0200,21.09817202,42.67777333,82.43
2017-06-02T18:51:24.965+0200,21.09815419,42.67777512,79.55
2017-06-02T18:51:26.085+0200,21.09814012,42.67778039,84.04
2017-06-02T18:51:27.247+0200,21.0981103,42.67778624,83.39
2017-06-02T18:51:28.430+0200,21.09809644,42.67778811,83.72
2017-06-02T18:51:29.590+0200,21.09808284,42.67779224,83.07
2017-06-02T18:51:30.817+0200,21.09806813,42.67779738,84.37
2017-06-02T18:51:31.923+0200,21.0980592,42.67780182,85.68
2017-06-02T18:51:33.101+0200,21.09804567,42.67780551,85.02
2017-06-02T18:51:34.245+0200,21.09801619,42.67781566,82.43
2017-06-02T18:51:35.464+0200,21.09800719,42.6778208,86.01
2017-06-02T18:51:36.666+0200,21.0979884,42.67782146,87.33
2017-06-02T18:51:37.722+0200,21.0979726,42.67782391,89.0
2017-06-02T18:51:38.907+0200,21.0979589,42.67782549,84.7
2017-06-02T18:51:40.056+0200,21.09794293,42.67782946,88.33
2017-06-02T18:51:41.279+0200,21.09790963,42.67783334,84.37
2017-06-02T18:51:42.512+0200,21.097895,42.67783781,80.5
2017-06-02T18:51:43.569+0200,21.09788325,42.67784227,84.7
2017-06-02T18:51:44.721+0200,21.09786903,42.67784459,82.1
2017-06-02T18:51:45.901+0200,21.09785908,42.67784857,83.72
2017-06-02T18:51:47.080+0200,21.09783928,42.67785056,86.34
2017-06-02T18:51:48.222+0200,21.09781258,42.67786137,84.7
2017-06-02T18:51:49.426+0200,21.09779638,42.67786962,87.99
2017-06-02T18:51:50.576+0200,21.09777832,42.6778759,83.39
2017-06-02T18:51:51.780+0200,21.09776231,42.6778801,87.33
2017-06-02T18:51:52.884+0200,21.09775227,42.67788619,92.38
2017-06-02T18:51:54.214+0200,21.09773692,42.67789297,89.33
2017-06-02T18:51:55.221+0200,21.09771604,42.67790444,91.36
2017-06-02T18:51:56.420+0200,21.09769962,42.67790948,91.02
2017-06-02T18:51:57.574+0200,21.09768372,42.6779136,89.67
2017-06-02T18:51:58.753+0200,21.09766616,42.677919,85.35
2017-06-02T18:51:59.896+0200,21.0976498,42.67792345,85.68
2017-06-02T18:52:01.096+0200,21.09763385,42.67792927,89.67
2017-06-02T18:52:02.223+0200,21.09760223,42.67793517,88.66
2017-06-02T18:52:03.420+0200,21.09759574,42.67794082,89.33
2017-06-02T18:52:04.587+0200,21.09758364,42.67794785,83.72
2017-06-02T18:52:05.763+0200,21.09757003,42.67795219,79.55
2017-06-02T18:52:06.887+0200,21.09755883,42.67796153,79.23
2017-06-02T18:52:08.115+0200,21.09754525,42.67796657,81.78
2017-06-02T18:52:09.249+0200,21.09751576,42.67797305,77.97
2017-06-02T18:52:10.400+0200,21.09750094,42.67797541,78.92
2017-06-02T18:52:11.567+0200,21.09748156,42.67797795,81.14
2017-06-02T18:52:12.747+0200,21.09746565,42.67798278,79.23
2017-06-02T18:52:13.894+0200,21.09745058,42.67798453,76.1
2017-06-02T18:52:15.099+0200,21.09743564,42.67798937,73.64
2017-06-02T18:52:16.246+0200,21.09740523,42.67799694,73.34
2017-06-02T18:52:17.421+0200,21.09739177,42.67800084,76.1
2017-06-02T18:52:18.564+0200,21.09737785,42.67800357,77.66
2017-06-02T18:52:19.742+0200,21.09736085,42.67800415,82.75
2017-06-02T18:52:20.894+0200,21.0973447,42.67800686,81.46
2017-06-02T18:52:22.109+0200,21.09733098,42.67800963,80.18
2017-06-02T18:52:23.246+0200,21.09729907,42.67802021,78.29
2017-06-02T18:52:24.426+0200,21.09728439,42.67802566,73.95
2017-06-02T18:52:25.567+0200,21.09727071,42.67802793,74.56
2017-06-02T18:52:26.733+0200,21.09725606,42.67803006,75.79
2017-06-02T18:52:27.938+0200,21.09723927,42.6780341,75.18
2017-06-02T18:52:29.125+0200,21.09722321,42.67803722,77.04
2017-06-02T18:52:30.259+0200,21.09718978,42.67804315,78.29
2017-06-02T18:52:31.397+0200,21.09717245,42.67804576,81.46
2017-06-02T18:52:32.540+0200,21.09716051,42.67804804,81.46
2017-06-02T18:52:33.714+0200,21.0971492,42.67805179,74.87
2017-06-02T18:52:34.854+0200,21.0971379,42.67805556,77.04
2017-06-02T18:52:36.052+0200,21.09712932,42.67806022,76.41
2017-06-02T18:52:37.216+0200,21.09709674,42.67806806,77.35
2017-06-02T18:52:38.378+0200,21.09708087,42.67807382,77.35
2017-06-02T18:52:39.536+0200,21.09706468,42.67807829,77.66
2017-06-02T18:52:40.744+0200,21.09704903,42.67808244,82.1
2017-06-02T18:52:41.924+0200,21.09703295,42.67808606,80.18
2017-06-02T18:52:43.090+0200,21.09701695,42.67808975,77.97
2017-06-02T18:52:44.237+0200,21.09698781,42.67809819,81.14
2017-06-02T18:52:45.387+0200,21.09697044,42.67810155,81.14
2017-06-02T18:52:46.543+0200,21.09695658,42.67810272,80.82
2017-06-02T18:52:47.746+0200,21.096942,42.67810481,76.41
2017-06-02T18:52:48.900+0200,21.0969295,42.67810981,74.56
2017-06-02T18:52:50.046+0200,21.09691259,42.67811354,74.56
2017-06-02T18:52:51.215+0200,21.096899,42.67811487,75.18
2017-06-02T18:52:52.394+0200,21.09686928,42.67811852,71.22
2017-06-02T18:52:53.547+0200,21.09685602,42.67812337,74.56
2017-06-02T18:52:54.734+0200,21.09684269,42.67812733,74.87
2017-06-02T18:52:55.879+0200,21.09682843,42.67813163,75.48
2017-06-02T18:52:57.110+0200,21.09681556,42.67813521,75.48
2017-06-02T18:52:58.193+0200,21.09680078,42.67813737,75.48
2017-06-02T18:52:59.428+0200,21.0967682,42.67814786,73.95
2017-06-02T18:53:00.528+0200,21.09675788,42.67814915,75.48
2017-06-02T18:53:01.774+0200,21.0967435,42.67815256,73.34
2017-06-02T18:53:02.894+0200,21.09672985,42.67815542,69.44
2017-06-02T18:53:04.100+0200,21.09671968,42.67816144,69.14
2017-06-02T18:53:05.186+0200,21.09670529,42.67816224,68.55
2017-06-02T18:53:06.377+0200,21.09668402,42.67817046,72.43
2017-06-02T18:53:07.599+0200,21.0966687,42.67817361,76.1
2017-06-02T18:53:08.728+0200,21.09665323,42.67817582,75.48
2017-06-02T18:53:09.906+0200,21.09663312,42.67817595,79.87
2017-06-02T18:53:11.031+0200,21.09662061,42.67817826,81.46
2017-06-02T18:53:12.228+0200,21.09658874,42.67818372,82.75
2017-06-02T18:53:13.384+0200,21.09657617,42.67818919,82.75
2017-06-02T18:53:14.600+0200,21.09655929,42.67819244,79.23
2017-06-02T18:53:15.724+0200,21.09653905,42.67819503,78.6
2017-06-02T18:53:16.876+0200,21.09652305,42.67819686,79.23
2017-06-02T18:53:18.080+0200,21.09650658,42.67820111,82.1
2017-06-02T18:53:19.214+0200,21.09649053,42.6782036,80.5
2017-06-02T18:53:20.394+0200,21.09645487,42.67820907,79.87
2017-06-02T18:53:21.592+0200,21.09643675,42.67821351,80.82
2017-06-02T18:53:22.710+0200,21.09642074,42.67821638,83.07
