sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-06T18:49:36.827+0200,21.08613021,42.68118067,24.33
2017-06-06T18:49:37.993+0200,21.08612631,42.68117927,22.22
2017-06-06T18:49:39.117+0200,21.08612319,42.68117935,22.1
2017-06-06T18:49:40.296+0200,21.08613278,42.68117856,22.44
2017-06-06T18:49:41.502+0200,21.08613707,42.68117618,22.1
2017-06-06T18:49:42.658+0200,21.08613782,42.68117615,21.24
2017-06-06T18:49:43.787+0200,21.08613803,42.68117562,23.13
2017-06-06T18:49:44.946+0200,21.08613784,42.68117543,23.48
2017-06-06T18:49:46.126+0200,21.08613789,42.6811754,23.84
2017-06-06T18:49:47.346+0200,21.08613779,42.68117537,24.09
2017-06-06T18:49:48.477+0200,21.08613781,42.68117536,23.96
2017-06-06T18:49:49.635+0200,21.08613775,42.68117534,24.96
2017-06-06T18:49:50.788+0200,21.08613822,42.68117545,26.4
2017-06-06T18:49:51.962+0200,21.08613874,42.68117561,26.95
2017-06-06T18:49:53.189+0200,21.08613931,42.68117571,26.68
2017-06-06T18:49:54.286+0200,21.08613533,42.68117308,28.23
2017-06-06T18:49:55.459+0200,21.08613028,42.68117454,26.95
2017-06-06T18:49:56.632+0200,21.0861261,42.68117393,26.54
2017-06-06T18:49:57.775+0200,21.08612378,42.68117577,25.21
2017-06-06T18:49:59.038+0200,21.08612128,42.68117611,21.99
2017-06-06T18:50:00.125+0200,21.08612079,42.68117662,22.67
2017-06-06T18:50:01.298+0200,21.08611979,42.68117657,23.13
2017-06-06T18:50:02.479+0200,21.08612179,42.68117703,25.87
2017-06-06T18:50:03.636+0200,21.08612182,42.68117599,23.36
2017-06-06T18:50:04.889+0200,21.08612233,42.68117545,22.55
2017-06-06T18:50:05.967+0200,21.08612036,42.68117616,23.6
2017-06-06T18:50:07.115+0200,21.08612117,42.6811767,22.78
2017-06-06T18:50:08.290+0200,21.08612112,42.68117699,22.9
2017-06-06T18:50:09.465+0200,21.08611359,42.68117479,23.48
2017-06-06T18:50:10.634+0200,21.08611409,42.68117248,24.09
2017-06-06T18:50:11.766+0200,21.08610514,42.68117437,25.6
2017-06-06T18:50:12.967+0200,21.08610537,42.68117631,25.47
2017-06-06T18:50:14.120+0200,21.08609999,42.68117765,23.84
2017-06-06T18:50:15.288+0200,21.08609154,42.6811778,23.01
2017-06-06T18:50:16.427+0200,21.08607427,42.68118161,22.44
2017-06-06T18:50:17.637+0200,21.08606418,42.68118194,20.92
2017-06-06T18:50:18.798+0200,21.08605621,42.68118418,20.61
2017-06-06T18:50:19.962+0200,21.08603532,42.68118509,20.61
2017-06-06T18:50:21.125+0200,21.08602324,42.68118575,20.61
2017-06-06T18:50:22.319+0200,21.08601339,42.68118764,20.82
2017-06-06T18:50:23.486+0200,21.08598796,42.68119393,21.34
2017-06-06T18:50:24.641+0200,21.08597294,42.68119486,21.13
2017-06-06T18:50:25.747+0200,21.08595943,42.68119541,22.55
2017-06-06T18:50:26.972+0200,21.085945,42.68119686,22.9
2017-06-06T18:50:28.107+0200,21.08593627,42.68119742,22.78
2017-06-06T18:50:29.281+0200,21.0859287,42.6811976,22.9
2017-06-06T18:50:30.466+0200,21.08590734,42.68120128,24.21
2017-06-06T18:50:31.582+0200,21.08589996,42.6812075,22.67
2017-06-06T18:50:32.771+0200,21.08588691,42.68121085,21.77
2017-06-06T18:50:33.935+0200,21.08587704,42.68121423,21.99
2017-06-06T18:50:35.071+0200,21.08586837,42.68121369,21.45
2017-06-06T18:50:36.316+0200,21.08585567,42.68121531,22.22
2017-06-06T18:50:37.450+0200,21.08583303,42.68122427,21.88
2017-06-06T18:50:38.601+0200,21.08582123,42.68122738,21.13
2017-06-06T18:50:39.828+0200,21.08580862,42.68123132,21.45
2017-06-06T18:50:40.941+0200,21.0858072,42.68124155,21.99
2017-06-06T18:50:42.112+0200,21.08579694,42.68124641,22.55
2017-06-06T18:50:43.290+0200,21.08578888,42.68125158,23.96
2017-06-06T18:50:44.446+0200,21.08577534,42.68125931,22.55
2017-06-06T18:50:45.622+0200,21.08576248,42.68126222,22.33
2017-06-06T18:50:46.763+0200,21.0857471,42.68126207,21.77
2017-06-06T18:50:47.939+0200,21.08573131,42.68126522,20.82
2017-06-06T18:50:49.145+0200,21.08571745,42.68126511,20.41
2017-06-06T18:50:50.273+0200,21.08570266,42.68126715,21.99
2017-06-06T18:50:51.436+0200,21.08567547,42.68127063,22.33
2017-06-06T18:50:52.633+0200,21.08566243,42.68127236,21.77
2017-06-06T18:50:53.755+0200,21.0856483,42.68127426,22.44
2017-06-06T18:50:54.937+0200,21.08563332,42.68127448,22.78
2017-06-06T18:50:56.115+0200,21.08561694,42.68127397,23.25
2017-06-06T18:50:57.270+0200,21.08560018,42.68127608,23.25
2017-06-06T18:50:58.426+0200,21.08556274,42.68128279,21.99
2017-06-06T18:50:59.586+0200,21.08555039,42.68128678,22.9
2017-06-06T18:51:00.765+0200,21.08553376,42.68128975,22.9
2017-06-06T18:51:01.921+0200,21.08551838,42.6812936,23.48
2017-06-06T18:51:03.102+0200,21.0855073,42.68129869,25.09
2017-06-06T18:51:04.315+0200,21.08549285,42.68130107,27.09
2017-06-06T18:51:05.482+0200,21.08546899,42.6813081,23.6
2017-06-06T18:51:06.636+0200,21.08546549,42.68131534,23.6
2017-06-06T18:51:07.771+0200,21.08545661,42.68131938,23.13
2017-06-06T18:51:08.907+0200,21.08544279,42.68132208,22.33
2017-06-06T18:51:10.103+0200,21.08542964,42.68132496,24.21
2017-06-06T18:51:11.292+0200,21.08541566,42.68132783,24.09
2017-06-06T18:51:12.420+0200,21.08538239,42.68133514,24.09
2017-06-06T18:51:13.610+0200,21.08537031,42.68133816,24.21
2017-06-06T18:51:14.765+0200,21.08535791,42.68134159,23.72
2017-06-06T18:51:15.948+0200,21.08534297,42.68134352,23.72
2017-06-06T18:51:17.073+0200,21.08533159,42.68134592,24.96
2017-06-06T18:51:18.280+0200,21.08531526,42.68135099,25.74
2017-06-06T18:51:19.468+0200,21.08528923,42.68136213,23.6
2017-06-06T18:51:20.603+0200,21.08528001,42.68136716,25.09
2017-06-06T18:51:21.764+0200,21.08526799,42.68137158,24.96
2017-06-06T18:51:22.953+0200,21.08525618,42.6813764,24.71
2017-06-06T18:51:24.100+0200,21.08524952,42.68137975,24.09
2017-06-06T18:51:25.256+0200,21.08523661,42.68138213,23.6
2017-06-06T18:51:26.411+0200,21.08521222,42.68138728,24.96
2017-06-06T18:51:27.604+0200,21.08519547,42.6813889,25.09
2017-06-06T18:51:28.745+0200,21.0851803,42.68139204,25.74
2017-06-06T18:51:29.940+0200,21.08516876,42.68139481,26.95
2017-06-06T18:51:31.128+0200,21.08516289,42.68139926,27.66
2017-06-06T18:51:32.261+0200,21.08515065,42.68140294,25.6
2017-06-06T18:51:33.415+0200,21.08512319,42.68141328,24.33
2017-06-06T18:51:34.601+0200,21.08510779,42.6814162,24.21
2017-06-06T18:51:35.746+0200,21.0850941,42.68142042,24.58
2017-06-06T18:51:36.940+0200,21.08508219,42.68142712,24.21
2017-06-06T18:51:38.098+0200,21.08506996,42.68143294,24.46
2017-06-06T18:51:39.271+0200,21.08506291,42.68143877,25.34
2017-06-06T18:51:40.439+0200,21.08503068,42.68144649,25.34
2017-06-06T18:51:41.603+0200,21.08501764,42.68144962,25.6
2017-06-06T18:51:42.755+0200,21.08500938,42.68145443,27.23
2017-06-06T18:51:43.961+0200,21.08499152,42.68145853,26.27
2017-06-06T18:51:45.068+0200,21.08497801,42.68145911,27.23
2017-06-06T18:51:46.291+0200,21.08496547,42.68146213,29.27
2017-06-06T18:51:47.440+0200,21.08493087,42.68146296,28.97
2017-06-06T18:51:48.600+0200,21.08491646,42.68146334,30.04
2017-06-06T18:51:49.751+0200,21.0849057,42.68146692,30.2
2017-06-06T18:51:50.956+0200,21.08489413,42.68146924,31.81
2017-06-06T18:51:52.141+0200,21.08488203,42.68147237,32.14
2017-06-06T18:51:53.258+0200,21.08487392,42.68147262,32.14
2017-06-06T18:51:54.396+0200,21.0848503,42.68147812,32.31
2017-06-06T18:51:55.582+0200,21.08484319,42.68148377,30.67
2017-06-06T18:51:56.740+0200,21.08482892,42.68148516,31.64
2017-06-06T18:51:57.991+0200,21.08481712,42.68149092,29.58
2017-06-06T18:51:59.089+0200,21.08480769,42.68149774,34.2
2017-06-06T18:52:00.260+0200,21.0847965,42.68150158,36.39
2017-06-06T18:52:01.420+0200,21.08477354,42.68150417,37.93
2017-06-06T18:52:02.621+0200,21.08476282,42.68150695,35.28
2017-06-06T18:52:03.839+0200,21.08474957,42.68151119,32.81
2017-06-06T18:52:04.932+0200,21.08473497,42.68151201,33.5
2017-06-06T18:52:06.085+0200,21.08472245,42.6815165,33.5
2017-06-06T18:52:07.267+0200,21.08470961,42.6815189,34.74
2017-06-06T18:52:08.421+0200,21.08470988,42.68152363,31.97
