sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-10T14:22:22.869+0200,21.07424679,42.68455423,8.72
2017-05-10T14:22:24.028+0200,21.07424144,42.6845568,8.72
2017-05-10T14:22:25.164+0200,21.07422713,42.68455363,9.85
2017-05-10T14:22:26.268+0200,21.07423714,42.68454289,10.15
2017-05-10T14:22:27.444+0200,21.07424067,42.68453376,10.3
2017-05-10T14:22:28.594+0200,21.07425668,42.68453181,9.78
2017-05-10T14:22:29.737+0200,21.07426595,42.68452587,9.4
2017-05-10T14:22:30.904+0200,21.07427769,42.68451935,9.1
2017-05-10T14:22:32.008+0200,21.07429371,42.68451581,9.4
2017-05-10T14:22:33.200+0200,21.07431962,42.68450959,9.4
2017-05-10T14:22:34.313+0200,21.07432894,42.68450398,10.15
2017-05-10T14:22:35.505+0200,21.0743408,42.68449994,10.07
2017-05-10T14:22:36.573+0200,21.07435368,42.68449377,10.52
2017-05-10T14:22:37.807+0200,21.07436392,42.68448401,10.67
2017-05-10T14:22:38.936+0200,21.07437841,42.68448125,10.3
2017-05-10T14:22:40.067+0200,21.07438957,42.68446926,10.52
2017-05-10T14:22:41.220+0200,21.07440944,42.68446572,10.45
2017-05-10T14:22:42.328+0200,21.07442495,42.68446118,10.89
2017-05-10T14:22:43.498+0200,21.07444192,42.68445669,11.12
2017-05-10T14:22:44.659+0200,21.07445616,42.68444951,11.12
2017-05-10T14:22:45.807+0200,21.07446453,42.68444642,10.6
2017-05-10T14:22:46.930+0200,21.07447667,42.68443962,11.12
2017-05-10T14:22:48.079+0200,21.07448233,42.68442936,11.49
2017-05-10T14:22:49.253+0200,21.0744722,42.68440498,11.26
2017-05-10T14:22:50.368+0200,21.07447485,42.68439641,11.34
2017-05-10T14:22:51.537+0200,21.07447187,42.6843855,11.93
2017-05-10T14:22:52.672+0200,21.07446452,42.6843717,12.75
2017-05-10T14:22:53.870+0200,21.07446393,42.68436409,12.6
2017-05-10T14:22:54.989+0200,21.07445964,42.68435521,12.52
2017-05-10T14:22:56.093+0200,21.07445663,42.6843411,12.3
2017-05-10T14:22:57.266+0200,21.07444806,42.68433052,13.19
2017-05-10T14:22:58.433+0200,21.07445137,42.68432816,12.45
2017-05-10T14:22:59.536+0200,21.07445024,42.68432472,12.3
2017-05-10T14:23:00.773+0200,21.0744477,42.6843198,12.0
2017-05-10T14:23:01.817+0200,21.07444168,42.68431404,11.56
2017-05-10T14:23:02.994+0200,21.07443616,42.68430987,11.41
2017-05-10T14:23:04.153+0200,21.07442624,42.68429829,11.63
2017-05-10T14:23:05.278+0200,21.07441459,42.68429,11.12
2017-05-10T14:23:06.445+0200,21.07441134,42.68428887,10.37
2017-05-10T14:23:07.598+0200,21.07440109,42.6842884,9.32
2017-05-10T14:23:08.759+0200,21.07439406,42.68428181,8.95
2017-05-10T14:23:09.910+0200,21.07439281,42.68426845,10.0
2017-05-10T14:23:11.006+0200,21.0743869,42.68428452,9.85
2017-05-10T14:23:12.167+0200,21.07441004,42.68426393,10.3
2017-05-10T14:23:13.325+0200,21.07441359,42.6842533,9.78
2017-05-10T14:23:14.475+0200,21.07442226,42.68425672,8.8
2017-05-10T14:23:15.578+0200,21.07442127,42.68425119,7.88
2017-05-10T14:23:16.764+0200,21.07441276,42.68423441,7.65
2017-05-10T14:23:17.935+0200,21.0746362,42.6841378,6.88
2017-05-10T14:23:19.053+0200,21.0746362,42.6841378,6.5
2017-05-10T14:23:20.173+0200,21.0746362,42.6841378,6.42
2017-05-10T14:23:21.332+0200,21.0746362,42.6841378,6.11
2017-05-10T14:23:22.486+0200,21.0746362,42.6841378,6.26
2017-05-10T14:23:23.630+0200,21.0746362,42.6841378,6.57
2017-05-10T14:23:24.805+0200,21.0746362,42.6841378,6.19
2017-05-10T14:23:25.934+0200,21.0746362,42.6841378,6.34
2017-05-10T14:23:27.082+0200,21.0746362,42.6841378,5.65
2017-05-10T14:23:28.243+0200,21.0746362,42.6841378,5.03
2017-05-10T14:23:29.362+0200,21.07447477,42.68413802,5.72
2017-05-10T14:23:30.509+0200,21.07443494,42.68416573,6.34
2017-05-10T14:23:31.696+0200,21.07442099,42.68417577,6.88
2017-05-10T14:23:32.824+0200,21.07444726,42.6841595,7.19
2017-05-10T14:23:33.977+0200,21.07442747,42.68416076,6.65
2017-05-10T14:23:35.130+0200,21.07443637,42.68415375,6.03
2017-05-10T14:23:36.297+0200,21.07444336,42.68414288,5.72
2017-05-10T14:23:37.438+0200,21.07444509,42.68414159,5.34
2017-05-10T14:23:38.567+0200,21.07444853,42.6841416,4.96
2017-05-10T14:23:39.706+0200,21.07445178,42.68413932,5.03
2017-05-10T14:23:40.842+0200,21.07444771,42.68413957,5.96
2017-05-10T14:23:41.965+0200,21.07445286,42.68413783,6.19
2017-05-10T14:23:43.187+0200,21.07445314,42.68413756,5.72
2017-05-10T14:23:44.318+0200,21.07444783,42.68413761,5.34
2017-05-10T14:23:45.389+0200,21.07444782,42.68413768,5.88
2017-05-10T14:23:46.567+0200,21.07444785,42.68413765,5.19
2017-05-10T14:23:47.698+0200,21.07444782,42.6841377,5.19
2017-05-10T14:23:48.854+0200,21.07444594,42.68414126,4.65
2017-05-10T14:23:50.013+0200,21.07444594,42.68414127,4.43
2017-05-10T14:23:51.201+0200,21.07444593,42.68414126,5.49
2017-05-10T14:23:52.304+0200,21.07444593,42.68414125,4.88
2017-05-10T14:23:53.459+0200,21.07444593,42.68414122,5.72
2017-05-10T14:23:54.631+0200,21.07444594,42.68414113,5.65
2017-05-10T14:23:55.763+0200,21.07444595,42.68414114,6.19
2017-05-10T14:23:56.914+0200,21.07444579,42.68414117,5.88
2017-05-10T14:23:58.083+0200,21.07444576,42.68414118,6.19
2017-05-10T14:23:59.195+0200,21.0744487,42.68414046,5.88
2017-05-10T14:24:00.375+0200,21.07444915,42.68414004,6.34
2017-05-10T14:24:01.470+0200,21.07445873,42.68413813,5.65
2017-05-10T14:24:02.653+0200,21.07445866,42.68413818,5.96
2017-05-10T14:24:03.760+0200,21.074458,42.6841385,6.65
2017-05-10T14:24:04.968+0200,21.07445803,42.68413853,6.65
2017-05-10T14:24:06.078+0200,21.074458,42.68413848,5.96
2017-05-10T14:24:07.257+0200,21.07445765,42.68413864,5.49
2017-05-10T14:24:08.385+0200,21.07445767,42.68413857,5.8
2017-05-10T14:24:09.540+0200,21.0744577,42.6841386,5.34
2017-05-10T14:24:10.649+0200,21.07445757,42.68413861,4.73
2017-05-10T14:24:11.825+0200,21.07445755,42.6841386,4.28
2017-05-10T14:24:12.975+0200,21.07445747,42.68413854,3.83
2017-05-10T14:24:14.079+0200,21.07445743,42.68413852,3.4
2017-05-10T14:24:15.195+0200,21.07445749,42.68413849,3.12
2017-05-10T14:24:16.364+0200,21.07445761,42.68413851,2.84
2017-05-10T14:24:17.520+0200,21.0744576,42.68413868,2.51
2017-05-10T14:24:18.718+0200,21.07445764,42.68413868,2.64
2017-05-10T14:24:19.829+0200,21.07445787,42.6841387,2.38
2017-05-10T14:24:20.986+0200,21.07445786,42.68413874,2.57
2017-05-10T14:24:22.097+0200,21.07443665,42.68421978,2.98
2017-05-10T14:24:23.249+0200,21.07447141,42.68426257,3.47
2017-05-10T14:24:24.450+0200,21.07447725,42.68425545,3.12
2017-05-10T14:24:25.556+0200,21.07448467,42.68426364,2.77
2017-05-10T14:24:26.712+0200,21.07449469,42.68426663,2.57
2017-05-10T14:24:27.864+0200,21.07450705,42.68426947,3.54
2017-05-10T14:24:28.968+0200,21.0745111,42.68426681,3.62
2017-05-10T14:24:30.147+0200,21.07453412,42.68426264,3.62
2017-05-10T14:24:31.255+0200,21.07453147,42.68425465,3.54
2017-05-10T14:24:32.442+0200,21.07454107,42.6842465,4.5
2017-05-10T14:24:33.597+0200,21.07455238,42.68424632,5.42
2017-05-10T14:24:34.772+0200,21.07455753,42.68424332,6.42
2017-05-10T14:24:35.883+0200,21.07456951,42.68423857,6.26
2017-05-10T14:24:37.004+0200,21.07458292,42.68423917,6.34
2017-05-10T14:24:38.163+0200,21.07460529,42.68423102,6.88
2017-05-10T14:24:39.351+0200,21.07461647,42.68422416,8.34
2017-05-10T14:24:40.432+0200,21.0746206,42.684221,8.95
2017-05-10T14:24:41.606+0200,21.07463828,42.68422092,8.95
2017-05-10T14:24:42.735+0200,21.07464925,42.68422181,9.17
2017-05-10T14:24:43.931+0200,21.07465847,42.68422219,9.17
2017-05-10T14:24:45.097+0200,21.07465948,42.68422724,8.64
2017-05-10T14:24:46.245+0200,21.07466652,42.68423068,8.87
2017-05-10T14:24:47.359+0200,21.0746779,42.68423231,8.87
2017-05-10T14:24:48.503+0200,21.07469111,42.68422746,8.49
2017-05-10T14:24:49.624+0200,21.074705,42.68422735,8.26
2017-05-10T14:24:50.772+0200,21.07471959,42.68422368,7.96
2017-05-10T14:24:51.954+0200,21.07473386,42.6842229,7.8
2017-05-10T14:24:53.094+0200,21.07474877,42.68421914,7.11
2017-05-10T14:24:54.204+0200,21.07476767,42.68421388,6.96
2017-05-10T14:24:55.383+0200,21.07478351,42.68421118,7.27
2017-05-10T14:24:56.498+0200,21.07479761,42.68420932,6.96
2017-05-10T14:24:57.653+0200,21.07481046,42.68420441,6.96
2017-05-10T14:24:58.835+0200,21.07482329,42.68419903,6.8
2017-05-10T14:24:59.992+0200,21.07482923,42.68419648,7.11
2017-05-10T14:25:01.148+0200,21.07485283,42.68419064,7.42
2017-05-10T14:25:02.271+0200,21.07486514,42.6841861,7.04
2017-05-10T14:25:03.373+0200,21.07487771,42.68418397,7.27
2017-05-10T14:25:04.579+0200,21.07489055,42.68418169,7.04
2017-05-10T14:25:05.734+0200,21.07490485,42.6841787,7.11
2017-05-10T14:25:06.873+0200,21.07491891,42.68417264,7.8
2017-05-10T14:25:07.980+0200,21.07492846,42.68416388,7.88
2017-05-10T14:25:09.175+0200,21.07495839,42.68415565,8.34
2017-05-10T14:25:10.251+0200,21.07497082,42.68415253,8.87
2017-05-10T14:25:11.437+0200,21.07498641,42.68415143,8.03
2017-05-10T14:25:12.554+0200,21.07500002,42.68414929,8.03
2017-05-10T14:25:13.745+0200,21.07501388,42.68414749,7.8
2017-05-10T14:25:14.868+0200,21.07502996,42.68414276,7.65
2017-05-10T14:25:16.003+0200,21.07504252,42.6841423,8.03
2017-05-10T14:25:17.167+0200,21.07507665,42.68414188,7.96
2017-05-10T14:25:18.295+0200,21.07508713,42.6841414,7.11
2017-05-10T14:25:19.496+0200,21.07509742,42.68413898,6.8
2017-05-10T14:25:20.621+0200,21.07511217,42.68412986,6.65
2017-05-10T14:25:21.764+0200,21.07512457,42.68413088,6.57
2017-05-10T14:25:22.904+0200,21.07513902,42.68412796,6.96
2017-05-10T14:25:24.040+0200,21.07514966,42.68412569,6.8
2017-05-10T14:25:25.213+0200,21.0751744,42.68411571,6.34
2017-05-10T14:25:26.375+0200,21.07519554,42.68410824,6.42
2017-05-10T14:25:27.514+0200,21.07520846,42.68410103,6.5
2017-05-10T14:25:28.670+0200,21.07522574,42.68409708,6.34
2017-05-10T14:25:29.800+0200,21.07524127,42.68409245,6.96
2017-05-10T14:25:30.940+0200,21.07525405,42.6840844,6.88
2017-05-10T14:25:32.038+0200,21.07526087,42.68408019,7.04
2017-05-10T14:25:33.225+0200,21.07528249,42.68406976,8.11
2017-05-10T14:25:34.421+0200,21.0752909,42.68406373,7.88
2017-05-10T14:25:35.475+0200,21.075304,42.68405795,8.26
2017-05-10T14:25:36.630+0200,21.07531628,42.68405336,8.8
2017-05-10T14:25:37.812+0200,21.07531806,42.68405254,8.95
2017-05-10T14:25:38.922+0200,21.07533393,42.68404612,9.78
2017-05-10T14:25:40.080+0200,21.07535958,42.68403907,10.0
2017-05-10T14:25:41.258+0200,21.07537294,42.68402552,9.93
2017-05-10T14:25:42.423+0200,21.07538686,42.68402084,11.26
2017-05-10T14:25:43.540+0200,21.07540583,42.68401688,12.9
2017-05-10T14:25:44.657+0200,21.0754237,42.68400863,14.18
2017-05-10T14:25:45.812+0200,21.07543543,42.68400778,15.74
2017-05-10T14:25:46.970+0200,21.07544646,42.6839981,18.03
2017-05-10T14:25:48.108+0200,21.07546016,42.68399263,19.51
2017-05-10T14:25:49.274+0200,21.07548242,42.68397888,21.67
2017-05-10T14:25:50.427+0200,21.07550406,42.6839758,23.25
2017-05-10T14:25:51.605+0200,21.07552159,42.68397706,23.48
2017-05-10T14:25:52.738+0200,21.07553563,42.68398038,25.21
2017-05-10T14:25:53.943+0200,21.07554789,42.68397935,25.6
2017-05-10T14:25:55.019+0200,21.07556558,42.68398306,24.58
2017-05-10T14:25:56.175+0200,21.0755986,42.68397852,23.48
2017-05-10T14:25:57.327+0200,21.07560533,42.68397597,23.01
2017-05-10T14:25:58.468+0200,21.07561498,42.68397507,22.44
2017-05-10T14:25:59.595+0200,21.07563141,42.68396663,20.92
2017-05-10T14:26:00.728+0200,21.07564113,42.68395635,19.81
2017-05-10T14:26:01.867+0200,21.07565105,42.68395427,18.39
2017-05-10T14:26:03.025+0200,21.07566571,42.68394883,18.21
