sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-10T14:21:42.716+0200,21.07412835,42.68459076,15.34
2017-05-10T14:21:43.883+0200,21.07413288,42.68457752,15.82
2017-05-10T14:21:45.042+0200,21.0741367,42.68457483,15.11
2017-05-10T14:21:46.190+0200,21.0741419,42.68456542,15.18
2017-05-10T14:21:47.374+0200,21.07414846,42.68456627,15.58
2017-05-10T14:21:48.559+0200,21.07415479,42.68456415,15.74
2017-05-10T14:21:49.689+0200,21.07416511,42.68456661,16.98
2017-05-10T14:21:50.899+0200,21.0741781,42.68454673,17.15
2017-05-10T14:21:52.041+0200,21.0741791,42.68454624,18.12
2017-05-10T14:21:53.227+0200,21.07418084,42.68455121,17.15
2017-05-10T14:21:54.392+0200,21.07418194,42.68455008,16.9
2017-05-10T14:21:55.578+0200,21.07418931,42.68455057,17.32
2017-05-10T14:21:56.680+0200,21.07419287,42.6845465,17.5
2017-05-10T14:21:57.858+0200,21.07419136,42.68455273,17.41
2017-05-10T14:21:59.038+0200,21.07418855,42.684556,16.98
2017-05-10T14:22:00.211+0200,21.07418892,42.68455788,16.15
2017-05-10T14:22:01.366+0200,21.07418754,42.68456008,15.26
2017-05-10T14:22:02.538+0200,21.07418872,42.68455568,14.18
2017-05-10T14:22:03.706+0200,21.07419137,42.68455259,13.42
2017-05-10T14:22:04.896+0200,21.07419529,42.68455163,13.34
2017-05-10T14:22:06.051+0200,21.07419635,42.68455029,13.27
2017-05-10T14:22:07.226+0200,21.07419357,42.68454932,12.6
2017-05-10T14:22:08.364+0200,21.07419655,42.68454851,11.49
2017-05-10T14:22:09.558+0200,21.0741966,42.68454994,10.82
2017-05-10T14:22:10.711+0200,21.07419531,42.68454986,10.0
2017-05-10T14:22:11.905+0200,21.07419826,42.68455084,9.78
2017-05-10T14:22:13.078+0200,21.07419936,42.68455078,9.17
2017-05-10T14:22:14.182+0200,21.07420003,42.68455242,9.32
2017-05-10T14:22:15.413+0200,21.07420042,42.68455208,9.32
2017-05-10T14:22:16.565+0200,21.07419876,42.68455346,8.34
2017-05-10T14:22:17.673+0200,21.07419831,42.68455372,8.11
2017-05-10T14:22:18.843+0200,21.07420109,42.68455343,8.11
2017-05-10T14:22:20.055+0200,21.07420132,42.6845535,8.64
2017-05-10T14:22:21.256+0200,21.07420127,42.68455339,8.26
2017-05-10T14:22:22.351+0200,21.07420123,42.68455336,8.8
2017-05-10T14:22:23.533+0200,21.07420122,42.68455335,9.1
2017-05-10T14:22:24.680+0200,21.07420122,42.68455332,9.32
2017-05-10T14:22:25.853+0200,21.07421393,42.68455105,9.63
2017-05-10T14:22:27.104+0200,21.07422346,42.68454704,9.55
2017-05-10T14:22:28.187+0200,21.07423481,42.68453901,9.63
2017-05-10T14:22:29.336+0200,21.07424599,42.68453371,9.63
2017-05-10T14:22:30.546+0200,21.07425988,42.68453285,9.17
2017-05-10T14:22:31.707+0200,21.07427302,42.6845277,8.64
2017-05-10T14:22:32.957+0200,21.0742934,42.68451763,8.57
2017-05-10T14:22:33.999+0200,21.07430571,42.68451527,8.11
2017-05-10T14:22:35.196+0200,21.07431467,42.68451083,7.73
2017-05-10T14:22:36.363+0200,21.07432908,42.68450547,8.42
2017-05-10T14:22:37.527+0200,21.07433953,42.68450222,7.8
2017-05-10T14:22:38.682+0200,21.07435288,42.68449834,7.88
2017-05-10T14:22:39.837+0200,21.07437624,42.6844881,8.64
2017-05-10T14:22:41.014+0200,21.07439262,42.6844854,8.11
2017-05-10T14:22:42.186+0200,21.07440115,42.68448203,8.03
2017-05-10T14:22:43.369+0200,21.07441672,42.6844769,8.03
2017-05-10T14:22:44.514+0200,21.0744337,42.68447067,7.57
2017-05-10T14:22:45.678+0200,21.07444239,42.68446648,8.03
2017-05-10T14:22:46.832+0200,21.0744608,42.6844494,7.19
2017-05-10T14:22:47.997+0200,21.07446981,42.6844367,7.04
2017-05-10T14:22:49.151+0200,21.074466,42.68442093,7.27
2017-05-10T14:22:50.322+0200,21.07445293,42.68440359,8.42
2017-05-10T14:22:51.509+0200,21.07444574,42.68438676,8.8
2017-05-10T14:22:52.667+0200,21.07444055,42.68437294,8.72
2017-05-10T14:22:53.898+0200,21.07441959,42.68434805,8.64
2017-05-10T14:22:54.997+0200,21.07440811,42.68433404,8.26
2017-05-10T14:22:56.223+0200,21.07439774,42.68432136,8.64
2017-05-10T14:22:57.325+0200,21.07439198,42.68430747,8.57
2017-05-10T14:22:58.511+0200,21.07439027,42.6842948,8.26
2017-05-10T14:22:59.658+0200,21.07437975,42.68428644,7.65
2017-05-10T14:23:00.841+0200,21.07437164,42.68426777,7.42
2017-05-10T14:23:02.011+0200,21.07437016,42.68425476,8.19
2017-05-10T14:23:03.126+0200,21.0743759,42.68424867,8.03
2017-05-10T14:23:04.308+0200,21.07436271,42.68424575,8.11
2017-05-10T14:23:05.504+0200,21.0743705,42.68424384,9.1
2017-05-10T14:23:06.643+0200,21.07436663,42.68422984,9.17
2017-05-10T14:23:07.818+0200,21.07433474,42.68424089,8.87
2017-05-10T14:23:08.964+0200,21.07429834,42.68424836,9.4
2017-05-10T14:23:10.183+0200,21.07427053,42.68425797,10.15
2017-05-10T14:23:11.308+0200,21.07424934,42.68425718,10.82
2017-05-10T14:23:12.475+0200,21.0742418,42.68426243,11.93
2017-05-10T14:23:13.641+0200,21.07422575,42.68427176,12.82
2017-05-10T14:23:14.876+0200,21.07421158,42.68428011,14.02
2017-05-10T14:23:16.017+0200,21.07421609,42.68426086,14.72
2017-05-10T14:23:17.161+0200,21.07422767,42.68423608,15.82
2017-05-10T14:23:18.321+0200,21.07425714,42.68419666,17.32
2017-05-10T14:23:19.537+0200,21.0742639,42.6841952,17.76
2017-05-10T14:23:20.636+0200,21.07429851,42.68418712,17.76
2017-05-10T14:23:21.829+0200,21.07430859,42.68417828,19.13
2017-05-10T14:23:22.974+0200,21.07431654,42.68417246,20.82
2017-05-10T14:23:24.154+0200,21.07432444,42.68416667,22.22
2017-05-10T14:23:25.293+0200,21.07432444,42.68416667,21.24
2017-05-10T14:23:26.499+0200,21.07432444,42.68416667,21.13
2017-05-10T14:23:27.656+0200,21.07432444,42.68416667,21.67
2017-05-10T14:23:28.834+0200,21.07432444,42.68416667,22.44
2017-05-10T14:23:29.964+0200,21.07432444,42.68416667,22.78
2017-05-10T14:23:31.163+0200,21.07432444,42.68416667,24.21
2017-05-10T14:23:32.317+0200,21.07432444,42.68416667,24.33
2017-05-10T14:23:33.457+0200,21.07432444,42.68416667,23.25
2017-05-10T14:23:34.694+0200,21.07432444,42.68416667,24.09
2017-05-10T14:23:35.817+0200,21.07432444,42.68416667,24.83
2017-05-10T14:23:36.979+0200,21.07432444,42.68416667,25.09
2017-05-10T14:23:38.158+0200,21.07432444,42.68416667,25.74
2017-05-10T14:23:39.334+0200,21.07432444,42.68416667,25.87
2017-05-10T14:23:40.514+0200,21.07432444,42.68416667,26.13
2017-05-10T14:23:41.656+0200,21.07432444,42.68416667,24.83
2017-05-10T14:23:42.796+0200,21.07432444,42.68416667,24.83
2017-05-10T14:23:43.978+0200,21.07432444,42.68416667,25.21
2017-05-10T14:23:45.137+0200,21.07432444,42.68416667,26.54
2017-05-10T14:23:46.278+0200,21.07432444,42.68416667,24.58
2017-05-10T14:23:47.499+0200,21.07432444,42.68416667,23.36
2017-05-10T14:23:48.633+0200,21.07432444,42.68416667,23.25
2017-05-10T14:23:49.804+0200,21.07432444,42.68416667,24.21
2017-05-10T14:23:50.958+0200,21.07432444,42.68416667,23.96
2017-05-10T14:23:52.164+0200,21.07432444,42.68416667,25.21
2017-05-10T14:23:53.276+0200,21.07432444,42.68416667,25.74
2017-05-10T14:23:54.459+0200,21.07411936,42.68436826,26.13
2017-05-10T14:23:55.633+0200,21.07412182,42.68438295,26.13
2017-05-10T14:23:56.817+0200,21.07414013,42.6844333,26.13
2017-05-10T14:23:57.948+0200,21.07417096,42.6844424,25.87
2017-05-10T14:23:59.122+0200,21.07421633,42.68440153,27.8
2017-05-10T14:24:00.307+0200,21.07416807,42.68441494,27.09
2017-05-10T14:24:01.498+0200,21.07417989,42.6843727,25.09
2017-05-10T14:24:02.647+0200,21.07420751,42.6843799,26.0
2017-05-10T14:24:03.812+0200,21.07422887,42.68439972,26.54
2017-05-10T14:24:04.943+0200,21.07424016,42.68443369,26.54
2017-05-10T14:24:06.118+0200,21.07423962,42.68441692,25.47
2017-05-10T14:24:07.267+0200,21.07423337,42.68443782,25.34
2017-05-10T14:24:08.483+0200,21.07426138,42.68445344,24.58
2017-05-10T14:24:09.637+0200,21.07426748,42.68446084,25.47
2017-05-10T14:24:10.823+0200,21.07426773,42.68446363,26.95
2017-05-10T14:24:11.934+0200,21.07426197,42.68448632,27.09
2017-05-10T14:24:13.169+0200,21.07427072,42.6844681,26.13
2017-05-10T14:24:14.301+0200,21.07430191,42.68449431,25.09
