sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-11T14:23:17.121+0200,21.07876911,42.6831994,15.66
2017-05-11T14:23:18.336+0200,21.07876109,42.68320304,18.66
2017-05-11T14:23:19.485+0200,21.07875058,42.68320228,18.94
2017-05-11T14:23:20.631+0200,21.07875492,42.6832129,20.51
2017-05-11T14:23:21.765+0200,21.07873883,42.6832178,21.56
2017-05-11T14:23:22.938+0200,21.07871286,42.68322848,22.33
2017-05-11T14:23:24.118+0200,21.07870057,42.68323051,23.13
2017-05-11T14:23:25.276+0200,21.07869448,42.68323017,23.01
2017-05-11T14:23:26.460+0200,21.07868241,42.68323493,22.22
2017-05-11T14:23:27.616+0200,21.07866956,42.68323752,21.45
2017-05-11T14:23:28.812+0200,21.07864061,42.68324348,22.67
2017-05-11T14:23:30.014+0200,21.07862534,42.68325028,23.96
2017-05-11T14:23:31.139+0200,21.0786135,42.68325426,22.22
2017-05-11T14:23:32.290+0200,21.07860398,42.6832589,21.34
2017-05-11T14:23:33.500+0200,21.07859119,42.68326258,19.32
2017-05-11T14:23:34.642+0200,21.07858174,42.68326255,17.94
2017-05-11T14:23:35.772+0200,21.07856987,42.68325775,17.94
2017-05-11T14:23:36.985+0200,21.07855993,42.68327303,18.66
2017-05-11T14:23:38.090+0200,21.07854507,42.68327471,20.1
2017-05-11T14:23:39.305+0200,21.07853402,42.68328023,22.22
2017-05-11T14:23:40.436+0200,21.07851202,42.68328321,25.09
2017-05-11T14:23:41.616+0200,21.07849851,42.68328505,26.68
2017-05-11T14:23:42.770+0200,21.07848945,42.68328996,26.54
2017-05-11T14:23:43.932+0200,21.0784716,42.68329938,26.4
2017-05-11T14:23:45.091+0200,21.0784673,42.68330094,26.54
2017-05-11T14:23:46.345+0200,21.07845798,42.68330378,26.0
2017-05-11T14:23:47.450+0200,21.07844345,42.68330598,24.71
2017-05-11T14:23:48.672+0200,21.07843081,42.6833142,25.74
2017-05-11T14:23:49.755+0200,21.07841801,42.68332332,27.94
2017-05-11T14:23:50.939+0200,21.07839524,42.68332866,29.58
2017-05-11T14:23:52.080+0200,21.07837923,42.68333065,31.31
2017-05-11T14:23:53.295+0200,21.07836475,42.68333461,33.33
2017-05-11T14:23:54.451+0200,21.07835289,42.68333477,32.14
2017-05-11T14:23:55.607+0200,21.0783428,42.68334018,30.51
2017-05-11T14:23:56.822+0200,21.07831398,42.68335415,30.04
2017-05-11T14:23:57.972+0200,21.07830364,42.68336214,27.66
2017-05-11T14:23:59.116+0200,21.07829606,42.68337005,29.27
2017-05-11T14:24:00.318+0200,21.07827921,42.6833743,26.13
2017-05-11T14:24:01.457+0200,21.0782608,42.68337416,24.21
2017-05-11T14:24:02.597+0200,21.07824706,42.68338151,23.13
2017-05-11T14:24:03.772+0200,21.07823916,42.68338262,24.96
2017-05-11T14:24:04.946+0200,21.0782097,42.68339751,25.47
2017-05-11T14:24:06.087+0200,21.07819192,42.6834019,26.54
2017-05-11T14:24:07.326+0200,21.07817079,42.68340686,26.68
2017-05-11T14:24:08.456+0200,21.07816002,42.68341385,28.09
2017-05-11T14:24:09.635+0200,21.07814207,42.68342143,27.51
2017-05-11T14:24:10.785+0200,21.07812784,42.68342525,26.54
2017-05-11T14:24:11.942+0200,21.07810157,42.6834294,28.82
2017-05-11T14:24:13.081+0200,21.07808119,42.68343045,30.83
2017-05-11T14:24:14.267+0200,21.07806683,42.68343466,32.31
2017-05-11T14:24:15.443+0200,21.07805148,42.68344122,34.2
2017-05-11T14:24:16.630+0200,21.07802836,42.68344768,31.48
2017-05-11T14:24:17.784+0200,21.07802635,42.68345737,33.67
2017-05-11T14:24:19.003+0200,21.0780074,42.68347008,34.74
2017-05-11T14:24:20.080+0200,21.07799384,42.68347997,35.47
2017-05-11T14:24:21.275+0200,21.0779795,42.68348556,31.64
