sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-11T14:22:41.270+0200,21.07904324,42.683158,10.37
2017-05-11T14:22:42.380+0200,21.07904086,42.68315565,10.0
2017-05-11T14:22:43.509+0200,21.07903418,42.68315675,10.3
2017-05-11T14:22:44.714+0200,21.07902649,42.68315966,10.22
2017-05-11T14:22:45.880+0200,21.07902248,42.68316302,11.04
2017-05-11T14:22:47.030+0200,21.07901642,42.68316401,15.18
2017-05-11T14:22:48.211+0200,21.07901165,42.6831669,16.23
2017-05-11T14:22:49.411+0200,21.07900555,42.68316714,16.15
2017-05-11T14:22:50.517+0200,21.07900664,42.68316724,14.79
2017-05-11T14:22:51.761+0200,21.07900658,42.68316707,14.1
2017-05-11T14:22:52.877+0200,21.0790024,42.68316596,13.19
2017-05-11T14:22:54.065+0200,21.07899479,42.6831694,12.9
2017-05-11T14:22:55.207+0200,21.07898279,42.68317368,13.19
2017-05-11T14:22:56.407+0200,21.07896777,42.68316947,13.12
2017-05-11T14:22:57.527+0200,21.07896315,42.68316873,12.97
2017-05-11T14:22:58.686+0200,21.07895213,42.68317058,13.42
2017-05-11T14:22:59.855+0200,21.07894249,42.68317698,14.56
2017-05-11T14:23:01.023+0200,21.07893214,42.68317989,13.34
2017-05-11T14:23:02.181+0200,21.07892201,42.68318362,12.82
2017-05-11T14:23:03.358+0200,21.07891269,42.68318583,13.12
2017-05-11T14:23:04.524+0200,21.07890178,42.68319348,12.52
2017-05-11T14:23:05.706+0200,21.07889196,42.68319877,12.3
2017-05-11T14:23:06.853+0200,21.07888275,42.68320178,11.56
2017-05-11T14:23:08.030+0200,21.07887194,42.68319997,11.19
2017-05-11T14:23:09.181+0200,21.0788633,42.68319866,12.45
2017-05-11T14:23:10.366+0200,21.07885569,42.68319926,12.15
2017-05-11T14:23:11.509+0200,21.07885151,42.6832046,12.15
2017-05-11T14:23:12.670+0200,21.07884491,42.6832056,11.49
2017-05-11T14:23:13.856+0200,21.07883357,42.6832083,11.63
2017-05-11T14:23:15.041+0200,21.07883211,42.68321341,12.38
2017-05-11T14:23:16.176+0200,21.07882772,42.68321643,13.34
2017-05-11T14:23:17.359+0200,21.07882031,42.68322175,15.42
2017-05-11T14:23:18.521+0200,21.07879291,42.68322698,17.32
2017-05-11T14:23:19.726+0200,21.07877561,42.68322926,18.85
2017-05-11T14:23:20.895+0200,21.07877561,42.68322926,21.13
2017-05-11T14:23:22.029+0200,21.0787444,42.68323317,22.44
2017-05-11T14:23:23.157+0200,21.0787375,42.68323587,24.33
2017-05-11T14:23:24.331+0200,21.07872188,42.68324311,24.96
2017-05-11T14:23:25.494+0200,21.0787046,42.6832499,25.87
2017-05-11T14:23:26.690+0200,21.07870571,42.68325366,28.09
2017-05-11T14:23:27.839+0200,21.078692,42.68326124,28.53
2017-05-11T14:23:29.104+0200,21.07870965,42.68327386,28.82
2017-05-11T14:23:30.197+0200,21.07870197,42.68327977,25.74
2017-05-11T14:23:31.354+0200,21.07868109,42.68328244,24.09
2017-05-11T14:23:32.509+0200,21.07865654,42.68328874,21.56
2017-05-11T14:23:33.669+0200,21.07863344,42.68329438,19.71
2017-05-11T14:23:34.836+0200,21.07861918,42.68329878,19.91
2017-05-11T14:23:35.995+0200,21.0786037,42.68330288,19.61
2017-05-11T14:23:37.184+0200,21.07859357,42.68331237,19.61
2017-05-11T14:23:38.337+0200,21.07858267,42.68331854,21.03
2017-05-11T14:23:39.501+0200,21.07861201,42.68333416,22.55
2017-05-11T14:23:40.695+0200,21.07860083,42.68333014,23.96
2017-05-11T14:23:41.819+0200,21.07858954,42.68332803,24.83
2017-05-11T14:23:42.991+0200,21.07856267,42.68332495,26.95
2017-05-11T14:23:44.176+0200,21.07854658,42.68332663,27.37
2017-05-11T14:23:45.330+0200,21.07852562,42.68333225,26.81
2017-05-11T14:23:46.507+0200,21.07849746,42.6833414,25.34
2017-05-11T14:23:47.687+0200,21.07848515,42.68334472,26.13
2017-05-11T14:23:48.830+0200,21.07846455,42.68334627,26.4
2017-05-11T14:23:50.008+0200,21.07844532,42.68334961,25.21
2017-05-11T14:23:51.171+0200,21.07842951,42.68335336,27.51
2017-05-11T14:23:52.348+0200,21.07842666,42.68335824,27.8
2017-05-11T14:23:53.516+0200,21.07839759,42.68336713,30.99
2017-05-11T14:23:54.706+0200,21.07838109,42.68337105,28.09
2017-05-11T14:23:55.840+0200,21.07836717,42.68337471,29.58
2017-05-11T14:23:57.057+0200,21.07834935,42.68337679,26.13
2017-05-11T14:23:58.164+0200,21.07833415,42.6833795,24.96
2017-05-11T14:23:59.354+0200,21.07832218,42.68337975,24.96
2017-05-11T14:24:00.476+0200,21.07829124,42.68338702,25.6
2017-05-11T14:24:01.704+0200,21.07826606,42.68338871,24.21
2017-05-11T14:24:02.817+0200,21.07826144,42.68339147,25.09
2017-05-11T14:24:03.990+0200,21.07822976,42.68339595,24.96
2017-05-11T14:24:05.174+0200,21.07822397,42.68340017,24.71
2017-05-11T14:24:06.326+0200,21.07820203,42.68340249,23.13
2017-05-11T14:24:07.537+0200,21.07814697,42.68341154,22.55
2017-05-11T14:24:08.676+0200,21.07814251,42.68341344,20.82
2017-05-11T14:24:09.850+0200,21.0781295,42.68341769,21.77
2017-05-11T14:24:11.003+0200,21.07811391,42.68342458,23.48
2017-05-11T14:24:12.173+0200,21.07809095,42.68342742,23.96
2017-05-11T14:24:13.342+0200,21.07807208,42.68343131,24.71
2017-05-11T14:24:14.539+0200,21.07801971,42.6834368,23.96
2017-05-11T14:24:15.718+0200,21.07799873,42.68344086,25.21
2017-05-11T14:24:16.828+0200,21.07798914,42.68344387,26.13
2017-05-11T14:24:17.983+0200,21.07799739,42.68344874,26.81
2017-05-11T14:24:19.175+0200,21.07797817,42.68345308,28.53
2017-05-11T14:24:20.345+0200,21.07795602,42.68345776,27.09
2017-05-11T14:24:21.481+0200,21.07793807,42.68347449,25.34
2017-05-11T14:24:22.660+0200,21.07792065,42.68347878,25.6
2017-05-11T14:24:23.829+0200,21.07790716,42.68348481,24.96
2017-05-11T14:24:24.977+0200,21.07788223,42.68348956,21.99
2017-05-11T14:24:26.121+0200,21.07785896,42.68349609,21.13
2017-05-11T14:24:27.337+0200,21.07784248,42.68349638,20.2
2017-05-11T14:24:28.463+0200,21.07780276,42.68349818,20.1
2017-05-11T14:24:29.696+0200,21.0777869,42.68349948,19.23
2017-05-11T14:24:30.815+0200,21.07778121,42.68350308,18.3
2017-05-11T14:24:32.015+0200,21.07776503,42.68350342,18.03
2017-05-11T14:24:33.155+0200,21.0777592,42.68350375,16.81
2017-05-11T14:24:34.326+0200,21.07775814,42.68350955,16.64
2017-05-11T14:24:35.477+0200,21.0777179,42.68351747,15.82
2017-05-11T14:24:36.677+0200,21.07772368,42.68352573,15.34
2017-05-11T14:24:37.802+0200,21.07769763,42.68352518,14.95
2017-05-11T14:24:38.980+0200,21.07767369,42.68352736,15.18
2017-05-11T14:24:40.143+0200,21.07765126,42.68352973,16.31
2017-05-11T14:24:41.346+0200,21.07764699,42.68353067,15.18
2017-05-11T14:24:42.497+0200,21.07760387,42.68353703,15.03
2017-05-11T14:24:43.685+0200,21.07757228,42.68353609,15.11
2017-05-11T14:24:44.829+0200,21.07755216,42.68353906,15.82
2017-05-11T14:24:46.001+0200,21.07752628,42.68354185,15.82
2017-05-11T14:24:47.151+0200,21.07749776,42.68354368,18.39
2017-05-11T14:24:48.346+0200,21.07747932,42.68354718,22.44
2017-05-11T14:24:49.504+0200,21.07746248,42.68355556,24.71
2017-05-11T14:24:50.684+0200,21.0774397,42.68356009,26.95
2017-05-11T14:24:51.816+0200,21.07745209,42.68357034,25.21
2017-05-11T14:24:53.014+0200,21.07742374,42.6835729,26.0
2017-05-11T14:24:54.166+0200,21.07741883,42.68358041,27.8
2017-05-11T14:24:55.309+0200,21.07740597,42.68358501,31.31
2017-05-11T14:24:56.479+0200,21.07737123,42.68359572,29.73
2017-05-11T14:24:57.664+0200,21.07735053,42.6836003,29.27
2017-05-11T14:24:58.817+0200,21.07732538,42.68359973,32.14
2017-05-11T14:24:59.985+0200,21.07731001,42.68360446,36.96
2017-05-11T14:25:01.153+0200,21.07730076,42.68360792,38.71
2017-05-11T14:25:02.309+0200,21.07727572,42.68360903,37.73
2017-05-11T14:25:03.490+0200,21.07724069,42.68360807,36.77
2017-05-11T14:25:04.662+0200,21.07722226,42.68361783,34.92
2017-05-11T14:25:05.832+0200,21.07718676,42.68361815,33.85
2017-05-11T14:25:07.007+0200,21.0772009,42.68363029,30.35
2017-05-11T14:25:08.134+0200,21.07718283,42.68363571,28.23
2017-05-11T14:25:09.335+0200,21.07716987,42.68364119,25.47
2017-05-11T14:25:10.487+0200,21.07718722,42.68365323,24.33
2017-05-11T14:25:11.664+0200,21.07717404,42.68365513,24.21
2017-05-11T14:25:12.845+0200,21.07715371,42.6836622,24.09
