sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-11T11:21:23.341+0200,21.06780673,42.68706042,31.81
2017-05-11T11:21:24.532+0200,21.06780606,42.68705937,31.97
2017-05-11T11:21:25.674+0200,21.06780566,42.68705854,32.14
2017-05-11T11:21:26.846+0200,21.06780506,42.68705809,31.81
2017-05-11T11:21:27.998+0200,21.06780444,42.68705749,31.97
2017-05-11T11:21:29.191+0200,21.06780381,42.6870568,32.47
2017-05-11T11:21:30.332+0200,21.06780264,42.68705453,33.85
2017-05-11T11:21:31.506+0200,21.06780211,42.68705405,30.83
2017-05-11T11:21:32.662+0200,21.06694022,42.68709499,32.64
2017-05-11T11:21:33.846+0200,21.06694919,42.68710434,33.85
2017-05-11T11:21:35.003+0200,21.06696273,42.68711626,32.81
2017-05-11T11:21:36.186+0200,21.06698442,42.68712549,32.47
2017-05-11T11:21:37.338+0200,21.0670135,42.68713514,32.64
2017-05-11T11:21:38.518+0200,21.06702849,42.68713248,31.64
2017-05-11T11:21:39.663+0200,21.06704703,42.6871328,30.51
2017-05-11T11:21:40.846+0200,21.06706999,42.68712985,31.81
2017-05-11T11:21:41.995+0200,21.06708493,42.68712375,33.67
2017-05-11T11:21:43.172+0200,21.06710145,42.68712374,34.2
2017-05-11T11:21:44.336+0200,21.06713539,42.68711388,35.47
2017-05-11T11:21:45.513+0200,21.06714272,42.68711069,35.28
2017-05-11T11:21:46.658+0200,21.06715427,42.68710242,36.39
2017-05-11T11:21:47.837+0200,21.06716586,42.68709909,36.58
2017-05-11T11:21:48.991+0200,21.0671785,42.6870911,36.39
2017-05-11T11:21:50.170+0200,21.06718876,42.68708786,37.54
2017-05-11T11:21:51.322+0200,21.06721482,42.68707446,35.1
2017-05-11T11:21:52.505+0200,21.0672252,42.68706497,33.67
2017-05-11T11:21:53.666+0200,21.06723911,42.68705398,31.97
2017-05-11T11:21:54.836+0200,21.06725386,42.68705136,31.97
2017-05-11T11:21:55.998+0200,21.06726172,42.68704757,32.81
2017-05-11T11:21:57.177+0200,21.06727032,42.68703975,31.48
2017-05-11T11:21:58.333+0200,21.06728807,42.68702858,31.81
2017-05-11T11:21:59.510+0200,21.06729595,42.68702015,30.99
2017-05-11T11:22:00.655+0200,21.06730917,42.68701238,31.48
2017-05-11T11:22:01.842+0200,21.06732292,42.68700954,32.14
2017-05-11T11:22:02.986+0200,21.06733165,42.6870023,30.99
2017-05-11T11:22:04.166+0200,21.0673413,42.68699494,31.97
2017-05-11T11:22:05.331+0200,21.06737066,42.6869843,30.99
2017-05-11T11:22:06.511+0200,21.06737962,42.68697822,31.48
2017-05-11T11:22:07.653+0200,21.06739138,42.68697083,29.43
2017-05-11T11:22:08.833+0200,21.06740464,42.6869651,28.38
2017-05-11T11:22:09.985+0200,21.06741383,42.68696215,29.43
2017-05-11T11:22:11.173+0200,21.06743027,42.68695375,30.83
2017-05-11T11:22:12.330+0200,21.06745742,42.68694158,29.89
2017-05-11T11:22:13.505+0200,21.067473,42.68694045,31.15
2017-05-11T11:22:14.656+0200,21.06748214,42.68693668,32.47
2017-05-11T11:22:15.830+0200,21.06749733,42.68692734,34.38
2017-05-11T11:22:16.992+0200,21.06750899,42.68692444,36.21
2017-05-11T11:22:18.163+0200,21.06751927,42.68691979,36.02
2017-05-11T11:22:19.330+0200,21.06754548,42.68691164,36.58
2017-05-11T11:22:20.498+0200,21.06756051,42.68690898,35.65
2017-05-11T11:22:21.656+0200,21.06757061,42.68690967,33.5
2017-05-11T11:22:22.825+0200,21.06758251,42.68690653,33.67
2017-05-11T11:22:23.986+0200,21.0675881,42.68690107,35.65
2017-05-11T11:22:25.171+0200,21.06759729,42.6868992,32.47
2017-05-11T11:22:26.316+0200,21.06761487,42.68689024,28.38
2017-05-11T11:22:27.495+0200,21.06762785,42.68688883,26.0
2017-05-11T11:22:28.645+0200,21.0676398,42.68688388,26.95
2017-05-11T11:22:29.827+0200,21.06765046,42.68687817,28.53
2017-05-11T11:22:30.981+0200,21.06766112,42.68686926,29.12
2017-05-11T11:22:32.160+0200,21.06767217,42.68685858,29.89
2017-05-11T11:22:33.312+0200,21.06769793,42.6868448,29.89
2017-05-11T11:22:34.497+0200,21.0677054,42.68683638,30.67
2017-05-11T11:22:35.645+0200,21.0677156,42.6868308,30.99
2017-05-11T11:22:36.827+0200,21.06772671,42.68683044,32.81
2017-05-11T11:22:37.987+0200,21.06774379,42.68682281,32.64
2017-05-11T11:22:39.156+0200,21.06775742,42.68681702,32.64
2017-05-11T11:22:40.318+0200,21.06778201,42.68679986,30.67
2017-05-11T11:22:41.503+0200,21.06779367,42.68679385,31.15
2017-05-11T11:22:42.644+0200,21.06780734,42.68678751,29.12
2017-05-11T11:22:43.821+0200,21.06782161,42.68678198,28.97
2017-05-11T11:22:44.977+0200,21.06783642,42.68677705,29.27
2017-05-11T11:22:46.164+0200,21.06785052,42.68677182,30.99
2017-05-11T11:22:47.313+0200,21.06787584,42.68675544,33.33
2017-05-11T11:22:48.489+0200,21.06788909,42.68674911,32.47
2017-05-11T11:22:49.646+0200,21.06790398,42.68674199,29.43
2017-05-11T11:22:50.819+0200,21.06791565,42.68673373,31.48
2017-05-11T11:22:51.972+0200,21.06792722,42.68672644,29.58
2017-05-11T11:22:53.165+0200,21.067939,42.68672846,32.31
2017-05-11T11:22:54.314+0200,21.0679609,42.68671646,33.33
2017-05-11T11:22:55.489+0200,21.06797382,42.68671135,34.56
2017-05-11T11:22:56.648+0200,21.06798556,42.68670957,35.83
2017-05-11T11:22:57.817+0200,21.06799613,42.68670881,37.15
2017-05-11T11:22:58.969+0200,21.06800491,42.6867029,36.96
2017-05-11T11:23:00.153+0200,21.0680159,42.68669575,38.32
2017-05-11T11:23:01.315+0200,21.06804316,42.68668938,39.31
2017-05-11T11:23:02.481+0200,21.06806032,42.6866823,39.51
2017-05-11T11:23:03.641+0200,21.06807202,42.68667981,38.91
2017-05-11T11:23:04.819+0200,21.06808372,42.68667698,40.95
2017-05-11T11:23:05.984+0200,21.06809913,42.68667107,41.79
2017-05-11T11:23:07.161+0200,21.06811264,42.68667103,41.37
2017-05-11T11:23:08.305+0200,21.06813725,42.68665752,39.11
2017-05-11T11:23:09.498+0200,21.06815056,42.6866524,40.74
2017-05-11T11:23:10.647+0200,21.06816744,42.68664528,40.95
2017-05-11T11:23:11.834+0200,21.06818053,42.6866412,41.79
2017-05-11T11:23:12.967+0200,21.06819484,42.68663875,38.91
2017-05-11T11:23:14.158+0200,21.06820997,42.6866346,34.2
2017-05-11T11:23:15.302+0200,21.06823219,42.68663181,36.58
2017-05-11T11:23:16.484+0200,21.06824474,42.68662625,34.56
2017-05-11T11:23:17.646+0200,21.06825252,42.68662034,35.1
2017-05-11T11:23:18.818+0200,21.06826366,42.68661501,33.85
2017-05-11T11:23:19.978+0200,21.06827843,42.68661218,36.39
2017-05-11T11:23:21.149+0200,21.0682933,42.68660456,37.15
2017-05-11T11:23:22.301+0200,21.06832112,42.68659214,38.71
2017-05-11T11:23:23.481+0200,21.06833413,42.68658426,39.72
2017-05-11T11:23:24.630+0200,21.06834512,42.68658121,42.86
2017-05-11T11:23:25.809+0200,21.06835751,42.6865739,46.2
2017-05-11T11:23:26.965+0200,21.06836948,42.68656661,46.43
2017-05-11T11:23:28.143+0200,21.06837854,42.68655508,47.36
2017-05-11T11:23:29.300+0200,21.06840653,42.68654435,45.07
2017-05-11T11:23:30.488+0200,21.06841904,42.68654277,45.97
2017-05-11T11:23:31.639+0200,21.06843737,42.68653978,46.43
2017-05-11T11:23:32.814+0200,21.06845358,42.68653868,47.12
2017-05-11T11:23:33.973+0200,21.06846592,42.68653669,43.73
2017-05-11T11:23:35.150+0200,21.06847845,42.68653136,45.97
2017-05-11T11:23:36.297+0200,21.06850386,42.68651619,46.89
2017-05-11T11:23:37.478+0200,21.06851734,42.68651281,45.29
2017-05-11T11:23:38.630+0200,21.06853228,42.68650835,46.66
2017-05-11T11:23:39.808+0200,21.06854611,42.6865013,45.74
2017-05-11T11:23:40.965+0200,21.06855747,42.68650058,44.62
2017-05-11T11:23:42.143+0200,21.06856659,42.68649814,45.97
2017-05-11T11:23:43.297+0200,21.06859083,42.6864879,47.59
2017-05-11T11:23:44.483+0200,21.06859862,42.68648656,44.84
2017-05-11T11:23:45.644+0200,21.0686093,42.6864798,44.62
2017-05-11T11:23:46.818+0200,21.06861601,42.68647756,45.97
2017-05-11T11:23:47.968+0200,21.06862308,42.68647338,44.17
2017-05-11T11:23:49.154+0200,21.0686375,42.6864661,40.54
2017-05-11T11:23:50.298+0200,21.06866161,42.68645745,40.54
2017-05-11T11:23:51.488+0200,21.06867432,42.6864545,39.11
2017-05-11T11:23:52.640+0200,21.06869616,42.68645471,38.71
2017-05-11T11:23:53.828+0200,21.06871317,42.68645116,38.71
2017-05-11T11:23:54.958+0200,21.06872881,42.68644365,38.51
