sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-11T10:15:07.063+0200,21.07332533,42.68476598,61.14
2017-05-11T10:15:08.242+0200,21.07332487,42.68477244,61.14
2017-05-11T10:15:09.419+0200,21.07332736,42.68477628,61.14
2017-05-11T10:15:10.561+0200,21.0733313,42.68477733,61.42
2017-05-11T10:15:11.723+0200,21.07332614,42.68477974,63.94
2017-05-11T10:15:12.892+0200,21.07331182,42.68478498,61.97
2017-05-11T10:15:14.040+0200,21.07330566,42.68479283,58.69
2017-05-11T10:15:15.223+0200,21.07329037,42.68479509,56.82
2017-05-11T10:15:16.402+0200,21.07328315,42.68480322,55.77
2017-05-11T10:15:17.555+0200,21.07327572,42.68480252,54.73
2017-05-11T10:15:18.733+0200,21.07326461,42.68480595,55.25
2017-05-11T10:15:19.887+0200,21.07324114,42.68481129,53.2
2017-05-11T10:15:21.065+0200,21.07322946,42.68481467,53.45
2017-05-11T10:15:22.246+0200,21.07321219,42.68481759,55.25
2017-05-11T10:15:23.427+0200,21.07319761,42.68482205,61.69
2017-05-11T10:15:24.547+0200,21.07318836,42.68482731,63.09
2017-05-11T10:15:25.733+0200,21.07318128,42.68482897,62.53
2017-05-11T10:15:26.895+0200,21.07315216,42.68483731,61.69
2017-05-11T10:15:28.086+0200,21.07314212,42.68484036,60.04
2017-05-11T10:15:29.206+0200,21.07313028,42.68484401,59.5
2017-05-11T10:15:30.368+0200,21.07311347,42.684847,59.5
2017-05-11T10:15:31.552+0200,21.07310145,42.68484282,60.59
2017-05-11T10:15:32.741+0200,21.07309591,42.68484259,57.62
2017-05-11T10:15:33.892+0200,21.07306918,42.68485484,53.2
2017-05-11T10:15:35.040+0200,21.07305832,42.68486217,51.2
2017-05-11T10:15:36.226+0200,21.07304865,42.68486711,53.96
2017-05-11T10:15:37.386+0200,21.07303864,42.68487029,57.35
2017-05-11T10:15:38.538+0200,21.07302947,42.6848762,62.53
2017-05-11T10:15:39.720+0200,21.07301979,42.68487791,61.42
2017-05-11T10:15:40.874+0200,21.07300892,42.68488515,61.69
2017-05-11T10:15:42.055+0200,21.07298182,42.68489384,58.15
2017-05-11T10:15:43.208+0200,21.07297608,42.68490253,59.77
2017-05-11T10:15:44.377+0200,21.07296531,42.68490236,57.08
2017-05-11T10:15:45.540+0200,21.07295509,42.68490796,53.45
2017-05-11T10:15:46.726+0200,21.07294489,42.68491235,50.46
2017-05-11T10:15:47.890+0200,21.0729224,42.68492056,50.71
2017-05-11T10:15:49.116+0200,21.07290336,42.68492181,44.84
2017-05-11T10:15:50.223+0200,21.07288763,42.68492616,40.12
2017-05-11T10:15:51.393+0200,21.07287821,42.68493316,40.33
2017-05-11T10:15:52.552+0200,21.07286636,42.68493783,43.73
2017-05-11T10:15:53.714+0200,21.07285686,42.68494301,45.07
2017-05-11T10:15:54.915+0200,21.0728227,42.68495071,46.66
2017-05-11T10:15:56.041+0200,21.07280918,42.68495421,49.25
2017-05-11T10:15:57.225+0200,21.07279985,42.68495876,49.01
2017-05-11T10:15:58.411+0200,21.07278381,42.68496173,48.54
2017-05-11T10:15:59.590+0200,21.07277511,42.68496769,48.54
2017-05-11T10:16:00.746+0200,21.07276307,42.68497092,48.3
2017-05-11T10:16:01.920+0200,21.07274155,42.68497731,45.74
2017-05-11T10:16:03.101+0200,21.07273052,42.68497991,45.52
2017-05-11T10:16:04.200+0200,21.07271544,42.68498382,47.36
2017-05-11T10:16:05.398+0200,21.07270133,42.68498688,44.4
2017-05-11T10:16:06.598+0200,21.07268618,42.68499023,48.3
2017-05-11T10:16:07.752+0200,21.07266935,42.6849927,45.74
2017-05-11T10:16:08.860+0200,21.07265278,42.68499327,42.86
2017-05-11T10:16:10.061+0200,21.07262755,42.68499735,45.07
2017-05-11T10:16:11.242+0200,21.07261551,42.68500321,46.66
