sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-12T14:27:21.951+0200,21.06307092,42.69117434,18.48
2017-05-12T14:27:23.061+0200,21.06307245,42.69117296,19.91
2017-05-12T14:27:24.240+0200,21.06307328,42.69117205,18.66
2017-05-12T14:27:25.453+0200,21.06307273,42.69117108,17.94
2017-05-12T14:27:26.586+0200,21.06307278,42.69117093,18.03
2017-05-12T14:27:27.770+0200,21.06307276,42.69117067,18.3
2017-05-12T14:27:28.914+0200,21.06307274,42.69117069,18.57
2017-05-12T14:27:30.058+0200,21.06307273,42.69117069,18.66
2017-05-12T14:27:31.247+0200,21.06307274,42.69117065,19.61
2017-05-12T14:27:32.458+0200,21.06307273,42.69117064,20.41
2017-05-12T14:27:33.583+0200,21.06307271,42.69117061,20.2
2017-05-12T14:27:34.749+0200,21.06307269,42.69117057,19.71
2017-05-12T14:27:35.922+0200,21.06307268,42.69117054,18.66
2017-05-12T14:27:37.107+0200,21.06307267,42.69117052,19.23
2017-05-12T14:27:38.257+0200,21.06307265,42.6911705,18.3
2017-05-12T14:27:39.398+0200,21.06307263,42.69117047,17.94
2017-05-12T14:27:40.612+0200,21.06307265,42.69117048,17.67
2017-05-12T14:27:41.741+0200,21.0630727,42.69117043,17.5
2017-05-12T14:27:42.921+0200,21.06307481,42.69116868,17.24
2017-05-12T14:27:44.072+0200,21.06307622,42.69117033,17.5
2017-05-12T14:27:45.250+0200,21.06307776,42.69116959,16.98
2017-05-12T14:27:46.423+0200,21.06308098,42.69116846,18.03
2017-05-12T14:27:47.585+0200,21.06308305,42.69116825,17.85
2017-05-12T14:27:48.766+0200,21.06308474,42.69116755,17.5
2017-05-12T14:27:49.936+0200,21.0630851,42.69116639,19.13
2017-05-12T14:27:51.083+0200,21.06308451,42.69116571,20.92
2017-05-12T14:27:52.256+0200,21.06308521,42.69116483,21.45
2017-05-12T14:27:53.386+0200,21.0630852,42.69116245,23.36
2017-05-12T14:27:54.591+0200,21.06308545,42.69116216,21.24
2017-05-12T14:27:55.745+0200,21.06308337,42.69116103,21.99
2017-05-12T14:27:56.946+0200,21.06308695,42.69115966,21.03
2017-05-12T14:27:58.074+0200,21.0630872,42.69115976,21.99
2017-05-12T14:27:59.247+0200,21.06308912,42.69115961,22.33
2017-05-12T14:28:00.408+0200,21.06308956,42.69115942,21.99
2017-05-12T14:28:01.591+0200,21.06308994,42.69115796,22.67
2017-05-12T14:28:02.726+0200,21.063092,42.69115791,21.34
2017-05-12T14:28:03.918+0200,21.06309127,42.69115678,21.03
2017-05-12T14:28:05.109+0200,21.06309094,42.69115581,20.01
2017-05-12T14:28:06.259+0200,21.06309084,42.69115599,19.32
2017-05-12T14:28:07.420+0200,21.06308995,42.69115608,18.12
2017-05-12T14:28:08.621+0200,21.06308963,42.69115625,17.58
2017-05-12T14:28:09.719+0200,21.0630898,42.69115634,16.9
2017-05-12T14:28:10.926+0200,21.0630898,42.69115632,17.32
2017-05-12T14:28:12.106+0200,21.06308969,42.69115635,18.39
2017-05-12T14:28:13.259+0200,21.06308969,42.69115633,18.39
2017-05-12T14:28:14.425+0200,21.06308966,42.69115631,19.61
2017-05-12T14:28:15.578+0200,21.06308964,42.69115635,18.57
2017-05-12T14:28:16.771+0200,21.06308965,42.69115634,18.03
2017-05-12T14:28:17.916+0200,21.06308967,42.69115634,18.3
2017-05-12T14:28:19.066+0200,21.06308965,42.69115635,19.23
2017-05-12T14:28:20.246+0200,21.0630897,42.69115633,19.71
2017-05-12T14:28:21.396+0200,21.06308943,42.69115653,19.81
2017-05-12T14:28:22.574+0200,21.06308944,42.69115653,18.3
2017-05-12T14:28:23.775+0200,21.06308961,42.6911564,18.66
2017-05-12T14:28:24.945+0200,21.06308963,42.69115637,20.61
2017-05-12T14:28:26.060+0200,21.06308959,42.69115641,21.34
2017-05-12T14:28:27.261+0200,21.06308961,42.69115638,19.42
2017-05-12T14:28:28.406+0200,21.06308959,42.6911564,19.32
2017-05-12T14:28:29.593+0200,21.06308959,42.69115639,18.85
2017-05-12T14:28:30.714+0200,21.0630896,42.69115639,19.42
2017-05-12T14:28:31.965+0200,21.06308961,42.69115637,18.12
2017-05-12T14:28:33.045+0200,21.06308959,42.69115639,18.85
2017-05-12T14:28:34.245+0200,21.06308956,42.69115639,19.51
2017-05-12T14:28:35.373+0200,21.06308957,42.69115657,19.81
2017-05-12T14:28:36.576+0200,21.06308953,42.6911566,20.31
2017-05-12T14:28:37.749+0200,21.06308947,42.69115677,19.61
2017-05-12T14:28:38.921+0200,21.06308936,42.69115711,20.61
2017-05-12T14:28:40.111+0200,21.0630893,42.69115713,19.23
2017-05-12T14:28:41.215+0200,21.06308926,42.69115718,20.61
2017-05-12T14:28:42.390+0200,21.06308922,42.69115724,20.51
2017-05-12T14:28:43.584+0200,21.06308917,42.6911573,20.51
2017-05-12T14:28:44.721+0200,21.06308598,42.69116193,20.2
2017-05-12T14:28:45.925+0200,21.06308205,42.6911649,20.71
2017-05-12T14:28:47.094+0200,21.06307945,42.69116936,19.42
2017-05-12T14:28:48.248+0200,21.06307558,42.69117193,19.42
2017-05-12T14:28:49.376+0200,21.06307406,42.69117626,19.51
2017-05-12T14:28:50.595+0200,21.06307349,42.69117736,18.66
2017-05-12T14:28:51.735+0200,21.06307181,42.69117597,18.03
2017-05-12T14:28:52.908+0200,21.06306745,42.69118235,17.85
2017-05-12T14:28:54.046+0200,21.06305972,42.69119211,17.24
2017-05-12T14:28:55.237+0200,21.06305481,42.69119765,15.66
2017-05-12T14:28:56.385+0200,21.06304726,42.69120127,14.48
2017-05-12T14:28:57.547+0200,21.06304241,42.69120925,14.64
2017-05-12T14:28:58.744+0200,21.0630398,42.69121711,14.79
2017-05-12T14:28:59.921+0200,21.06304224,42.69121655,15.42
2017-05-12T14:29:01.089+0200,21.06303672,42.69121988,16.07
2017-05-12T14:29:02.223+0200,21.06303242,42.69122335,16.23
2017-05-12T14:29:03.371+0200,21.06302625,42.69123232,15.58
2017-05-12T14:29:04.561+0200,21.063013,42.69124479,15.34
2017-05-12T14:29:05.715+0200,21.06298978,42.69126381,14.41
2017-05-12T14:29:06.883+0200,21.06297874,42.69127519,13.57
2017-05-12T14:29:08.068+0200,21.06296982,42.69128607,13.42
2017-05-12T14:29:09.246+0200,21.06295767,42.6912957,13.42
2017-05-12T14:29:10.413+0200,21.06294925,42.69130898,13.65
2017-05-12T14:29:11.590+0200,21.06294134,42.69131901,13.42
2017-05-12T14:29:12.748+0200,21.06292128,42.69134042,13.8
2017-05-12T14:29:13.896+0200,21.0629112,42.6913514,14.1
2017-05-12T14:29:15.061+0200,21.06290165,42.69136371,14.1
2017-05-12T14:29:16.278+0200,21.06288858,42.69137058,14.79
2017-05-12T14:29:17.361+0200,21.06287657,42.69137758,14.79
2017-05-12T14:29:18.543+0200,21.06286839,42.6913846,14.18
2017-05-12T14:29:19.715+0200,21.06285738,42.69140309,14.41
2017-05-12T14:29:20.896+0200,21.06285372,42.69141096,14.1
2017-05-12T14:29:22.046+0200,21.062844,42.69141945,14.25
2017-05-12T14:29:23.239+0200,21.06283732,42.69143155,13.57
2017-05-12T14:29:24.371+0200,21.06282906,42.69143946,13.12
2017-05-12T14:29:25.548+0200,21.06282056,42.69144998,13.12
2017-05-12T14:29:26.725+0200,21.06281193,42.69146935,13.27
2017-05-12T14:29:27.879+0200,21.06280291,42.69147647,13.8
2017-05-12T14:29:29.053+0200,21.06279675,42.69148495,13.8
2017-05-12T14:29:30.245+0200,21.06278823,42.69149303,14.02
2017-05-12T14:29:31.386+0200,21.06278124,42.69150436,14.02
2017-05-12T14:29:32.569+0200,21.06277021,42.69151475,14.72
2017-05-12T14:29:33.696+0200,21.06275101,42.6915327,14.56
2017-05-12T14:29:34.881+0200,21.06274457,42.69154093,14.87
2017-05-12T14:29:36.044+0200,21.06273517,42.691548,16.07
2017-05-12T14:29:37.226+0200,21.06272781,42.69155869,16.9
2017-05-12T14:29:38.352+0200,21.06272,42.69157,17.24
2017-05-12T14:29:39.559+0200,21.06271263,42.69158137,18.03
2017-05-12T14:29:40.728+0200,21.0626895,42.69160182,17.07
2017-05-12T14:29:41.885+0200,21.06268134,42.69161283,16.98
2017-05-12T14:29:43.037+0200,21.06267252,42.69162065,17.15
2017-05-12T14:29:44.240+0200,21.06266164,42.6916281,17.41
2017-05-12T14:29:45.372+0200,21.06265348,42.69163729,17.15
2017-05-12T14:29:46.555+0200,21.06264756,42.69164711,17.15
2017-05-12T14:29:47.681+0200,21.06263011,42.6916667,16.39
2017-05-12T14:29:48.876+0200,21.06262267,42.69167572,16.56
2017-05-12T14:29:50.040+0200,21.06261461,42.69168408,15.98
2017-05-12T14:29:51.222+0200,21.06260815,42.69168946,16.15
2017-05-12T14:29:52.398+0200,21.06260214,42.6916949,16.98
2017-05-12T14:29:53.530+0200,21.06259547,42.69170095,15.74
