sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-15T23:35:41.928+0200,21.091465,42.6798105,17.5
2017-06-15T23:35:43.094+0200,21.091465,42.6798105,18.57
2017-06-15T23:35:44.307+0200,21.091465,42.6798105,18.12
2017-06-15T23:35:45.408+0200,21.091465,42.6798105,18.39
2017-06-15T23:35:46.638+0200,21.091465,42.6798105,18.85
2017-06-15T23:35:47.774+0200,21.091465,42.6798105,18.85
2017-06-15T23:35:48.949+0200,21.091465,42.6798105,19.91
2017-06-15T23:35:50.128+0200,21.091465,42.6798105,19.91
2017-06-15T23:35:51.261+0200,21.091465,42.6798105,19.71
2017-06-15T23:35:52.426+0200,21.091465,42.6798105,20.01
2017-06-15T23:35:53.578+0200,21.091465,42.6798105,19.61
2017-06-15T23:35:54.790+0200,21.091465,42.6798105,19.23
2017-06-15T23:35:55.908+0200,21.091465,42.6798105,18.94
2017-06-15T23:35:57.101+0200,21.091465,42.6798105,18.76
2017-06-15T23:35:58.267+0200,21.091465,42.6798105,19.32
2017-06-15T23:35:59.445+0200,21.091465,42.6798105,19.51
2017-06-15T23:36:00.596+0200,21.091465,42.6798105,20.61
2017-06-15T23:36:01.781+0200,21.091465,42.6798105,19.13
2017-06-15T23:36:02.950+0200,21.091465,42.6798105,19.23
2017-06-15T23:36:04.145+0200,21.091465,42.6798105,19.04
2017-06-15T23:36:05.243+0200,21.091465,42.6798105,19.04
2017-06-15T23:36:06.429+0200,21.091465,42.6798105,19.51
2017-06-15T23:36:07.604+0200,21.091465,42.6798105,19.13
2017-06-15T23:36:08.796+0200,21.091465,42.6798105,19.51
2017-06-15T23:36:09.912+0200,21.091465,42.6798105,19.23
2017-06-15T23:36:11.099+0200,21.091465,42.6798105,19.23
2017-06-15T23:36:12.251+0200,21.08977268,42.68006012,19.51
2017-06-15T23:36:13.469+0200,21.08973119,42.68008952,21.45
2017-06-15T23:36:14.648+0200,21.08968982,42.68000639,20.41
2017-06-15T23:36:15.784+0200,21.08967248,42.68003548,20.71
2017-06-15T23:36:16.922+0200,21.08967069,42.68003466,21.13
2017-06-15T23:36:18.109+0200,21.08966869,42.6800603,20.01
2017-06-15T23:36:19.283+0200,21.0896692,42.68006948,20.01
2017-06-15T23:36:20.497+0200,21.08966832,42.68006484,19.61
2017-06-15T23:36:21.596+0200,21.08967485,42.68006582,19.71
2017-06-15T23:36:22.734+0200,21.08967484,42.68006018,18.66
2017-06-15T23:36:23.928+0200,21.08967043,42.68006871,17.67
2017-06-15T23:36:25.116+0200,21.08965729,42.68007446,18.3
2017-06-15T23:36:26.346+0200,21.08965729,42.68007454,19.23
2017-06-15T23:36:27.448+0200,21.08965893,42.68007431,18.76
2017-06-15T23:36:28.578+0200,21.08965852,42.68007801,17.5
2017-06-15T23:36:29.759+0200,21.08965805,42.68008054,17.67
2017-06-15T23:36:30.909+0200,21.0896581,42.68007687,17.32
2017-06-15T23:36:32.196+0200,21.08966333,42.68006933,17.15
2017-06-15T23:36:33.244+0200,21.0896638,42.68006944,17.24
2017-06-15T23:36:34.451+0200,21.08966421,42.68006953,17.58
2017-06-15T23:36:35.587+0200,21.08966455,42.68006999,17.32
2017-06-15T23:36:36.783+0200,21.08966464,42.68007015,16.9
2017-06-15T23:36:38.047+0200,21.08966475,42.68007032,16.98
2017-06-15T23:36:39.116+0200,21.0896649,42.68007041,17.24
2017-06-15T23:36:40.299+0200,21.08966477,42.6800705,17.58
2017-06-15T23:36:41.485+0200,21.08966488,42.68007054,17.24
2017-06-15T23:36:42.608+0200,21.08966479,42.68007051,17.07
2017-06-15T23:36:43.743+0200,21.08966488,42.6800706,17.15
2017-06-15T23:36:44.890+0200,21.08966502,42.68007076,17.41
2017-06-15T23:36:46.095+0200,21.08966517,42.68007091,17.58
2017-06-15T23:36:47.257+0200,21.08966526,42.68007085,17.07
2017-06-15T23:36:48.400+0200,21.08966533,42.68007094,17.07
2017-06-15T23:36:49.590+0200,21.0896654,42.68007094,16.9
2017-06-15T23:36:50.724+0200,21.08966548,42.68007105,16.81
2017-06-15T23:36:51.900+0200,21.08966553,42.6800712,17.15
2017-06-15T23:36:53.124+0200,21.0896655,42.68007125,16.98
2017-06-15T23:36:54.230+0200,21.08966551,42.68007145,16.48
2017-06-15T23:36:55.436+0200,21.08966553,42.68007156,17.41
2017-06-15T23:36:56.576+0200,21.08966552,42.68007159,16.64
2017-06-15T23:36:57.719+0200,21.08966548,42.68007157,16.07
2017-06-15T23:36:58.909+0200,21.08966561,42.68007171,17.58
2017-06-15T23:37:00.106+0200,21.08966571,42.68007198,16.98
2017-06-15T23:37:01.216+0200,21.08966575,42.68007205,17.41
2017-06-15T23:37:02.416+0200,21.08966574,42.68007204,17.58
2017-06-15T23:37:03.549+0200,21.08966574,42.68007202,16.48
2017-06-15T23:37:04.748+0200,21.08966577,42.68007208,14.95
2017-06-15T23:37:05.904+0200,21.08966579,42.68007213,14.87
2017-06-15T23:37:07.103+0200,21.08966035,42.68007025,14.95
2017-06-15T23:37:08.235+0200,21.08964917,42.68008309,15.9
2017-06-15T23:37:09.411+0200,21.08963327,42.68008208,15.98
2017-06-15T23:37:10.589+0200,21.08961815,42.68009104,16.15
2017-06-15T23:37:11.769+0200,21.08961345,42.68007267,16.07
2017-06-15T23:37:12.958+0200,21.08959736,42.68009079,15.58
2017-06-15T23:37:14.060+0200,21.08951413,42.68016336,16.31
2017-06-15T23:37:15.225+0200,21.08942796,42.68019263,16.64
2017-06-15T23:37:16.401+0200,21.08932766,42.68020224,16.39
2017-06-15T23:37:17.580+0200,21.08922167,42.68022817,16.07
2017-06-15T23:37:18.750+0200,21.08911671,42.68025742,15.5
2017-06-15T23:37:19.881+0200,21.08899674,42.68028203,17.58
2017-06-15T23:37:21.086+0200,21.08875394,42.6803496,17.76
2017-06-15T23:37:22.212+0200,21.08862765,42.68038895,18.03
2017-06-15T23:37:23.423+0200,21.0885197,42.68043045,17.94
2017-06-15T23:37:24.583+0200,21.08839016,42.68047683,18.12
2017-06-15T23:37:25.734+0200,21.08823244,42.68052524,18.85
2017-06-15T23:37:26.890+0200,21.08807856,42.68057134,18.3
2017-06-15T23:37:28.114+0200,21.08776279,42.68066168,18.76
2017-06-15T23:37:29.250+0200,21.08760857,42.68070336,18.85
2017-06-15T23:37:30.384+0200,21.08745711,42.68075141,18.94
2017-06-15T23:37:31.574+0200,21.08731956,42.68080141,19.91
2017-06-15T23:37:32.763+0200,21.08717075,42.68083849,18.76
2017-06-15T23:37:33.918+0200,21.08702258,42.68087523,20.2
2017-06-15T23:37:35.059+0200,21.08672444,42.6809579,22.44
2017-06-15T23:37:36.247+0200,21.08657683,42.68098372,22.33
2017-06-15T23:37:37.407+0200,21.086419,42.68101623,22.55
2017-06-15T23:37:38.533+0200,21.08627962,42.68106036,22.9
2017-06-15T23:37:39.736+0200,21.08611988,42.68110055,23.6
2017-06-15T23:37:40.901+0200,21.08597979,42.68115395,24.46
2017-06-15T23:37:42.055+0200,21.08560852,42.68125112,25.47
2017-06-15T23:37:43.217+0200,21.08544965,42.68129386,25.6
2017-06-15T23:37:44.384+0200,21.0852957,42.68134265,24.96
2017-06-15T23:37:45.557+0200,21.08509554,42.68138406,23.25
2017-06-15T23:37:46.783+0200,21.08493736,42.68141427,21.99
2017-06-15T23:37:47.890+0200,21.08481124,42.68147656,21.13
2017-06-15T23:37:49.082+0200,21.0844827,42.68151233,21.34
2017-06-15T23:37:50.200+0200,21.08432153,42.68157591,21.34
2017-06-15T23:37:51.441+0200,21.08417154,42.68163787,21.45
2017-06-15T23:37:52.553+0200,21.08404407,42.68169299,20.71
2017-06-15T23:37:53.736+0200,21.08389046,42.68173502,20.92
2017-06-15T23:37:54.886+0200,21.08374695,42.68177842,20.51
2017-06-15T23:37:56.050+0200,21.08348347,42.68185235,20.31
2017-06-15T23:37:57.236+0200,21.08333231,42.68189139,20.1
2017-06-15T23:37:58.374+0200,21.08318413,42.68192891,20.61
2017-06-15T23:37:59.561+0200,21.08305268,42.68197636,19.51
2017-06-15T23:38:00.746+0200,21.0829093,42.68201423,18.57
2017-06-15T23:38:01.903+0200,21.08274971,42.68206024,18.76
2017-06-15T23:38:03.057+0200,21.08243603,42.68214432,18.21
2017-06-15T23:38:04.214+0200,21.08228302,42.68218704,18.3
2017-06-15T23:38:05.401+0200,21.08213073,42.6822327,18.12
2017-06-15T23:38:06.526+0200,21.08197296,42.68227623,18.21
2017-06-15T23:38:07.751+0200,21.08183611,42.68232278,17.41
2017-06-15T23:38:08.928+0200,21.08169389,42.68236509,17.85
2017-06-15T23:38:10.050+0200,21.0814429,42.68242205,18.39
2017-06-15T23:38:11.206+0200,21.08136052,42.68246075,18.48
2017-06-15T23:38:12.384+0200,21.08129632,42.68249275,18.57
2017-06-15T23:38:13.599+0200,21.08125893,42.68251223,17.58
2017-06-15T23:38:14.743+0200,21.08122862,42.68253398,17.85
