sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-22T14:20:15.251+0200,21.07910369,42.68315932,21.99
2017-05-22T14:20:16.388+0200,21.07910308,42.68316095,22.44
2017-05-22T14:20:17.547+0200,21.07910215,42.68316226,23.48
2017-05-22T14:20:18.672+0200,21.07910013,42.68316212,24.46
2017-05-22T14:20:19.838+0200,21.07909869,42.68316212,25.34
2017-05-22T14:20:21.080+0200,21.07910018,42.68316141,26.13
2017-05-22T14:20:22.213+0200,21.07910107,42.68316121,25.21
2017-05-22T14:20:23.387+0200,21.07910162,42.68316236,24.58
2017-05-22T14:20:24.517+0200,21.07910041,42.68316272,23.72
2017-05-22T14:20:25.687+0200,21.07909915,42.68316384,23.01
2017-05-22T14:20:26.876+0200,21.07909672,42.68316363,22.9
2017-05-22T14:20:28.026+0200,21.07908499,42.68316891,23.84
2017-05-22T14:20:29.228+0200,21.07907258,42.68317297,23.84
2017-05-22T14:20:30.392+0200,21.07905779,42.68317913,23.84
2017-05-22T14:20:31.537+0200,21.07904456,42.68318148,24.09
2017-05-22T14:20:32.678+0200,21.07903645,42.68318305,23.72
2017-05-22T14:20:33.888+0200,21.07902443,42.68318554,23.6
2017-05-22T14:20:35.033+0200,21.07899556,42.68318929,22.78
2017-05-22T14:20:36.235+0200,21.07897685,42.68318946,22.22
2017-05-22T14:20:37.386+0200,21.07896449,42.68318698,21.77
2017-05-22T14:20:38.555+0200,21.07894892,42.68318335,22.44
2017-05-22T14:20:39.678+0200,21.07893412,42.68318257,22.33
2017-05-22T14:20:40.881+0200,21.07892022,42.68318377,22.44
2017-05-22T14:20:42.007+0200,21.07889541,42.68318473,23.48
2017-05-22T14:20:43.236+0200,21.078882,42.68318702,23.84
2017-05-22T14:20:44.372+0200,21.07886887,42.68319146,23.6
2017-05-22T14:20:45.537+0200,21.07885764,42.68319522,23.84
2017-05-22T14:20:46.713+0200,21.07884738,42.68319843,24.09
2017-05-22T14:20:47.864+0200,21.07883022,42.68320282,23.6
2017-05-22T14:20:49.085+0200,21.07880718,42.68321068,23.48
2017-05-22T14:20:50.177+0200,21.07879746,42.6832133,23.84
2017-05-22T14:20:51.340+0200,21.07878653,42.6832166,24.09
2017-05-22T14:20:52.550+0200,21.07877122,42.68322342,23.25
2017-05-22T14:20:53.691+0200,21.07875369,42.68322645,23.36
2017-05-22T14:20:54.932+0200,21.07873646,42.68323154,23.6
2017-05-22T14:20:56.031+0200,21.07870932,42.68323813,23.25
2017-05-22T14:20:57.191+0200,21.07869589,42.6832432,23.84
2017-05-22T14:20:58.331+0200,21.07868365,42.68324638,23.36
2017-05-22T14:20:59.533+0200,21.07867036,42.6832489,23.01
2017-05-22T14:21:00.782+0200,21.07865811,42.68325312,22.9
2017-05-22T14:21:01.923+0200,21.07864487,42.68325572,23.25
2017-05-22T14:21:03.037+0200,21.07861704,42.68326412,24.46
2017-05-22T14:21:04.222+0200,21.07860124,42.6832699,23.01
2017-05-22T14:21:05.351+0200,21.07858767,42.68327593,23.01
2017-05-22T14:21:06.632+0200,21.0785721,42.68328043,24.21
2017-05-22T14:21:07.731+0200,21.07855674,42.6832885,24.83
2017-05-22T14:21:08.863+0200,21.07854517,42.68329788,24.46
2017-05-22T14:21:10.072+0200,21.0785248,42.68331824,24.71
2017-05-22T14:21:11.230+0200,21.07851489,42.68332708,23.25
2017-05-22T14:21:12.341+0200,21.07850821,42.68333356,23.25
2017-05-22T14:21:13.501+0200,21.0785015,42.68334146,24.46
2017-05-22T14:21:14.683+0200,21.07849672,42.6833512,26.54
2017-05-22T14:21:15.871+0200,21.07849002,42.68336061,26.4
2017-05-22T14:21:17.001+0200,21.07846616,42.68337365,25.47
2017-05-22T14:21:18.222+0200,21.07845432,42.68338205,26.13
2017-05-22T14:21:19.403+0200,21.07844588,42.68339111,27.51
