sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-23T14:26:55.127+0200,21.1665727,42.6565637,12.52
2017-05-23T14:26:56.318+0200,21.1665727,42.6565637,12.82
2017-05-23T14:26:57.459+0200,21.1665727,42.6565637,13.19
2017-05-23T14:26:58.624+0200,21.1665727,42.6565637,13.49
2017-05-23T14:26:59.802+0200,21.1665727,42.6565637,13.57
2017-05-23T14:27:00.983+0200,21.1665727,42.6565637,14.33
2017-05-23T14:27:02.137+0200,21.1665727,42.6565637,14.79
2017-05-23T14:27:03.298+0200,21.1665727,42.6565637,13.72
2017-05-23T14:27:04.454+0200,21.1665727,42.6565637,12.82
2017-05-23T14:27:05.609+0200,21.1665727,42.6565637,13.05
2017-05-23T14:27:06.811+0200,21.1665727,42.6565637,12.75
2017-05-23T14:27:07.953+0200,21.1665727,42.6565637,12.08
2017-05-23T14:27:09.118+0200,21.1665727,42.6565637,12.23
2017-05-23T14:27:10.299+0200,21.1665727,42.6565637,12.08
2017-05-23T14:27:11.452+0200,21.1665727,42.6565637,13.49
2017-05-23T14:27:12.608+0200,21.1665727,42.6565637,13.12
2017-05-23T14:27:13.808+0200,21.1665727,42.6565637,13.49
2017-05-23T14:27:14.963+0200,21.1665727,42.6565637,13.65
2017-05-23T14:27:16.127+0200,21.1665727,42.6565637,13.42
2017-05-23T14:27:17.296+0200,21.1665727,42.6565637,13.72
2017-05-23T14:27:18.468+0200,21.1665727,42.6565637,14.1
2017-05-23T14:27:19.631+0200,21.1665727,42.6565637,13.8
2017-05-23T14:27:20.767+0200,21.06745879,42.68697633,13.8
2017-05-23T14:27:21.976+0200,21.06747112,42.68697159,13.57
2017-05-23T14:27:23.127+0200,21.06747117,42.6869968,13.87
2017-05-23T14:27:24.311+0200,21.06747025,42.68702892,14.18
2017-05-23T14:27:25.463+0200,21.06751408,42.68697717,14.33
2017-05-23T14:27:26.633+0200,21.06751034,42.6869842,15.11
2017-05-23T14:27:27.784+0200,21.06751768,42.6869795,14.95
2017-05-23T14:27:28.981+0200,21.06751069,42.68698936,14.41
2017-05-23T14:27:30.107+0200,21.06751086,42.68698847,15.34
2017-05-23T14:27:31.278+0200,21.06750915,42.68699051,15.9
2017-05-23T14:27:32.442+0200,21.06750904,42.6869908,17.32
2017-05-23T14:27:33.649+0200,21.06750638,42.68699458,16.39
2017-05-23T14:27:34.773+0200,21.06749741,42.68700584,17.32
2017-05-23T14:27:35.973+0200,21.0675034,42.68699821,19.13
2017-05-23T14:27:37.102+0200,21.06750287,42.686999,18.66
2017-05-23T14:27:38.297+0200,21.06750292,42.68699922,18.39
2017-05-23T14:27:39.457+0200,21.06750273,42.68699909,17.15
2017-05-23T14:27:40.637+0200,21.06750252,42.68699894,17.67
2017-05-23T14:27:41.766+0200,21.06750274,42.6869986,16.9
2017-05-23T14:27:42.969+0200,21.06750273,42.68699858,16.56
2017-05-23T14:27:44.123+0200,21.06750295,42.68699835,17.07
2017-05-23T14:27:45.333+0200,21.06750296,42.68699804,17.15
2017-05-23T14:27:46.439+0200,21.06750327,42.68699796,16.56
2017-05-23T14:27:47.621+0200,21.06750339,42.68699773,15.74
2017-05-23T14:27:48.819+0200,21.067503,42.68699813,15.58
2017-05-23T14:27:49.976+0200,21.06750282,42.68699831,14.79
2017-05-23T14:27:51.106+0200,21.06750281,42.68699828,14.1
2017-05-23T14:27:52.286+0200,21.06750286,42.68699814,14.41
2017-05-23T14:27:53.439+0200,21.06750269,42.68699734,14.48
2017-05-23T14:27:54.647+0200,21.06750257,42.68699728,14.79
2017-05-23T14:27:55.771+0200,21.06750095,42.68699862,14.95
2017-05-23T14:27:56.949+0200,21.06750041,42.68700003,14.72
2017-05-23T14:27:58.092+0200,21.06750426,42.68699504,13.72
2017-05-23T14:27:59.292+0200,21.06750926,42.6869893,13.87
2017-05-23T14:28:00.415+0200,21.06750966,42.68698835,14.02
2017-05-23T14:28:01.622+0200,21.06751035,42.68698757,14.02
2017-05-23T14:28:02.778+0200,21.06750976,42.68698845,13.42
2017-05-23T14:28:03.932+0200,21.06751006,42.6869885,13.72
2017-05-23T14:28:05.084+0200,21.06751011,42.68698855,13.72
2017-05-23T14:28:06.287+0200,21.06751023,42.68698873,14.41
2017-05-23T14:28:07.442+0200,21.06751047,42.68698834,15.66
2017-05-23T14:28:08.608+0200,21.06751048,42.68698796,16.48
2017-05-23T14:28:09.764+0200,21.06751063,42.68698767,16.15
2017-05-23T14:28:10.927+0200,21.0675104,42.68698766,16.15
2017-05-23T14:28:12.094+0200,21.06751045,42.68698784,15.18
2017-05-23T14:28:13.275+0200,21.06750997,42.68698832,15.18
2017-05-23T14:28:14.426+0200,21.06750959,42.68698894,15.11
2017-05-23T14:28:15.652+0200,21.06751003,42.68698857,14.95
2017-05-23T14:28:16.757+0200,21.06750991,42.68698868,15.11
2017-05-23T14:28:17.937+0200,21.06751105,42.68698727,14.87
2017-05-23T14:28:19.114+0200,21.06751145,42.68698689,15.42
2017-05-23T14:28:20.268+0200,21.06751147,42.68698661,15.9
2017-05-23T14:28:21.473+0200,21.06751145,42.68698658,14.95
2017-05-23T14:28:22.627+0200,21.06751177,42.68698601,15.11
2017-05-23T14:28:23.757+0200,21.06751224,42.68698493,15.58
2017-05-23T14:28:24.947+0200,21.06743474,42.68698293,15.34
2017-05-23T14:28:26.076+0200,21.06742508,42.68698234,15.42
2017-05-23T14:28:27.278+0200,21.06741504,42.68696791,15.58
2017-05-23T14:28:28.453+0200,21.06740566,42.68696173,14.56
2017-05-23T14:28:29.656+0200,21.06739551,42.68695605,14.64
2017-05-23T14:28:30.762+0200,21.06738199,42.68695617,14.41
2017-05-23T14:28:31.938+0200,21.06737709,42.68695042,13.34
2017-05-23T14:28:33.067+0200,21.06736998,42.68694957,13.27
2017-05-23T14:28:34.273+0200,21.06736018,42.68696024,13.49
2017-05-23T14:28:35.454+0200,21.06735347,42.68696904,13.19
2017-05-23T14:28:36.609+0200,21.06735842,42.68696892,12.97
2017-05-23T14:28:37.767+0200,21.06734203,42.68696669,12.97
2017-05-23T14:28:38.922+0200,21.06733947,42.68698959,13.27
2017-05-23T14:28:40.102+0200,21.0673354,42.68700303,12.82
2017-05-23T14:28:41.256+0200,21.06732484,42.6870057,12.45
2017-05-23T14:28:42.456+0200,21.06731816,42.68701238,12.15
2017-05-23T14:28:43.608+0200,21.06731476,42.68701749,11.26
2017-05-23T14:28:44.762+0200,21.06730388,42.68702177,12.15
2017-05-23T14:28:45.911+0200,21.06729457,42.68703749,12.08
2017-05-23T14:28:47.100+0200,21.06729629,42.68705242,11.04
2017-05-23T14:28:48.281+0200,21.06729458,42.68706352,10.67
2017-05-23T14:28:49.432+0200,21.06728906,42.68707372,10.6
2017-05-23T14:28:50.606+0200,21.06727892,42.68707956,10.97
2017-05-23T14:28:51.724+0200,21.06727576,42.68708785,10.67
2017-05-23T14:28:52.924+0200,21.06725075,42.68709136,10.45
2017-05-23T14:28:54.078+0200,21.06724562,42.68709867,10.89
2017-05-23T14:28:55.284+0200,21.06723977,42.68710679,10.89
2017-05-23T14:28:56.412+0200,21.06723223,42.68711127,10.89
2017-05-23T14:28:57.584+0200,21.06722215,42.68711675,10.37
2017-05-23T14:28:58.768+0200,21.06720822,42.68711998,10.52
2017-05-23T14:28:59.971+0200,21.06718975,42.68713419,10.0
2017-05-23T14:29:01.092+0200,21.06717796,42.68713914,9.93
2017-05-23T14:29:02.258+0200,21.06716826,42.68714688,9.32
2017-05-23T14:29:03.396+0200,21.06716089,42.68715429,8.8
2017-05-23T14:29:04.586+0200,21.06714635,42.68715591,9.17
2017-05-23T14:29:05.757+0200,21.0671337,42.6871602,8.49
2017-05-23T14:29:06.917+0200,21.06710833,42.68716793,8.19
2017-05-23T14:29:08.084+0200,21.06710159,42.68717386,9.02
2017-05-23T14:29:09.261+0200,21.06709904,42.68717303,8.8
2017-05-23T14:29:10.414+0200,21.0670969,42.68716883,9.02
2017-05-23T14:29:11.574+0200,21.06709614,42.68716703,10.0
2017-05-23T14:29:12.753+0200,21.0670947,42.68716472,10.82
2017-05-23T14:29:13.949+0200,21.06708856,42.68716229,9.85
2017-05-23T14:29:15.068+0200,21.06708775,42.68715986,9.25
2017-05-23T14:29:16.278+0200,21.06708601,42.68715927,8.8
2017-05-23T14:29:17.398+0200,21.06708607,42.68715865,9.25
2017-05-23T14:29:18.566+0200,21.06708513,42.6871597,9.93
2017-05-23T14:29:19.747+0200,21.06707558,42.6871684,10.15
2017-05-23T14:29:20.919+0200,21.06705325,42.68718299,10.15
2017-05-23T14:29:22.109+0200,21.06704566,42.68719313,10.6
2017-05-23T14:29:23.238+0200,21.06703478,42.68719963,10.52
2017-05-23T14:29:24.393+0200,21.0670256,42.68720693,10.67
2017-05-23T14:29:25.591+0200,21.06702019,42.68721609,11.04
2017-05-23T14:29:26.718+0200,21.06702285,42.68722292,10.3
