sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-23T11:01:27.084+0200,21.07353763,42.6847572,41.16
2017-05-23T11:01:28.287+0200,21.07353937,42.68475708,39.31
2017-05-23T11:01:29.418+0200,21.07353564,42.68475509,42.65
2017-05-23T11:01:30.585+0200,21.07353208,42.68475666,43.08
2017-05-23T11:01:31.811+0200,21.07352994,42.68474971,42.43
2017-05-23T11:01:32.911+0200,21.07353348,42.68474425,43.08
2017-05-23T11:01:34.105+0200,21.07353631,42.68474111,43.29
2017-05-23T11:01:35.237+0200,21.07354095,42.68474697,39.92
2017-05-23T11:01:36.460+0200,21.0735325,42.68473766,40.54
2017-05-23T11:01:37.527+0200,21.07353157,42.68473477,42.0
2017-05-23T11:01:38.751+0200,21.07352937,42.68473357,42.0
2017-05-23T11:01:39.958+0200,21.07352942,42.68473653,40.54
2017-05-23T11:01:41.152+0200,21.07352778,42.68473969,40.95
2017-05-23T11:01:42.222+0200,21.07352514,42.68474001,41.58
2017-05-23T11:01:43.405+0200,21.07352676,42.684742,40.95
2017-05-23T11:01:44.574+0200,21.07352851,42.68474547,40.12
2017-05-23T11:01:45.758+0200,21.07353142,42.68474685,39.11
2017-05-23T11:01:46.903+0200,21.07353184,42.68474376,38.71
2017-05-23T11:01:48.146+0200,21.07353086,42.68474289,41.16
2017-05-23T11:01:49.234+0200,21.07353043,42.6847423,42.0
2017-05-23T11:01:50.419+0200,21.07353032,42.68474242,41.79
2017-05-23T11:01:51.581+0200,21.07353031,42.68474245,39.11
2017-05-23T11:01:52.757+0200,21.07353029,42.68474244,40.95
2017-05-23T11:01:53.950+0200,21.0735302,42.68474233,38.91
2017-05-23T11:01:55.038+0200,21.07353025,42.68474227,35.83
2017-05-23T11:01:56.243+0200,21.07352973,42.68474198,38.12
2017-05-23T11:01:57.416+0200,21.07352966,42.68474187,38.12
2017-05-23T11:01:58.558+0200,21.07353113,42.68474499,38.71
2017-05-23T11:01:59.757+0200,21.07353712,42.68474589,38.32
2017-05-23T11:02:00.887+0200,21.07353236,42.68474553,40.54
2017-05-23T11:02:02.110+0200,21.07353794,42.68474435,36.21
2017-05-23T11:02:03.238+0200,21.07353942,42.68474151,33.67
2017-05-23T11:02:04.442+0200,21.0735404,42.68474147,35.28
2017-05-23T11:02:05.560+0200,21.07354074,42.68474232,37.34
2017-05-23T11:02:06.738+0200,21.073542,42.68474456,36.39
2017-05-23T11:02:07.905+0200,21.07354644,42.68474516,38.91
2017-05-23T11:02:09.096+0200,21.07354792,42.68474549,39.51
2017-05-23T11:02:10.242+0200,21.07354805,42.68474406,37.54
2017-05-23T11:02:11.401+0200,21.07354847,42.68474362,39.31
2017-05-23T11:02:12.587+0200,21.07354831,42.68474123,38.32
2017-05-23T11:02:13.734+0200,21.07354812,42.68474057,39.31
2017-05-23T11:02:14.921+0200,21.07354757,42.68474145,37.54
2017-05-23T11:02:16.095+0200,21.07354696,42.68474288,38.32
2017-05-23T11:02:17.251+0200,21.07354662,42.68474384,34.38
2017-05-23T11:02:18.447+0200,21.07354648,42.68474409,31.81
2017-05-23T11:02:19.600+0200,21.07354571,42.68474745,30.99
2017-05-23T11:02:20.764+0200,21.07353754,42.6847468,29.27
2017-05-23T11:02:21.921+0200,21.07352727,42.68474552,30.67
2017-05-23T11:02:23.072+0200,21.07352606,42.68474687,30.2
2017-05-23T11:02:24.287+0200,21.07352151,42.68474641,31.64
2017-05-23T11:02:25.397+0200,21.07351372,42.6847451,32.81
2017-05-23T11:02:26.553+0200,21.07350207,42.68474436,32.64
2017-05-23T11:02:27.738+0200,21.0734929,42.68474098,30.99
2017-05-23T11:02:28.917+0200,21.07346383,42.68474785,29.58
2017-05-23T11:02:30.071+0200,21.07344495,42.68475285,31.48
2017-05-23T11:02:31.238+0200,21.07343295,42.68475352,31.97
