sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-24T14:26:14.826+0200,21.06396837,42.69002751,10.67
2017-05-24T14:26:15.992+0200,21.06396554,42.69002711,11.49
2017-05-24T14:26:17.195+0200,21.06396619,42.69002778,12.3
2017-05-24T14:26:18.341+0200,21.06396587,42.69003238,12.23
2017-05-24T14:26:19.457+0200,21.06396687,42.69003037,12.38
2017-05-24T14:26:20.650+0200,21.06396946,42.69003547,12.15
2017-05-24T14:26:21.823+0200,21.06397106,42.69003972,11.34
2017-05-24T14:26:22.999+0200,21.06397253,42.69003974,11.12
2017-05-24T14:26:24.176+0200,21.06397317,42.6900363,11.12
2017-05-24T14:26:25.335+0200,21.06396562,42.69003221,11.71
2017-05-24T14:26:26.504+0200,21.06396259,42.69003121,11.78
2017-05-24T14:26:27.688+0200,21.06396125,42.69003178,11.56
2017-05-24T14:26:28.838+0200,21.06395882,42.69003315,12.38
2017-05-24T14:26:30.011+0200,21.06395798,42.69003508,12.9
2017-05-24T14:26:31.152+0200,21.0639583,42.69003591,13.12
2017-05-24T14:26:32.331+0200,21.06396001,42.69003757,12.9
2017-05-24T14:26:33.487+0200,21.06396037,42.69003999,12.0
2017-05-24T14:26:34.660+0200,21.06396055,42.69003746,11.41
2017-05-24T14:26:35.805+0200,21.06396593,42.69003437,10.6
2017-05-24T14:26:37.018+0200,21.06397278,42.69003132,10.3
2017-05-24T14:26:38.159+0200,21.06397206,42.69003246,9.63
2017-05-24T14:26:39.333+0200,21.06396891,42.69003072,9.7
2017-05-24T14:26:40.452+0200,21.0639634,42.69002818,9.32
2017-05-24T14:26:41.667+0200,21.06396317,42.69002855,8.95
2017-05-24T14:26:42.787+0200,21.06396796,42.69002827,8.26
2017-05-24T14:26:43.981+0200,21.06396986,42.69002359,7.88
2017-05-24T14:26:45.136+0200,21.06396772,42.69002149,7.57
2017-05-24T14:26:46.338+0200,21.06396455,42.69002345,7.8
2017-05-24T14:26:47.454+0200,21.06396337,42.69002385,8.64
2017-05-24T14:26:48.629+0200,21.06396475,42.69002297,7.96
2017-05-24T14:26:49.812+0200,21.06396343,42.69002127,7.65
2017-05-24T14:26:50.986+0200,21.06395875,42.69001656,7.19
2017-05-24T14:26:52.136+0200,21.0639589,42.69001548,7.19
2017-05-24T14:26:53.304+0200,21.06395868,42.69001302,7.11
2017-05-24T14:26:54.469+0200,21.06395893,42.69001348,6.8
2017-05-24T14:26:55.650+0200,21.06395918,42.69001421,6.26
2017-05-24T14:26:56.806+0200,21.06396213,42.69001629,6.73
2017-05-24T14:26:57.966+0200,21.0639629,42.69001608,6.11
2017-05-24T14:26:59.119+0200,21.06396441,42.69001624,6.5
2017-05-24T14:27:00.344+0200,21.06395909,42.69001163,5.8
2017-05-24T14:27:01.420+0200,21.0639581,42.69001257,5.19
2017-05-24T14:27:02.677+0200,21.06395722,42.69001179,6.03
2017-05-24T14:27:03.798+0200,21.06395566,42.69001189,6.5
2017-05-24T14:27:04.976+0200,21.06395323,42.69001069,6.73
2017-05-24T14:27:06.144+0200,21.06395504,42.69001652,7.11
2017-05-24T14:27:07.317+0200,21.06395572,42.69001477,7.04
2017-05-24T14:27:08.471+0200,21.06395405,42.69001398,6.8
2017-05-24T14:27:09.641+0200,21.0639521,42.69001193,6.73
2017-05-24T14:27:10.769+0200,21.06395804,42.69001249,6.34
2017-05-24T14:27:11.967+0200,21.06396111,42.69001431,6.8
2017-05-24T14:27:13.121+0200,21.06395955,42.69001541,6.8
2017-05-24T14:27:14.273+0200,21.06396211,42.69001747,6.8
2017-05-24T14:27:15.487+0200,21.0639648,42.69001883,6.88
2017-05-24T14:27:16.636+0200,21.06396695,42.69002014,6.8
2017-05-24T14:27:17.783+0200,21.06396867,42.690021,6.57
2017-05-24T14:27:18.945+0200,21.06397009,42.69002257,7.19
