sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-25T14:53:50.087+0200,21.07346707,42.68481411,10.89
2017-05-25T14:53:51.266+0200,21.07346713,42.68481442,11.49
2017-05-25T14:53:52.422+0200,21.07346689,42.68481304,11.93
2017-05-25T14:53:53.613+0200,21.07346689,42.68481294,11.63
2017-05-25T14:53:54.716+0200,21.0734669,42.68481286,10.82
2017-05-25T14:53:55.941+0200,21.07346692,42.68481267,10.0
2017-05-25T14:53:57.080+0200,21.07346694,42.68481257,10.37
2017-05-25T14:53:58.234+0200,21.07346696,42.68481253,10.15
2017-05-25T14:53:59.389+0200,21.07346698,42.68481248,9.85
2017-05-25T14:54:00.574+0200,21.07346694,42.68481242,9.7
2017-05-25T14:54:01.743+0200,21.0734672,42.68481408,9.4
2017-05-25T14:54:02.914+0200,21.07346586,42.68481216,9.63
2017-05-25T14:54:04.070+0200,21.07346592,42.68481234,9.93
2017-05-25T14:54:05.260+0200,21.0734657,42.68481212,9.4
2017-05-25T14:54:06.425+0200,21.07346536,42.68481159,9.48
2017-05-25T14:54:07.545+0200,21.07346519,42.68481141,9.85
2017-05-25T14:54:08.741+0200,21.0734651,42.68481138,10.3
2017-05-25T14:54:09.891+0200,21.07346493,42.68481131,10.22
2017-05-25T14:54:11.084+0200,21.0734648,42.68481124,9.93
2017-05-25T14:54:12.278+0200,21.07346469,42.68481119,9.78
2017-05-25T14:54:13.408+0200,21.07346452,42.68481112,9.7
2017-05-25T14:54:14.588+0200,21.07346446,42.68481105,9.55
2017-05-25T14:54:15.738+0200,21.07346432,42.68481096,9.48
2017-05-25T14:54:16.951+0200,21.07346413,42.68481088,9.85
2017-05-25T14:54:18.070+0200,21.07346403,42.68481078,10.52
2017-05-25T14:54:19.229+0200,21.07346397,42.68481074,10.15
2017-05-25T14:54:20.384+0200,21.07346392,42.68481073,9.7
2017-05-25T14:54:21.586+0200,21.07346385,42.6848107,10.22
2017-05-25T14:54:22.719+0200,21.07346378,42.68481071,10.3
2017-05-25T14:54:23.950+0200,21.0734637,42.68481063,10.07
2017-05-25T14:54:25.039+0200,21.07346378,42.68481073,9.85
2017-05-25T14:54:26.280+0200,21.07346376,42.68481069,10.0
2017-05-25T14:54:27.390+0200,21.07346374,42.68481072,9.63
2017-05-25T14:54:28.545+0200,21.07346373,42.68481073,9.32
2017-05-25T14:54:29.719+0200,21.07346372,42.68481075,9.25
2017-05-25T14:54:30.916+0200,21.07346384,42.6848109,9.63
2017-05-25T14:54:32.051+0200,21.07346387,42.68481095,9.78
2017-05-25T14:54:33.237+0200,21.07346385,42.68481095,9.63
2017-05-25T14:54:34.372+0200,21.07346384,42.68481099,10.22
2017-05-25T14:54:35.548+0200,21.07346387,42.68481104,10.07
2017-05-25T14:54:36.713+0200,21.07346386,42.68481103,10.0
2017-05-25T14:54:37.882+0200,21.07346377,42.68481092,9.7
2017-05-25T14:54:39.055+0200,21.07346376,42.68481089,9.25
2017-05-25T14:54:40.211+0200,21.07346373,42.68481083,9.25
2017-05-25T14:54:41.366+0200,21.07346372,42.68481079,9.1
2017-05-25T14:54:42.598+0200,21.07346371,42.68481076,8.72
2017-05-25T14:54:43.699+0200,21.07346369,42.68481069,9.17
2017-05-25T14:54:44.901+0200,21.07346363,42.68481054,9.85
2017-05-25T14:54:46.066+0200,21.0734636,42.68481048,9.32
2017-05-25T14:54:47.246+0200,21.07346355,42.68481047,9.32
2017-05-25T14:54:48.356+0200,21.07346349,42.6848104,9.7
2017-05-25T14:54:49.542+0200,21.07346346,42.6848104,9.17
2017-05-25T14:54:50.701+0200,21.07346342,42.68481037,8.87
2017-05-25T14:54:51.911+0200,21.07346328,42.68481018,9.17
2017-05-25T14:54:53.043+0200,21.07346323,42.6848101,10.07
2017-05-25T14:54:54.211+0200,21.07346317,42.68481002,10.45
