sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-26T09:54:18.613+0200,21.09202825,42.67946306,16.73
2017-05-26T09:54:19.767+0200,21.09202699,42.67946249,15.98
2017-05-26T09:54:20.967+0200,21.09202392,42.67947496,15.11
2017-05-26T09:54:22.090+0200,21.09201857,42.67946641,15.9
2017-05-26T09:54:23.281+0200,21.09202287,42.67948296,16.23
2017-05-26T09:54:24.440+0200,21.09197924,42.67949715,16.56
2017-05-26T09:54:25.606+0200,21.09193103,42.67951288,17.07
2017-05-26T09:54:26.787+0200,21.09199181,42.67953182,17.58
2017-05-26T09:54:27.923+0200,21.09193216,42.67953276,17.41
2017-05-26T09:54:29.103+0200,21.09194803,42.67953153,17.5
2017-05-26T09:54:30.270+0200,21.0919528,42.67953358,17.58
2017-05-26T09:54:31.383+0200,21.09194757,42.67953501,18.12
2017-05-26T09:54:32.616+0200,21.09193794,42.67953225,17.94
2017-05-26T09:54:33.751+0200,21.09192394,42.67953321,17.5
2017-05-26T09:54:34.930+0200,21.09192087,42.67953568,18.21
2017-05-26T09:54:36.077+0200,21.09190259,42.67954406,17.94
2017-05-26T09:54:37.292+0200,21.09189384,42.67955244,19.13
2017-05-26T09:54:38.402+0200,21.0918998,42.67955429,18.76
2017-05-26T09:54:39.597+0200,21.09189939,42.67955229,18.3
2017-05-26T09:54:40.726+0200,21.09190186,42.67955216,18.03
2017-05-26T09:54:41.907+0200,21.09190838,42.6795507,18.85
2017-05-26T09:54:43.085+0200,21.09190538,42.67955242,18.85
2017-05-26T09:54:44.240+0200,21.09190619,42.67955179,19.42
2017-05-26T09:54:45.417+0200,21.09190966,42.67955033,19.51
2017-05-26T09:54:46.631+0200,21.09191686,42.67955462,19.51
2017-05-26T09:54:47.726+0200,21.09191753,42.67955497,20.01
2017-05-26T09:54:48.921+0200,21.09191211,42.67956166,18.85
2017-05-26T09:54:50.071+0200,21.09190644,42.67956266,19.13
2017-05-26T09:54:51.253+0200,21.09190317,42.67956356,18.94
2017-05-26T09:54:52.412+0200,21.09190185,42.6795609,19.04
2017-05-26T09:54:53.547+0200,21.09190115,42.67955858,19.91
2017-05-26T09:54:54.716+0200,21.0918948,42.67955647,18.76
2017-05-26T09:54:55.911+0200,21.09187433,42.67957045,19.04
2017-05-26T09:54:57.105+0200,21.0918694,42.67958124,18.57
2017-05-26T09:54:58.292+0200,21.09186311,42.67958604,18.66
2017-05-26T09:54:59.396+0200,21.09186349,42.67959721,20.1
2017-05-26T09:55:00.563+0200,21.09186009,42.67960725,20.1
2017-05-26T09:55:01.730+0200,21.09186098,42.67961599,20.71
2017-05-26T09:55:02.941+0200,21.09186408,42.6796077,21.13
2017-05-26T09:55:04.081+0200,21.09186681,42.6796072,21.99
2017-05-26T09:55:05.253+0200,21.09186856,42.67960786,22.33
2017-05-26T09:55:06.430+0200,21.09186733,42.67961018,21.45
2017-05-26T09:55:07.607+0200,21.09186844,42.67961264,20.51
2017-05-26T09:55:08.703+0200,21.09186229,42.67961486,20.31
2017-05-26T09:55:09.908+0200,21.09185061,42.67961296,20.2
2017-05-26T09:55:11.096+0200,21.09184818,42.67961188,20.2
2017-05-26T09:55:12.247+0200,21.09185434,42.67961559,20.2
2017-05-26T09:55:13.405+0200,21.09185801,42.67961566,20.01
2017-05-26T09:55:14.582+0200,21.09186084,42.67961635,20.41
2017-05-26T09:55:15.725+0200,21.09185849,42.67961584,20.71
2017-05-26T09:55:16.905+0200,21.09187414,42.67961404,21.13
2017-05-26T09:55:18.057+0200,21.0918772,42.67962047,22.33
2017-05-26T09:55:19.229+0200,21.09187847,42.67962304,22.78
2017-05-26T09:55:20.431+0200,21.09187581,42.6796243,21.24
2017-05-26T09:55:21.580+0200,21.09187421,42.67962345,21.13
2017-05-26T09:55:22.700+0200,21.09187273,42.6796224,20.61
