sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-29T18:56:02.495+0200,21.06360722,42.69048856,6.34
2017-05-29T18:56:03.622+0200,21.06360722,42.69048856,6.03
2017-05-29T18:56:04.755+0200,21.06360722,42.69048856,5.96
2017-05-29T18:56:05.875+0200,21.06360722,42.69048856,5.96
2017-05-29T18:56:07.065+0200,21.06360722,42.69048856,6.34
2017-05-29T18:56:08.177+0200,21.06360722,42.69048856,6.88
2017-05-29T18:56:09.346+0200,21.06360722,42.69048856,7.34
2017-05-29T18:56:10.469+0200,21.06360722,42.69048856,7.96
2017-05-29T18:56:11.705+0200,21.06360722,42.69048856,8.11
2017-05-29T18:56:12.774+0200,21.06360722,42.69048856,7.5
2017-05-29T18:56:13.877+0200,21.06360722,42.69048856,7.42
2017-05-29T18:56:15.087+0200,21.06360722,42.69048856,7.19
2017-05-29T18:56:16.243+0200,21.06360722,42.69048856,6.8
2017-05-29T18:56:17.348+0200,21.06360722,42.69048856,6.42
2017-05-29T18:56:18.519+0200,21.0634943,42.69068286,5.8
2017-05-29T18:56:19.635+0200,21.06349234,42.69068337,6.19
2017-05-29T18:56:20.792+0200,21.06348421,42.69071938,6.5
2017-05-29T18:56:21.936+0200,21.06347005,42.69072116,6.65
2017-05-29T18:56:23.109+0200,21.06346794,42.69072832,6.57
2017-05-29T18:56:24.228+0200,21.06345518,42.69073631,6.5
2017-05-29T18:56:25.395+0200,21.06344688,42.69073739,5.96
2017-05-29T18:56:26.524+0200,21.06343576,42.69074787,6.57
2017-05-29T18:56:27.656+0200,21.06343127,42.69075455,6.03
2017-05-29T18:56:28.825+0200,21.06342336,42.69075919,5.72
2017-05-29T18:56:29.989+0200,21.06342409,42.69076183,5.34
2017-05-29T18:56:31.207+0200,21.06341796,42.69076553,5.65
2017-05-29T18:56:32.288+0200,21.06340305,42.6907722,5.26
2017-05-29T18:56:33.430+0200,21.06339485,42.69078028,4.96
2017-05-29T18:56:34.545+0200,21.06337549,42.69078679,5.26
2017-05-29T18:56:35.709+0200,21.06336201,42.69079685,5.03
2017-05-29T18:56:36.898+0200,21.06335291,42.69080349,5.11
2017-05-29T18:56:38.001+0200,21.06333946,42.69081047,5.65
2017-05-29T18:56:39.119+0200,21.06332793,42.69081478,6.26
2017-05-29T18:56:40.323+0200,21.06331505,42.69082685,6.11
2017-05-29T18:56:41.436+0200,21.06331364,42.69083327,6.42
2017-05-29T18:56:42.587+0200,21.06330187,42.6908398,6.19
2017-05-29T18:56:43.747+0200,21.06329466,42.69084527,5.88
2017-05-29T18:56:44.859+0200,21.06328746,42.69085789,5.72
2017-05-29T18:56:46.036+0200,21.06328129,42.69086502,5.26
2017-05-29T18:56:47.188+0200,21.06326037,42.69088277,5.57
2017-05-29T18:56:48.322+0200,21.06325549,42.69088898,5.34
2017-05-29T18:56:49.471+0200,21.06324802,42.69089179,5.19
2017-05-29T18:56:50.604+0200,21.06323336,42.69089519,4.96
2017-05-29T18:56:51.756+0200,21.06322273,42.69089077,5.42
2017-05-29T18:56:52.915+0200,21.06320105,42.69088327,5.8
2017-05-29T18:56:54.066+0200,21.06320341,42.69088335,5.88
2017-05-29T18:56:55.165+0200,21.06317704,42.69087285,6.34
2017-05-29T18:56:56.327+0200,21.06315604,42.69087527,6.34
2017-05-29T18:56:57.506+0200,21.06314399,42.69087999,6.8
2017-05-29T18:56:58.631+0200,21.06313393,42.69088802,6.65
2017-05-29T18:56:59.787+0200,21.06312261,42.69090084,7.42
2017-05-29T18:57:00.877+0200,21.06311326,42.69090923,7.34
2017-05-29T18:57:02.052+0200,21.0631053,42.69092192,7.27
2017-05-29T18:57:03.218+0200,21.06308956,42.69093936,8.26
2017-05-29T18:57:04.360+0200,21.06308277,42.69094929,7.96
2017-05-29T18:57:05.519+0200,21.06306819,42.69095603,8.49
2017-05-29T18:57:06.676+0200,21.0630554,42.69096726,10.07
2017-05-29T18:57:07.811+0200,21.06304719,42.69097721,10.82
2017-05-29T18:57:08.951+0200,21.06303867,42.69098476,10.75
2017-05-29T18:57:10.205+0200,21.06302574,42.69099944,10.3
2017-05-29T18:57:11.257+0200,21.06301795,42.69100511,10.75
2017-05-29T18:57:12.364+0200,21.06301005,42.69101497,11.71
2017-05-29T18:57:13.539+0200,21.06300292,42.69102676,11.71
2017-05-29T18:57:14.689+0200,21.06299724,42.69103716,13.05
2017-05-29T18:57:15.826+0200,21.06299119,42.69104581,13.57
2017-05-29T18:57:16.977+0200,21.06298358,42.69105489,13.8
2017-05-29T18:57:18.140+0200,21.06297099,42.69107246,14.1
2017-05-29T18:57:19.235+0200,21.06296773,42.69108375,14.33
2017-05-29T18:57:20.444+0200,21.06296207,42.69109316,15.03
2017-05-29T18:57:21.570+0200,21.06295352,42.69110289,15.11
2017-05-29T18:57:22.721+0200,21.06294755,42.69111262,16.31
2017-05-29T18:57:23.869+0200,21.06294154,42.69112549,17.76
2017-05-29T18:57:24.991+0200,21.0629303,42.69113595,18.66
2017-05-29T18:57:26.182+0200,21.06292456,42.6911502,19.51
2017-05-29T18:57:27.324+0200,21.06291557,42.69116112,20.92
2017-05-29T18:57:28.410+0200,21.06290618,42.69117105,22.67
2017-05-29T18:57:29.705+0200,21.06289856,42.69118069,24.83
2017-05-29T18:57:30.760+0200,21.0628927,42.69118111,27.37
2017-05-29T18:57:31.891+0200,21.06288902,42.69118554,28.53
2017-05-29T18:57:33.042+0200,21.06288655,42.69119396,28.38
2017-05-29T18:57:34.211+0200,21.06286826,42.69121296,27.94
2017-05-29T18:57:35.335+0200,21.06285479,42.69122267,28.53
2017-05-29T18:57:36.517+0200,21.06284481,42.69123095,28.23
2017-05-29T18:57:37.630+0200,21.06283467,42.69123689,26.68
2017-05-29T18:57:38.761+0200,21.06282122,42.69124443,30.51
2017-05-29T18:57:39.930+0200,21.06281429,42.6912516,28.67
2017-05-29T18:57:41.069+0200,21.06280628,42.69126177,29.73
2017-05-29T18:57:42.214+0200,21.06279894,42.69127079,29.58
2017-05-29T18:57:43.376+0200,21.0627995,42.69126875,28.67
2017-05-29T18:57:44.514+0200,21.06280163,42.69126968,30.67
2017-05-29T18:57:45.698+0200,21.06280175,42.69126964,32.64
2017-05-29T18:57:46.823+0200,21.06280268,42.69127056,34.03
2017-05-29T18:57:47.978+0200,21.06280266,42.69127136,31.48
2017-05-29T18:57:49.205+0200,21.06279743,42.69128133,30.04
2017-05-29T18:57:50.239+0200,21.0627931,42.69129116,28.23
2017-05-29T18:57:51.394+0200,21.06278474,42.6912979,27.37
2017-05-29T18:57:52.539+0200,21.06277805,42.69130685,27.23
2017-05-29T18:57:53.730+0200,21.06276507,42.69131617,26.27
2017-05-29T18:57:54.826+0200,21.06275721,42.69132435,25.21
2017-05-29T18:57:56.006+0200,21.06274795,42.69133364,25.47
2017-05-29T18:57:57.165+0200,21.062736,42.69134152,24.71
2017-05-29T18:57:58.285+0200,21.06271585,42.69135852,22.67
2017-05-29T18:57:59.452+0200,21.06270706,42.69136772,22.9
2017-05-29T18:58:00.581+0200,21.06269763,42.6913762,22.33
2017-05-29T18:58:01.765+0200,21.06268987,42.69138449,22.22
2017-05-29T18:58:02.860+0200,21.06268447,42.69139509,22.33
2017-05-29T18:58:04.038+0200,21.06267847,42.6914072,22.55
2017-05-29T18:58:05.186+0200,21.062665,42.69142572,22.22
2017-05-29T18:58:06.325+0200,21.06265752,42.69143641,21.99
2017-05-29T18:58:07.433+0200,21.06265107,42.69144607,22.44
2017-05-29T18:58:08.595+0200,21.06264125,42.69145581,24.09
2017-05-29T18:58:09.746+0200,21.06263549,42.69146433,23.01
2017-05-29T18:58:10.921+0200,21.06262916,42.69147461,21.67
2017-05-29T18:58:12.030+0200,21.062622,42.6914851,20.31
2017-05-29T18:58:13.201+0200,21.0626066,42.69150664,19.81
2017-05-29T18:58:14.332+0200,21.0626014,42.69151606,19.04
2017-05-29T18:58:15.512+0200,21.06259584,42.69152582,18.3
2017-05-29T18:58:16.601+0200,21.06258962,42.69153444,17.94
2017-05-29T18:58:17.795+0200,21.06257937,42.69154259,18.76
2017-05-29T18:58:18.906+0200,21.06257007,42.69155286,18.21
2017-05-29T18:58:20.099+0200,21.06256506,42.69156364,18.12
2017-05-29T18:58:21.189+0200,21.06254806,42.6915824,17.85
2017-05-29T18:58:22.360+0200,21.06254001,42.6915935,17.85
2017-05-29T18:58:23.505+0200,21.06252866,42.69160414,18.12
2017-05-29T18:58:24.695+0200,21.06252364,42.69161277,19.42
2017-05-29T18:58:25.813+0200,21.06251438,42.69162347,20.61
2017-05-29T18:58:26.977+0200,21.06250748,42.69163406,20.82
2017-05-29T18:58:28.205+0200,21.06249276,42.69165546,21.03
2017-05-29T18:58:29.261+0200,21.06248479,42.69166398,20.92
2017-05-29T18:58:30.412+0200,21.06247289,42.69167249,20.71
2017-05-29T18:58:31.554+0200,21.06246461,42.69168173,23.25
2017-05-29T18:58:32.680+0200,21.06245467,42.69169373,23.72
2017-05-29T18:58:33.861+0200,21.06244448,42.69170454,22.78
2017-05-29T18:58:35.002+0200,21.06243315,42.691714,23.01
2017-05-29T18:58:36.153+0200,21.06242321,42.69172545,22.55
2017-05-29T18:58:37.299+0200,21.06240372,42.69174414,21.88
2017-05-29T18:58:38.450+0200,21.06239554,42.69175428,21.34
2017-05-29T18:58:39.626+0200,21.06238435,42.69176524,21.88
2017-05-29T18:58:40.713+0200,21.06237599,42.69177486,23.72
2017-05-29T18:58:41.859+0200,21.06236744,42.69178515,23.25
2017-05-29T18:58:43.053+0200,21.06235363,42.691796,23.36
2017-05-29T18:58:44.163+0200,21.06234494,42.69180428,23.48
2017-05-29T18:58:45.336+0200,21.06233353,42.69182678,22.55
2017-05-29T18:58:46.485+0200,21.06232732,42.69183948,22.1
2017-05-29T18:58:47.705+0200,21.06231883,42.69184873,21.34
2017-05-29T18:58:48.786+0200,21.06230939,42.6918581,21.56
2017-05-29T18:58:49.935+0200,21.06230037,42.69187033,19.81
2017-05-29T18:58:51.049+0200,21.06229054,42.69188297,19.32
2017-05-29T18:58:52.188+0200,21.06227983,42.69189816,18.3
2017-05-29T18:58:53.323+0200,21.06225898,42.69191812,18.12
2017-05-29T18:58:54.539+0200,21.06224657,42.69192848,17.58
2017-05-29T18:58:55.628+0200,21.06223515,42.69194022,16.98
2017-05-29T18:58:56.816+0200,21.06222561,42.6919484,17.24
2017-05-29T18:58:57.936+0200,21.06221922,42.69195903,16.81
2017-05-29T18:58:59.104+0200,21.06220875,42.69196683,16.31
2017-05-29T18:59:00.258+0200,21.06218994,42.69198509,15.42
2017-05-29T18:59:01.359+0200,21.06217808,42.69199626,14.41
2017-05-29T18:59:02.537+0200,21.06216886,42.69200737,14.87
2017-05-29T18:59:03.707+0200,21.06215896,42.692018,14.87
2017-05-29T18:59:04.839+0200,21.06214853,42.69202567,14.95
2017-05-29T18:59:05.994+0200,21.06214079,42.69203656,15.58
2017-05-29T18:59:07.205+0200,21.06212932,42.69205452,16.73
2017-05-29T18:59:08.255+0200,21.06212287,42.69206643,18.39
2017-05-29T18:59:09.420+0200,21.06211758,42.69208066,20.82
2017-05-29T18:59:10.575+0200,21.06211304,42.69209031,23.25
2017-05-29T18:59:11.729+0200,21.06210447,42.69210137,24.83
2017-05-29T18:59:12.841+0200,21.06209621,42.69211081,29.27
2017-05-29T18:59:13.992+0200,21.06208602,42.69211868,31.31
2017-05-29T18:59:15.128+0200,21.0620788,42.69212653,34.56
2017-05-29T18:59:16.302+0200,21.06207022,42.6921465,37.15
2017-05-29T18:59:17.485+0200,21.06206627,42.69216193,40.33
2017-05-29T18:59:18.552+0200,21.06205784,42.69216963,35.47
2017-05-29T18:59:19.764+0200,21.06204973,42.69218143,33.15
2017-05-29T18:59:20.861+0200,21.06203938,42.69219001,36.58
2017-05-29T18:59:22.045+0200,21.06202726,42.69219919,39.31
2017-05-29T18:59:23.175+0200,21.06200636,42.69221601,42.43
2017-05-29T18:59:24.331+0200,21.06199633,42.69222679,44.62
2017-05-29T18:59:25.466+0200,21.06199048,42.69223617,49.01
2017-05-29T18:59:26.706+0200,21.06198901,42.69224407,51.69
2017-05-29T18:59:27.732+0200,21.06198323,42.69224606,58.96
2017-05-29T18:59:28.934+0200,21.06198379,42.69224753,64.22
2017-05-29T18:59:30.055+0200,21.06198315,42.69224834,68.26
2017-05-29T18:59:31.241+0200,21.06198303,42.69224965,70.03
2017-05-29T18:59:32.355+0200,21.06198463,42.69224973,72.73
2017-05-29T18:59:33.516+0200,21.06198662,42.69224919,81.46
2017-05-29T18:59:34.638+0200,21.06198723,42.69224881,81.14
2017-05-29T18:59:35.813+0200,21.06198707,42.69224794,82.43
2017-05-29T18:59:36.925+0200,21.06198786,42.69224881,79.87
2017-05-29T18:59:38.081+0200,21.06198851,42.69225045,79.55
2017-05-29T18:59:39.249+0200,21.06198964,42.69225025,78.29
2017-05-29T18:59:40.393+0200,21.06198926,42.69225046,79.23
2017-05-29T18:59:41.549+0200,21.06198855,42.69225013,77.97
2017-05-29T18:59:42.711+0200,21.06198838,42.69225009,79.87
