sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-29T12:18:00.156+0200,21.08566244,42.68122147,7.19
2017-05-29T12:18:01.383+0200,21.08566244,42.68122147,7.57
2017-05-29T12:18:02.523+0200,21.08566244,42.68122147,6.96
2017-05-29T12:18:03.667+0200,21.08566244,42.68122147,6.57
2017-05-29T12:18:04.898+0200,21.08566244,42.68122147,6.96
2017-05-29T12:18:06.039+0200,21.08566244,42.68122147,7.04
2017-05-29T12:18:07.183+0200,21.08566244,42.68122147,7.34
2017-05-29T12:18:08.416+0200,21.08566244,42.68122147,7.65
2017-05-29T12:18:09.559+0200,21.08566244,42.68122147,8.03
2017-05-29T12:18:10.701+0200,21.08566244,42.68122147,7.73
2017-05-29T12:18:11.840+0200,21.08566244,42.68122147,7.42
2017-05-29T12:18:13.015+0200,21.08566244,42.68122147,6.65
2017-05-29T12:18:14.215+0200,21.08566244,42.68122147,6.57
2017-05-29T12:18:15.355+0200,21.08566244,42.68122147,7.04
2017-05-29T12:18:16.502+0200,21.08566244,42.68122147,7.5
2017-05-29T12:18:17.732+0200,21.08566244,42.68122147,7.5
2017-05-29T12:18:18.876+0200,21.08523666,42.68101474,7.73
2017-05-29T12:18:20.047+0200,21.08524207,42.68102318,7.73
2017-05-29T12:18:21.157+0200,21.0852416,42.68101733,7.34
2017-05-29T12:18:22.332+0200,21.08523892,42.68101293,7.73
2017-05-29T12:18:23.531+0200,21.08523819,42.68100167,7.73
2017-05-29T12:18:24.673+0200,21.08522583,42.68098455,7.27
2017-05-29T12:18:25.814+0200,21.08521995,42.68097962,7.65
2017-05-29T12:18:27.047+0200,21.08520601,42.68096875,7.65
2017-05-29T12:18:28.188+0200,21.08520207,42.68095975,7.27
2017-05-29T12:18:29.333+0200,21.08520124,42.68095151,7.57
2017-05-29T12:18:30.473+0200,21.08519493,42.68094071,7.88
2017-05-29T12:18:31.719+0200,21.08517783,42.6809209,8.03
2017-05-29T12:18:32.849+0200,21.08517748,42.68091297,8.95
2017-05-29T12:18:33.992+0200,21.08516992,42.68090697,8.49
2017-05-29T12:18:35.162+0200,21.08515946,42.68089636,8.42
2017-05-29T12:18:36.363+0200,21.0851542,42.6808882,8.11
2017-05-29T12:18:37.541+0200,21.0851455,42.68087994,7.5
2017-05-29T12:18:38.647+0200,21.08512769,42.68086379,6.88
2017-05-29T12:18:39.790+0200,21.08511946,42.68085514,6.26
2017-05-29T12:18:41.022+0200,21.08511255,42.68084548,6.96
2017-05-29T12:18:42.197+0200,21.08511126,42.68083734,6.96
2017-05-29T12:18:43.308+0200,21.08510632,42.68082778,7.04
2017-05-29T12:18:44.481+0200,21.08510262,42.68081702,6.96
2017-05-29T12:18:45.681+0200,21.08508876,42.68079689,7.42
2017-05-29T12:18:46.860+0200,21.08508707,42.68078728,6.8
2017-05-29T12:18:47.966+0200,21.08508732,42.68077558,7.04
2017-05-29T12:18:49.138+0200,21.08508079,42.68076454,7.11
2017-05-29T12:18:50.338+0200,21.08507844,42.6807563,7.88
2017-05-29T12:18:51.480+0200,21.08507299,42.68074827,7.88
2017-05-29T12:18:52.658+0200,21.08506774,42.68073167,7.27
2017-05-29T12:18:53.856+0200,21.08506373,42.68072359,6.57
2017-05-29T12:18:54.997+0200,21.0850622,42.68071401,6.26
2017-05-29T12:18:56.140+0200,21.08505787,42.68070651,6.34
2017-05-29T12:18:57.302+0200,21.08505694,42.68069643,5.88
2017-05-29T12:18:58.514+0200,21.08505753,42.68068937,5.96
2017-05-29T12:18:59.660+0200,21.08505395,42.68067834,5.96
2017-05-29T12:19:00.797+0200,21.08505506,42.68067607,5.26
2017-05-29T12:19:02.032+0200,21.08504851,42.68067041,5.03
2017-05-29T12:19:03.113+0200,21.08504657,42.68066176,4.81
2017-05-29T12:19:04.316+0200,21.08504519,42.6806585,5.03
