sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-30T10:08:05.565+0200,21.07344628,42.68479409,18.39
2017-05-30T10:08:06.745+0200,21.07346041,42.6848161,16.56
2017-05-30T10:08:07.875+0200,21.07346169,42.68482233,17.94
2017-05-30T10:08:09.066+0200,21.07346795,42.68481588,18.85
2017-05-30T10:08:10.210+0200,21.07345826,42.6848096,20.1
2017-05-30T10:08:11.410+0200,21.07344782,42.68480981,20.61
2017-05-30T10:08:12.564+0200,21.07344553,42.68481612,20.2
2017-05-30T10:08:13.707+0200,21.07344273,42.68482372,20.61
2017-05-30T10:08:14.910+0200,21.07343998,42.68482651,20.1
2017-05-30T10:08:16.096+0200,21.07344047,42.68482829,20.51
2017-05-30T10:08:17.193+0200,21.07344041,42.68482964,20.01
2017-05-30T10:08:18.410+0200,21.07344093,42.68483077,19.32
2017-05-30T10:08:19.546+0200,21.07345062,42.68483384,19.23
2017-05-30T10:08:20.775+0200,21.07344801,42.68482943,18.85
2017-05-30T10:08:21.904+0200,21.07344835,42.68483182,19.42
2017-05-30T10:08:23.059+0200,21.0734501,42.68482939,20.2
2017-05-30T10:08:24.212+0200,21.07345219,42.68482657,19.23
2017-05-30T10:08:25.395+0200,21.07345352,42.68482583,19.04
2017-05-30T10:08:26.537+0200,21.07345278,42.68482752,18.85
2017-05-30T10:08:27.749+0200,21.07345542,42.68482739,19.23
2017-05-30T10:08:28.882+0200,21.07345342,42.68482726,19.42
2017-05-30T10:08:30.047+0200,21.07345278,42.68482486,18.39
2017-05-30T10:08:31.220+0200,21.07345283,42.6848249,18.12
2017-05-30T10:08:32.402+0200,21.07345331,42.68482485,17.5
2017-05-30T10:08:33.534+0200,21.07345273,42.68482497,18.85
2017-05-30T10:08:34.730+0200,21.0734524,42.68482499,18.57
2017-05-30T10:08:35.908+0200,21.07345236,42.68482498,18.66
2017-05-30T10:08:37.109+0200,21.07345217,42.68482497,17.58
2017-05-30T10:08:38.215+0200,21.07345206,42.684825,16.81
2017-05-30T10:08:39.411+0200,21.073452,42.68482501,16.9
2017-05-30T10:08:40.577+0200,21.07345196,42.68482501,16.9
2017-05-30T10:08:41.778+0200,21.07345194,42.684825,17.32
2017-05-30T10:08:42.858+0200,21.07345185,42.684825,16.48
2017-05-30T10:08:44.095+0200,21.07345167,42.68482511,15.82
2017-05-30T10:08:45.200+0200,21.07345167,42.68482508,15.58
2017-05-30T10:08:46.407+0200,21.07345171,42.68482507,14.48
2017-05-30T10:08:47.548+0200,21.07345177,42.68482507,14.25
2017-05-30T10:08:48.731+0200,21.07345182,42.68482506,14.41
2017-05-30T10:08:49.885+0200,21.07345186,42.68482506,14.72
2017-05-30T10:08:51.090+0200,21.07345187,42.68482508,15.9
2017-05-30T10:08:52.222+0200,21.07345192,42.68482506,15.82
2017-05-30T10:08:53.404+0200,21.073452,42.68482503,15.98
2017-05-30T10:08:54.532+0200,21.07345207,42.68482498,15.66
2017-05-30T10:08:55.717+0200,21.07345214,42.68482494,15.42
2017-05-30T10:08:56.897+0200,21.07345218,42.68482495,15.34
2017-05-30T10:08:58.078+0200,21.07345228,42.68482489,14.95
2017-05-30T10:08:59.187+0200,21.07345233,42.68482487,16.07
2017-05-30T10:09:00.407+0200,21.07345239,42.68482487,16.31
2017-05-30T10:09:01.538+0200,21.07345244,42.68482491,16.39
2017-05-30T10:09:02.741+0200,21.0734525,42.68482495,17.15
2017-05-30T10:09:03.868+0200,21.07345258,42.68482495,16.98
2017-05-30T10:09:05.046+0200,21.07345251,42.68482483,16.81
2017-05-30T10:09:06.212+0200,21.07345246,42.68482483,16.9
2017-05-30T10:09:07.396+0200,21.07345095,42.68482507,16.73
2017-05-30T10:09:08.520+0200,21.07344824,42.68482502,15.74
2017-05-30T10:09:09.723+0200,21.07344751,42.68482192,15.66
