sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-02T10:27:17.307+0200,21.04845018,42.70732037,30.83
2017-06-02T10:27:18.458+0200,21.04845032,42.70732038,30.35
2017-06-02T10:27:19.589+0200,21.04845022,42.70732024,31.15
2017-06-02T10:27:20.727+0200,21.04845024,42.70732031,30.99
2017-06-02T10:27:21.906+0200,21.04845033,42.70732036,32.31
2017-06-02T10:27:23.105+0200,21.04845035,42.70732037,31.64
2017-06-02T10:27:24.247+0200,21.04845037,42.70732041,31.48
2017-06-02T10:27:25.386+0200,21.04845041,42.70732045,29.73
2017-06-02T10:27:26.622+0200,21.04845055,42.7073207,28.38
2017-06-02T10:27:27.762+0200,21.04845079,42.70732073,29.27
2017-06-02T10:27:28.998+0200,21.04845093,42.70732078,28.53
2017-06-02T10:27:30.049+0200,21.04845099,42.70732085,28.82
2017-06-02T10:27:31.190+0200,21.04845099,42.70732085,30.99
2017-06-02T10:27:32.421+0200,21.04844458,42.70731196,30.99
2017-06-02T10:27:33.571+0200,21.04847129,42.70732003,29.12
2017-06-02T10:27:34.705+0200,21.04847633,42.70731783,30.04
2017-06-02T10:27:35.879+0200,21.04847696,42.70732045,29.58
2017-06-02T10:27:37.082+0200,21.04848172,42.70731398,28.97
2017-06-02T10:27:38.315+0200,21.04849474,42.70732055,28.23
2017-06-02T10:27:39.363+0200,21.04850741,42.70733394,27.09
2017-06-02T10:27:40.597+0200,21.04851678,42.70734935,26.81
2017-06-02T10:27:41.772+0200,21.04851249,42.70735482,26.0
2017-06-02T10:27:42.883+0200,21.04851454,42.70735368,24.58
2017-06-02T10:27:44.115+0200,21.04851692,42.7073534,26.4
2017-06-02T10:27:45.256+0200,21.04851849,42.7073586,25.6
2017-06-02T10:27:46.398+0200,21.04851817,42.70736973,27.51
2017-06-02T10:27:47.569+0200,21.04849762,42.70737471,28.38
2017-06-02T10:27:48.772+0200,21.04848806,42.70737285,27.8
2017-06-02T10:27:49.913+0200,21.04847632,42.70738438,27.94
2017-06-02T10:27:51.057+0200,21.04846759,42.70738737,28.53
2017-06-02T10:27:52.205+0200,21.04845654,42.7073803,28.23
2017-06-02T10:27:53.431+0200,21.04844635,42.70737435,26.81
2017-06-02T10:27:54.572+0200,21.04841047,42.7073685,25.74
2017-06-02T10:27:55.717+0200,21.04839526,42.70736857,26.4
2017-06-02T10:27:56.889+0200,21.04838018,42.70737517,27.8
2017-06-02T10:27:58.102+0200,21.04837126,42.70737827,28.82
2017-06-02T10:27:59.233+0200,21.04835726,42.70738013,28.23
2017-06-02T10:28:00.374+0200,21.04834428,42.70738544,30.35
2017-06-02T10:28:01.607+0200,21.04831579,42.70739261,32.47
2017-06-02T10:28:02.749+0200,21.04830647,42.70740083,31.64
2017-06-02T10:28:03.897+0200,21.04829211,42.7074107,31.48
2017-06-02T10:28:05.032+0200,21.04827706,42.70741558,30.67
2017-06-02T10:28:06.207+0200,21.04826188,42.70742215,30.04
2017-06-02T10:28:07.408+0200,21.04824208,42.70743045,31.31
2017-06-02T10:28:08.550+0200,21.04821561,42.70744464,31.48
2017-06-02T10:28:09.691+0200,21.04820368,42.70744957,32.47
2017-06-02T10:28:10.936+0200,21.04819089,42.70745483,31.81
2017-06-02T10:28:12.002+0200,21.04818266,42.70746167,31.31
2017-06-02T10:28:13.211+0200,21.04817134,42.70746709,31.81
2017-06-02T10:28:14.354+0200,21.04815852,42.70747276,32.98
2017-06-02T10:28:15.583+0200,21.04813383,42.70748145,30.35
2017-06-02T10:28:16.727+0200,21.04812166,42.70748585,29.58
2017-06-02T10:28:17.961+0200,21.04811023,42.70749318,28.38
2017-06-02T10:28:19.043+0200,21.04809778,42.70750281,28.82
2017-06-02T10:28:20.242+0200,21.04808941,42.70751129,28.23
2017-06-02T10:28:21.388+0200,21.04807738,42.70751716,27.51
2017-06-02T10:28:22.530+0200,21.04804665,42.70753443,27.09
2017-06-02T10:28:23.762+0200,21.04803329,42.70753853,28.09
2017-06-02T10:28:24.901+0200,21.04802562,42.70754308,29.12
2017-06-02T10:28:26.042+0200,21.04801351,42.70755235,31.15
2017-06-02T10:28:27.278+0200,21.04800072,42.70755699,30.99
2017-06-02T10:28:28.418+0200,21.04798974,42.70756109,29.58
2017-06-02T10:28:29.562+0200,21.04796885,42.70757737,29.12
2017-06-02T10:28:30.707+0200,21.0479541,42.70758149,26.81
2017-06-02T10:28:31.877+0200,21.04794118,42.70758599,27.37
2017-06-02T10:28:33.020+0200,21.04793554,42.70759294,29.12
2017-06-02T10:28:34.221+0200,21.0479233,42.70760009,31.31
2017-06-02T10:28:35.362+0200,21.04791929,42.70761363,31.31
2017-06-02T10:28:36.595+0200,21.04789548,42.70763437,33.5
2017-06-02T10:28:37.736+0200,21.04789213,42.70764645,34.92
2017-06-02T10:28:38.879+0200,21.04787679,42.70765293,36.39
2017-06-02T10:28:40.025+0200,21.04785083,42.70765467,39.31
2017-06-02T10:28:41.253+0200,21.04784074,42.70766551,38.32
2017-06-02T10:28:42.397+0200,21.04782121,42.70768101,40.33
2017-06-02T10:28:43.540+0200,21.04783427,42.70770803,38.71
