sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-03T13:04:52.113+0200,21.0520159,42.70746984,37.34
2017-06-03T13:04:53.349+0200,21.0520159,42.70746984,40.95
2017-06-03T13:04:54.432+0200,21.05200435,42.7074834,38.51
2017-06-03T13:04:55.631+0200,21.05202198,42.70745986,40.74
2017-06-03T13:04:56.772+0200,21.05204644,42.70744122,42.65
2017-06-03T13:04:57.917+0200,21.05204995,42.70744307,45.29
2017-06-03T13:04:59.090+0200,21.05205672,42.70743802,48.06
2017-06-03T13:05:00.291+0200,21.05206865,42.70744011,50.22
2017-06-03T13:05:01.432+0200,21.05207438,42.70743576,52.44
2017-06-03T13:05:02.607+0200,21.05207608,42.7074335,50.95
2017-06-03T13:05:03.806+0200,21.05207856,42.70743304,49.73
2017-06-03T13:05:04.948+0200,21.05208212,42.70741907,47.36
2017-06-03T13:05:06.090+0200,21.05207659,42.70741022,51.69
2017-06-03T13:05:07.266+0200,21.05207519,42.70739639,52.44
2017-06-03T13:05:08.463+0200,21.05207346,42.70739179,52.95
2017-06-03T13:05:09.606+0200,21.05207143,42.70739024,54.73
2017-06-03T13:05:10.750+0200,21.05206691,42.70738847,53.96
2017-06-03T13:05:12.005+0200,21.05206354,42.70738794,52.95
2017-06-03T13:05:13.121+0200,21.05206104,42.70738713,54.99
2017-06-03T13:05:14.266+0200,21.05205797,42.70738829,50.95
2017-06-03T13:05:15.404+0200,21.05205028,42.70738725,47.83
2017-06-03T13:05:16.638+0200,21.05205448,42.70738448,48.06
2017-06-03T13:05:17.781+0200,21.05205617,42.70738502,51.45
2017-06-03T13:05:18.922+0200,21.05205569,42.70738736,50.22
2017-06-03T13:05:20.155+0200,21.05205705,42.70738937,45.74
2017-06-03T13:05:21.296+0200,21.05206433,42.70739052,48.3
2017-06-03T13:05:22.437+0200,21.05207006,42.70738823,49.49
2017-06-03T13:05:23.674+0200,21.05206961,42.70738992,51.45
2017-06-03T13:05:24.813+0200,21.05206484,42.70738768,48.54
2017-06-03T13:05:25.954+0200,21.05205966,42.70738669,47.83
2017-06-03T13:05:27.097+0200,21.05206187,42.70738682,50.46
2017-06-03T13:05:28.272+0200,21.05205964,42.70738517,48.3
2017-06-03T13:05:29.471+0200,21.05205904,42.70738525,50.46
2017-06-03T13:05:30.614+0200,21.05205781,42.70738354,47.36
2017-06-03T13:05:31.786+0200,21.05205747,42.70738151,47.83
2017-06-03T13:05:32.930+0200,21.05205701,42.70738115,49.73
2017-06-03T13:05:34.153+0200,21.0520562,42.70738143,46.89
2017-06-03T13:05:35.283+0200,21.05206852,42.70736141,48.77
2017-06-03T13:05:36.414+0200,21.05206582,42.70736332,50.22
2017-06-03T13:05:37.588+0200,21.05206447,42.70736681,48.06
2017-06-03T13:05:38.787+0200,21.05205825,42.70736705,44.62
2017-06-03T13:05:39.931+0200,21.05205119,42.70737082,48.3
2017-06-03T13:05:41.165+0200,21.05204593,42.70736957,47.83
2017-06-03T13:05:42.302+0200,21.05203726,42.70737314,51.2
2017-06-03T13:05:43.447+0200,21.05203108,42.70737605,49.73
2017-06-03T13:05:44.618+0200,21.05202571,42.70737636,46.43
2017-06-03T13:05:45.763+0200,21.05202138,42.7073806,46.66
2017-06-03T13:05:46.962+0200,21.05201385,42.70738245,46.89
2017-06-03T13:05:48.107+0200,21.05200542,42.707387,49.98
2017-06-03T13:05:49.277+0200,21.05199241,42.7073948,48.77
2017-06-03T13:05:50.479+0200,21.05199174,42.70739515,46.66
2017-06-03T13:05:51.621+0200,21.05198901,42.70739743,46.43
2017-06-03T13:05:52.762+0200,21.05198725,42.70739943,44.84
2017-06-03T13:05:53.937+0200,21.05198791,42.70740402,45.74
2017-06-03T13:05:55.047+0200,21.0519926,42.70740474,44.4
2017-06-03T13:05:56.282+0200,21.05200346,42.70739373,41.79
2017-06-03T13:05:57.418+0200,21.05200926,42.70738611,40.33
2017-06-03T13:05:58.596+0200,21.05201929,42.70737961,39.72
2017-06-03T13:05:59.795+0200,21.05202716,42.7073745,37.15
2017-06-03T13:06:00.941+0200,21.05203368,42.70737013,35.1
2017-06-03T13:06:02.087+0200,21.05204115,42.70736412,32.98
2017-06-03T13:06:03.255+0200,21.05205904,42.70735033,30.67
2017-06-03T13:06:04.452+0200,21.05206683,42.7073426,29.73
2017-06-03T13:06:05.596+0200,21.05207778,42.70733158,27.94
2017-06-03T13:06:06.746+0200,21.05208249,42.70732357,26.4
2017-06-03T13:06:07.976+0200,21.05209282,42.70731094,25.6
2017-06-03T13:06:09.111+0200,21.05210261,42.70730128,25.34
2017-06-03T13:06:10.253+0200,21.05211421,42.70728278,25.87
2017-06-03T13:06:11.428+0200,21.05211715,42.70727403,27.37
2017-06-03T13:06:12.626+0200,21.05211775,42.70726208,30.83
2017-06-03T13:06:13.796+0200,21.05211598,42.70725439,32.64
2017-06-03T13:06:15.004+0200,21.05211897,42.70724615,30.67
2017-06-03T13:06:16.086+0200,21.05211513,42.70723601,28.67
2017-06-03T13:06:17.285+0200,21.05209442,42.70722611,28.82
2017-06-03T13:06:18.431+0200,21.05208887,42.7072307,30.99
