sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-02T21:56:58.539+0200,200.0,200.0,19.04
2017-06-02T21:56:59.668+0200,200.0,200.0,19.61
2017-06-02T21:57:00.873+0200,200.0,200.0,19.71
2017-06-02T21:57:02.002+0200,200.0,200.0,20.41
2017-06-02T21:57:03.169+0200,200.0,200.0,20.92
2017-06-02T21:57:04.256+0200,200.0,200.0,20.41
2017-06-02T21:57:05.504+0200,200.0,200.0,19.61
2017-06-02T21:57:06.544+0200,200.0,200.0,19.04
2017-06-02T21:57:07.736+0200,200.0,200.0,19.42
2017-06-02T21:57:08.822+0200,200.0,200.0,18.48
2017-06-02T21:57:09.599+0200,200.0,200.0,17.67
2017-06-02T21:57:10.727+0200,200.0,200.0,17.85
2017-06-02T21:57:11.847+0200,200.0,200.0,17.94
2017-06-02T21:57:12.985+0200,200.0,200.0,18.3
2017-06-02T21:57:14.148+0200,200.0,200.0,18.76
2017-06-02T21:57:15.295+0200,200.0,200.0,18.66
2017-06-02T21:57:16.474+0200,200.0,200.0,18.66
2017-06-02T21:57:17.597+0200,200.0,200.0,19.23
2017-06-02T21:57:18.717+0200,200.0,200.0,20.41
2017-06-02T21:57:19.880+0200,200.0,200.0,20.41
2017-06-02T21:57:21.038+0200,200.0,200.0,20.41
2017-06-02T21:57:22.216+0200,200.0,200.0,19.61
2017-06-02T21:57:23.321+0200,200.0,200.0,20.2
2017-06-02T21:57:24.455+0200,200.0,200.0,19.04
2017-06-02T21:57:25.655+0200,200.0,200.0,18.85
2017-06-02T21:57:26.778+0200,200.0,200.0,19.81
2017-06-02T21:57:27.965+0200,200.0,200.0,19.81
2017-06-02T21:57:29.067+0200,200.0,200.0,19.42
2017-06-02T21:57:30.215+0200,200.0,200.0,19.04
2017-06-02T21:57:31.365+0200,200.0,200.0,18.57
2017-06-02T21:57:32.518+0200,200.0,200.0,19.23
2017-06-02T21:57:33.665+0200,200.0,200.0,18.48
2017-06-02T21:57:34.793+0200,200.0,200.0,18.57
2017-06-02T21:57:35.947+0200,200.0,200.0,18.03
2017-06-02T21:57:37.095+0200,200.0,200.0,17.58
2017-06-02T21:57:38.217+0200,200.0,200.0,18.57
2017-06-02T21:57:39.396+0200,200.0,200.0,18.66
2017-06-02T21:57:40.560+0200,200.0,200.0,18.3
2017-06-02T21:57:41.714+0200,200.0,200.0,18.03
2017-06-02T21:57:42.825+0200,200.0,200.0,18.39
2017-06-02T21:57:43.953+0200,200.0,200.0,18.94
2017-06-02T21:57:45.158+0200,200.0,200.0,20.01
2017-06-02T21:57:46.286+0200,200.0,200.0,19.61
2017-06-02T21:57:47.410+0200,200.0,200.0,19.23
2017-06-02T21:57:48.574+0200,200.0,200.0,19.42
2017-06-02T21:57:49.725+0200,200.0,200.0,19.71
2017-06-02T21:57:50.877+0200,200.0,200.0,19.61
2017-06-02T21:57:51.993+0200,200.0,200.0,20.2
2017-06-02T21:57:53.190+0200,200.0,200.0,20.92
2017-06-02T21:57:54.314+0200,200.0,200.0,20.51
2017-06-02T21:57:55.470+0200,200.0,200.0,20.31
2017-06-02T21:57:56.567+0200,200.0,200.0,19.51
2017-06-02T21:57:57.718+0200,200.0,200.0,20.1
2017-06-02T21:57:58.892+0200,200.0,200.0,19.91
2017-06-02T21:58:00.074+0200,200.0,200.0,19.71
2017-06-02T21:58:01.158+0200,200.0,200.0,19.51
2017-06-02T21:58:02.356+0200,200.0,200.0,19.71
2017-06-02T21:58:03.564+0200,200.0,200.0,19.32
2017-06-02T21:58:04.656+0200,200.0,200.0,19.23
2017-06-02T21:58:05.750+0200,200.0,200.0,19.81
2017-06-02T21:58:06.946+0200,200.0,200.0,20.51
2017-06-02T21:58:08.087+0200,200.0,200.0,21.67
2017-06-02T21:58:09.251+0200,200.0,200.0,21.99
2017-06-02T21:58:10.383+0200,200.0,200.0,20.41
2017-06-02T21:58:11.542+0200,200.0,200.0,20.41
2017-06-02T21:58:12.663+0200,200.0,200.0,20.2
2017-06-02T21:58:13.834+0200,200.0,200.0,19.04
2017-06-02T21:58:14.968+0200,200.0,200.0,18.39
2017-06-02T21:58:16.097+0200,200.0,200.0,19.32
2017-06-02T21:58:17.231+0200,200.0,200.0,19.61
2017-06-02T21:58:18.440+0200,200.0,200.0,19.42
2017-06-02T21:58:19.536+0200,200.0,200.0,19.23
2017-06-02T21:58:20.691+0200,200.0,200.0,19.13
2017-06-02T21:58:21.858+0200,200.0,200.0,18.66
2017-06-02T21:58:23.064+0200,200.0,200.0,19.32
2017-06-02T21:58:24.146+0200,200.0,200.0,19.71
2017-06-02T21:58:25.295+0200,200.0,200.0,20.2
2017-06-02T21:58:26.414+0200,200.0,200.0,20.51
2017-06-02T21:58:27.596+0200,200.0,200.0,21.13
2017-06-02T21:58:28.711+0200,200.0,200.0,21.24
2017-06-02T21:58:29.900+0200,200.0,200.0,22.55
2017-06-02T21:58:31.044+0200,200.0,200.0,22.55
2017-06-02T21:58:32.215+0200,200.0,200.0,20.71
2017-06-02T21:58:33.286+0200,200.0,200.0,20.41
2017-06-02T21:58:34.499+0200,200.0,200.0,19.91
2017-06-02T21:58:35.623+0200,200.0,200.0,19.23
2017-06-02T21:58:36.752+0200,200.0,200.0,18.94
2017-06-02T21:58:37.907+0200,200.0,200.0,19.51
2017-06-02T21:58:39.085+0200,200.0,200.0,20.61
2017-06-02T21:58:40.208+0200,200.0,200.0,22.9
2017-06-02T21:58:41.347+0200,200.0,200.0,22.9
2017-06-02T21:58:42.567+0200,200.0,200.0,21.99
2017-06-02T21:58:43.660+0200,200.0,200.0,20.92
2017-06-02T21:58:44.797+0200,200.0,200.0,20.82
2017-06-02T21:58:45.970+0200,200.0,200.0,21.88
2017-06-02T21:58:47.080+0200,200.0,200.0,21.88
2017-06-02T21:58:48.221+0200,200.0,200.0,21.03
2017-06-02T21:58:49.378+0200,200.0,200.0,21.24
2017-06-02T21:58:50.537+0200,200.0,200.0,22.1
2017-06-02T21:58:51.638+0200,200.0,200.0,21.99
2017-06-02T21:58:52.808+0200,200.0,200.0,22.33
2017-06-02T21:58:53.980+0200,200.0,200.0,21.88
2017-06-02T21:58:55.132+0200,200.0,200.0,21.03
2017-06-02T21:58:56.251+0200,200.0,200.0,21.24
2017-06-02T21:58:57.406+0200,200.0,200.0,20.41
2017-06-02T21:58:58.592+0200,200.0,200.0,19.91
2017-06-02T21:58:59.720+0200,200.0,200.0,20.61
2017-06-02T21:59:00.849+0200,200.0,200.0,20.82
2017-06-02T21:59:02.065+0200,200.0,200.0,22.78
2017-06-02T21:59:03.141+0200,200.0,200.0,22.22
2017-06-02T21:59:04.329+0200,200.0,200.0,21.03
2017-06-02T21:59:05.450+0200,200.0,200.0,20.01
2017-06-02T21:59:06.625+0200,200.0,200.0,18.57
2017-06-02T21:59:07.751+0200,200.0,200.0,18.66
2017-06-02T21:59:08.926+0200,200.0,200.0,19.04
2017-06-02T21:59:10.067+0200,200.0,200.0,18.57
2017-06-02T21:59:11.187+0200,200.0,200.0,18.48
2017-06-02T21:59:12.334+0200,200.0,200.0,18.76
2017-06-02T21:59:13.481+0200,200.0,200.0,19.42
2017-06-02T21:59:14.611+0200,200.0,200.0,19.71
2017-06-02T21:59:15.754+0200,200.0,200.0,20.82
2017-06-02T21:59:16.920+0200,200.0,200.0,20.31
2017-06-02T21:59:18.071+0200,200.0,200.0,20.61
2017-06-02T21:59:19.191+0200,200.0,200.0,20.41
2017-06-02T21:59:20.375+0200,200.0,200.0,20.1
2017-06-02T21:59:21.566+0200,200.0,200.0,20.31
2017-06-02T21:59:22.682+0200,200.0,200.0,19.61
2017-06-02T21:59:23.791+0200,200.0,200.0,19.23
2017-06-02T21:59:24.975+0200,200.0,200.0,19.51
2017-06-02T21:59:26.071+0200,200.0,200.0,19.51
2017-06-02T21:59:27.262+0200,200.0,200.0,19.91
2017-06-02T21:59:28.407+0200,200.0,200.0,20.31
2017-06-02T21:59:29.560+0200,200.0,200.0,20.92
2017-06-02T21:59:30.697+0200,200.0,200.0,20.41
2017-06-02T21:59:31.846+0200,200.0,200.0,19.23
2017-06-02T21:59:32.975+0200,200.0,200.0,17.94
2017-06-02T21:59:34.125+0200,200.0,200.0,17.41
2017-06-02T21:59:35.252+0200,200.0,200.0,16.9
2017-06-02T21:59:36.462+0200,200.0,200.0,17.07
2017-06-02T21:59:37.555+0200,200.0,200.0,17.32
2017-06-02T21:59:38.761+0200,200.0,200.0,17.32
2017-06-02T21:59:39.900+0200,200.0,200.0,16.31
2017-06-02T21:59:41.063+0200,200.0,200.0,16.81
2017-06-02T21:59:42.160+0200,200.0,200.0,16.56
2017-06-02T21:59:43.313+0200,200.0,200.0,16.64
2017-06-02T21:59:44.440+0200,200.0,200.0,16.64
2017-06-02T21:59:45.615+0200,200.0,200.0,17.07
2017-06-02T21:59:46.737+0200,200.0,200.0,17.76
2017-06-02T21:59:47.876+0200,200.0,200.0,18.39
2017-06-02T21:59:49.011+0200,200.0,200.0,17.85
2017-06-02T21:59:50.241+0200,200.0,200.0,17.67
2017-06-02T21:59:51.347+0200,200.0,200.0,18.39
2017-06-02T21:59:52.507+0200,200.0,200.0,17.85
2017-06-02T21:59:53.635+0200,200.0,200.0,18.12
2017-06-02T21:59:54.809+0200,200.0,200.0,17.58
2017-06-02T21:59:55.915+0200,200.0,200.0,17.5
2017-06-02T21:59:57.096+0200,200.0,200.0,17.67
2017-06-02T21:59:58.215+0200,200.0,200.0,17.41
2017-06-02T21:59:59.351+0200,200.0,200.0,17.32
2017-06-02T22:00:00.568+0200,200.0,200.0,16.81
2017-06-02T22:00:01.714+0200,200.0,200.0,17.15
2017-06-02T22:00:02.818+0200,200.0,200.0,17.5
2017-06-02T22:00:03.978+0200,200.0,200.0,17.67
2017-06-02T22:00:05.061+0200,200.0,200.0,16.56
2017-06-02T22:00:06.302+0200,200.0,200.0,16.48
2017-06-02T22:00:07.407+0200,200.0,200.0,16.81
2017-06-02T22:00:08.545+0200,200.0,200.0,17.24
2017-06-02T22:00:09.686+0200,200.0,200.0,16.73
2017-06-02T22:00:10.868+0200,200.0,200.0,16.15
2017-06-02T22:00:11.954+0200,200.0,200.0,16.64
2017-06-02T22:00:13.111+0200,200.0,200.0,17.5
2017-06-02T22:00:14.276+0200,200.0,200.0,17.58
2017-06-02T22:00:15.440+0200,200.0,200.0,17.67
2017-06-02T22:00:16.570+0200,200.0,200.0,18.39
2017-06-02T22:00:17.715+0200,200.0,200.0,18.21
2017-06-02T22:00:18.830+0200,200.0,200.0,18.12
2017-06-02T22:00:20.078+0200,200.0,200.0,19.04
2017-06-02T22:00:21.184+0200,200.0,200.0,19.13
2017-06-02T22:00:22.312+0200,200.0,200.0,19.13
2017-06-02T22:00:23.456+0200,200.0,200.0,18.76
2017-06-02T22:00:24.617+0200,200.0,200.0,17.58
2017-06-02T22:00:25.778+0200,200.0,200.0,17.67
2017-06-02T22:00:26.877+0200,200.0,200.0,17.32
2017-06-02T22:00:28.041+0200,200.0,200.0,17.58
2017-06-02T22:00:29.183+0200,200.0,200.0,17.94
2017-06-02T22:00:30.352+0200,200.0,200.0,18.3
2017-06-02T22:00:31.465+0200,200.0,200.0,17.76
2017-06-02T22:00:32.653+0200,200.0,200.0,17.94
2017-06-02T22:00:33.807+0200,200.0,200.0,19.91
2017-06-02T22:00:34.923+0200,200.0,200.0,21.45
2017-06-02T22:00:36.087+0200,200.0,200.0,21.56
2017-06-02T22:00:37.251+0200,200.0,200.0,21.34
2017-06-02T22:00:38.405+0200,200.0,200.0,21.88
2017-06-02T22:00:39.566+0200,200.0,200.0,21.24
2017-06-02T22:00:40.655+0200,200.0,200.0,19.91
2017-06-02T22:00:41.810+0200,200.0,200.0,19.81
2017-06-02T22:00:42.957+0200,200.0,200.0,19.42
2017-06-02T22:00:44.126+0200,200.0,200.0,19.91
2017-06-02T22:00:45.256+0200,200.0,200.0,19.42
2017-06-02T22:00:46.414+0200,200.0,200.0,18.57
2017-06-02T22:00:47.557+0200,200.0,200.0,17.85
2017-06-02T22:00:48.657+0200,200.0,200.0,17.94
2017-06-02T22:00:49.873+0200,200.0,200.0,18.85
2017-06-02T22:00:51.026+0200,200.0,200.0,20.31
2017-06-02T22:00:52.145+0200,200.0,200.0,19.04
2017-06-02T22:00:53.301+0200,200.0,200.0,18.12
2017-06-02T22:00:54.454+0200,200.0,200.0,17.76
2017-06-02T22:00:55.595+0200,200.0,200.0,17.85
2017-06-02T22:00:56.735+0200,200.0,200.0,17.24
2017-06-02T22:00:57.884+0200,200.0,200.0,16.98
2017-06-02T22:00:59.066+0200,200.0,200.0,17.58
2017-06-02T22:01:00.132+0200,200.0,200.0,17.32
2017-06-02T22:01:01.316+0200,200.0,200.0,17.5
2017-06-02T22:01:02.438+0200,200.0,200.0,17.58
2017-06-02T22:01:03.677+0200,200.0,200.0,19.04
2017-06-02T22:01:04.786+0200,200.0,200.0,18.94
2017-06-02T22:01:05.948+0200,200.0,200.0,19.23
2017-06-02T22:01:07.031+0200,200.0,200.0,19.42
2017-06-02T22:01:08.207+0200,200.0,200.0,20.51
