sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-03T13:44:11.874+0200,21.05292797,42.70200619,8.57
2017-06-03T13:44:13.049+0200,21.05292725,42.70199736,8.64
2017-06-03T13:44:14.163+0200,21.0529268,42.70199661,8.49
2017-06-03T13:44:15.372+0200,21.05292658,42.70199569,8.8
2017-06-03T13:44:16.533+0200,21.05292671,42.70199574,8.95
2017-06-03T13:44:17.676+0200,21.05292682,42.7019958,8.8
2017-06-03T13:44:18.898+0200,21.05293146,42.70199784,8.8
2017-06-03T13:44:19.984+0200,21.05293623,42.70201119,9.17
2017-06-03T13:44:21.190+0200,21.05294045,42.70201646,8.87
2017-06-03T13:44:22.321+0200,21.05293395,42.70202802,9.17
2017-06-03T13:44:23.569+0200,21.05293249,42.70203495,9.7
2017-06-03T13:44:24.745+0200,21.05292748,42.70204724,9.7
2017-06-03T13:44:25.874+0200,21.05292355,42.70205802,9.25
2017-06-03T13:44:27.008+0200,21.05292287,42.70208186,8.87
2017-06-03T13:44:28.169+0200,21.05292089,42.70209299,8.64
2017-06-03T13:44:29.379+0200,21.05291243,42.70209985,8.49
2017-06-03T13:44:30.595+0200,21.05290669,42.70211143,8.34
2017-06-03T13:44:31.681+0200,21.0529001,42.70212048,7.96
2017-06-03T13:44:32.898+0200,21.05289259,42.70213277,8.72
2017-06-03T13:44:34.016+0200,21.05287516,42.70215449,7.96
2017-06-03T13:44:35.190+0200,21.05286868,42.70216306,7.88
2017-06-03T13:44:36.335+0200,21.05286053,42.70217031,7.34
2017-06-03T13:44:37.484+0200,21.05285342,42.70217784,7.04
2017-06-03T13:44:38.651+0200,21.05284244,42.7021868,6.73
2017-06-03T13:44:39.833+0200,21.05283039,42.70219639,6.11
2017-06-03T13:44:41.008+0200,21.05281467,42.70221187,6.26
2017-06-03T13:44:42.173+0200,21.05280558,42.70222113,6.88
2017-06-03T13:44:43.329+0200,21.05279585,42.70223264,8.57
2017-06-03T13:44:44.505+0200,21.05279028,42.70224259,9.93
2017-06-03T13:44:45.681+0200,21.05278389,42.70225083,10.52
2017-06-03T13:44:46.825+0200,21.05277969,42.70226129,10.89
2017-06-03T13:44:48.039+0200,21.0527625,42.70228586,11.04
2017-06-03T13:44:49.170+0200,21.05275505,42.70228958,10.52
2017-06-03T13:44:50.293+0200,21.05274756,42.70230076,9.7
2017-06-03T13:44:51.470+0200,21.05273816,42.70230888,9.85
2017-06-03T13:44:52.656+0200,21.05272859,42.7023195,9.48
2017-06-03T13:44:53.818+0200,21.05272417,42.70232988,9.02
2017-06-03T13:44:54.991+0200,21.05270654,42.70234812,8.8
2017-06-03T13:44:56.155+0200,21.0527008,42.70236043,9.17
2017-06-03T13:44:57.310+0200,21.0526922,42.70237014,9.17
2017-06-03T13:44:58.480+0200,21.05268602,42.70238145,8.11
2017-06-03T13:44:59.639+0200,21.05267862,42.70238896,7.57
2017-06-03T13:45:00.843+0200,21.05267425,42.70239827,7.34
2017-06-03T13:45:01.983+0200,21.05265437,42.70241776,7.34
2017-06-03T13:45:03.198+0200,21.05264745,42.70242621,6.57
2017-06-03T13:45:04.352+0200,21.05264087,42.70243626,7.19
2017-06-03T13:45:05.529+0200,21.05263131,42.7024478,7.96
2017-06-03T13:45:06.671+0200,21.05262593,42.70245804,7.8
2017-06-03T13:45:07.849+0200,21.0526167,42.70246826,7.65
2017-06-03T13:45:08.956+0200,21.05260909,42.70247868,7.96
2017-06-03T13:45:10.154+0200,21.05258757,42.70250067,8.42
2017-06-03T13:45:11.290+0200,21.05258048,42.70250958,7.96
2017-06-03T13:45:12.498+0200,21.05257101,42.70252041,8.42
2017-06-03T13:45:13.629+0200,21.05256215,42.70253007,8.11
2017-06-03T13:45:14.814+0200,21.0525536,42.70254112,8.72
2017-06-03T13:45:15.978+0200,21.05253133,42.7025592,8.72
2017-06-03T13:45:17.153+0200,21.05252399,42.70256822,8.19
2017-06-03T13:45:18.292+0200,21.05251765,42.7025792,7.73
2017-06-03T13:45:19.473+0200,21.05251106,42.70258829,8.19
2017-06-03T13:45:20.624+0200,21.05250495,42.70259859,8.34
2017-06-03T13:45:21.799+0200,21.05249643,42.70260614,8.87
2017-06-03T13:45:22.968+0200,21.05248201,42.70261859,8.87
2017-06-03T13:45:24.180+0200,21.05247509,42.70262953,10.07
2017-06-03T13:45:25.390+0200,21.05246649,42.70263962,10.22
2017-06-03T13:45:26.472+0200,21.05246161,42.7026465,10.52
2017-06-03T13:45:27.645+0200,21.05245289,42.70265621,9.93
2017-06-03T13:45:28.794+0200,21.05244306,42.70266725,10.45
2017-06-03T13:45:29.955+0200,21.05242757,42.70268869,10.6
2017-06-03T13:45:31.131+0200,21.05241941,42.70269696,10.52
2017-06-03T13:45:32.283+0200,21.05241093,42.70270399,10.07
2017-06-03T13:45:33.453+0200,21.05240324,42.70271188,10.37
2017-06-03T13:45:34.639+0200,21.05239477,42.70272244,9.55
2017-06-03T13:45:35.808+0200,21.05238642,42.70273136,9.17
2017-06-03T13:45:36.961+0200,21.05237407,42.70275078,9.48
2017-06-03T13:45:38.115+0200,21.05236966,42.70275928,8.8
