sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-15T16:02:24.202+0200,21.05187825,42.70758682,17.58
2017-05-15T16:02:25.391+0200,21.05186988,42.70757868,16.31
2017-05-15T16:02:26.553+0200,21.05186424,42.70757469,15.58
2017-05-15T16:02:27.713+0200,21.05185811,42.70757647,15.34
2017-05-15T16:02:28.873+0200,21.05184076,42.7075806,15.66
2017-05-15T16:02:30.070+0200,21.05183485,42.7075882,16.31
2017-05-15T16:02:31.203+0200,21.05182908,42.70759899,16.23
2017-05-15T16:02:32.405+0200,21.05183004,42.70760768,15.9
2017-05-15T16:02:33.561+0200,21.05182698,42.70761028,15.03
2017-05-15T16:02:34.709+0200,21.05182781,42.70761014,15.03
2017-05-15T16:02:35.865+0200,21.05183081,42.70760261,15.34
2017-05-15T16:02:37.048+0200,21.05182982,42.70760162,16.23
2017-05-15T16:02:38.194+0200,21.05182985,42.70761086,18.48
2017-05-15T16:02:39.412+0200,21.05182266,42.70761632,20.61
2017-05-15T16:02:40.572+0200,21.05182015,42.70762486,20.92
2017-05-15T16:02:41.737+0200,21.05181553,42.70763622,21.45
2017-05-15T16:02:42.858+0200,21.05180244,42.7076472,22.22
2017-05-15T16:02:44.056+0200,21.05179886,42.70765371,22.55
2017-05-15T16:02:45.261+0200,21.05179653,42.7076556,21.67
2017-05-15T16:02:46.416+0200,21.05179782,42.707662,20.61
2017-05-15T16:02:47.540+0200,21.05179925,42.70766699,20.31
2017-05-15T16:02:48.723+0200,21.05179845,42.70767008,21.13
2017-05-15T16:02:49.845+0200,21.05180056,42.70767057,21.77
2017-05-15T16:02:51.108+0200,21.0518016,42.70767085,20.2
2017-05-15T16:02:52.180+0200,21.05180123,42.70767015,19.51
2017-05-15T16:02:53.364+0200,21.05179747,42.70767292,19.71
2017-05-15T16:02:54.523+0200,21.05179727,42.70767532,19.42
2017-05-15T16:02:55.710+0200,21.05179742,42.70767586,19.61
2017-05-15T16:02:56.958+0200,21.0517985,42.70767772,19.04
2017-05-15T16:02:58.038+0200,21.05179987,42.7076792,17.94
2017-05-15T16:02:59.195+0200,21.05180054,42.70768035,17.67
2017-05-15T16:03:00.373+0200,21.05179928,42.70768038,16.73
2017-05-15T16:03:01.524+0200,21.05180101,42.70768297,16.23
2017-05-15T16:03:02.808+0200,21.05179861,42.70768791,15.5
2017-05-15T16:03:03.878+0200,21.05179745,42.70768204,14.79
2017-05-15T16:03:05.015+0200,21.05179766,42.7076794,13.95
2017-05-15T16:03:06.200+0200,21.0517974,42.7076768,13.19
2017-05-15T16:03:07.373+0200,21.05179868,42.70767708,13.42
2017-05-15T16:03:08.535+0200,21.05179927,42.7076765,14.64
2017-05-15T16:03:09.708+0200,21.0517945,42.70767474,14.33
2017-05-15T16:03:10.902+0200,21.05179785,42.70767604,14.41
2017-05-15T16:03:12.052+0200,21.05179209,42.70767375,14.18
2017-05-15T16:03:13.197+0200,21.05178847,42.70767223,13.72
2017-05-15T16:03:14.380+0200,21.05178626,42.70767008,12.97
2017-05-15T16:03:15.547+0200,21.0517842,42.70766703,12.52
2017-05-15T16:03:16.711+0200,21.05177944,42.70765923,12.23
2017-05-15T16:03:17.873+0200,21.05177947,42.70764554,12.23
2017-05-15T16:03:19.015+0200,21.05178205,42.7076426,12.08
2017-05-15T16:03:20.250+0200,21.05178843,42.70763923,11.78
2017-05-15T16:03:21.361+0200,21.05178841,42.70763572,11.86
2017-05-15T16:03:22.537+0200,21.05179026,42.7076338,12.38
2017-05-15T16:03:23.884+0200,21.05179131,42.70762028,11.78
2017-05-15T16:03:24.986+0200,21.05180157,42.70760447,11.71
2017-05-15T16:03:26.211+0200,21.05180521,42.70759822,11.86
2017-05-15T16:03:27.354+0200,21.05181207,42.70759096,11.56
2017-05-15T16:03:28.504+0200,21.05181313,42.70758367,11.04
2017-05-15T16:03:29.675+0200,21.05181807,42.70757084,10.75
2017-05-15T16:03:30.834+0200,21.05182707,42.7075665,11.04
2017-05-15T16:03:31.990+0200,21.05185092,42.70756203,11.04
2017-05-15T16:03:33.174+0200,21.05186213,42.70756081,12.0
2017-05-15T16:03:34.329+0200,21.05187661,42.70756194,12.3
2017-05-15T16:03:35.526+0200,21.0518875,42.70755776,13.34
2017-05-15T16:03:36.658+0200,21.05189215,42.70755156,14.87
2017-05-15T16:03:37.835+0200,21.05189448,42.70753965,16.15
2017-05-15T16:03:39.036+0200,21.05189798,42.70752107,17.5
2017-05-15T16:03:40.167+0200,21.0518967,42.70751856,18.48
2017-05-15T16:03:41.330+0200,21.05190204,42.70751267,19.71
2017-05-15T16:03:41.788+0200,21.0519103,42.70750355,21.56
2017-05-15T16:03:42.967+0200,21.05190651,42.70749965,23.96
2017-05-15T16:03:44.114+0200,21.05191125,42.70749933,24.96
2017-05-15T16:03:45.252+0200,21.05192513,42.7074903,27.66
2017-05-15T16:03:46.437+0200,21.05192192,42.70748483,26.68
2017-05-15T16:03:47.567+0200,21.05191177,42.70748072,29.12
2017-05-15T16:03:48.771+0200,21.05192149,42.70749116,30.99
2017-05-15T16:03:49.919+0200,21.05192305,42.7074998,33.85
