sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-15T20:12:18.007+0200,21.04888399,42.70809985,19.91
2017-05-15T20:12:19.168+0200,21.04888284,42.70810088,20.2
2017-05-15T20:12:20.349+0200,21.04888371,42.70810087,19.71
2017-05-15T20:12:21.495+0200,21.04888317,42.70810084,19.51
2017-05-15T20:12:22.683+0200,21.04888296,42.70810046,20.01
2017-05-15T20:12:23.798+0200,21.04888288,42.70809842,19.71
2017-05-15T20:12:25.001+0200,21.0488829,42.70809841,20.1
2017-05-15T20:12:26.206+0200,21.04888292,42.70809843,20.41
2017-05-15T20:12:27.389+0200,21.04888291,42.70809843,21.03
2017-05-15T20:12:28.462+0200,21.04888291,42.70809842,21.13
2017-05-15T20:12:29.668+0200,21.04888289,42.70809839,21.03
2017-05-15T20:12:30.808+0200,21.04888296,42.7080984,20.71
2017-05-15T20:12:32.046+0200,21.04888292,42.70809843,20.41
2017-05-15T20:12:33.141+0200,21.04888295,42.70809843,20.01
2017-05-15T20:12:34.315+0200,21.04888524,42.70810361,20.61
2017-05-15T20:12:35.461+0200,21.04889097,42.70810418,21.99
2017-05-15T20:12:36.659+0200,21.04888944,42.70811148,22.44
2017-05-15T20:12:37.898+0200,21.04888412,42.70811892,22.22
2017-05-15T20:12:38.962+0200,21.04888045,42.70812242,24.09
2017-05-15T20:12:40.127+0200,21.04888592,42.70812642,23.36
2017-05-15T20:12:41.315+0200,21.04889098,42.70813092,23.6
2017-05-15T20:12:42.481+0200,21.04889187,42.7081265,22.67
2017-05-15T20:12:43.746+0200,21.04888993,42.70812487,23.01
2017-05-15T20:12:44.805+0200,21.04888912,42.70812419,21.88
2017-05-15T20:12:45.978+0200,21.04889029,42.70812582,20.61
2017-05-15T20:12:47.152+0200,21.04888881,42.70812694,20.41
2017-05-15T20:12:48.330+0200,21.04888693,42.70812856,21.34
2017-05-15T20:12:49.469+0200,21.04888594,42.70813113,20.82
2017-05-15T20:12:50.648+0200,21.0488861,42.70813104,20.31
2017-05-15T20:12:51.783+0200,21.04888686,42.70812979,20.41
2017-05-15T20:12:53.033+0200,21.04889194,42.70812803,19.71
2017-05-15T20:12:54.156+0200,21.04889132,42.70812815,21.03
2017-05-15T20:12:55.326+0200,21.0488916,42.70812799,22.1
2017-05-15T20:12:56.498+0200,21.04889178,42.70812798,23.13
2017-05-15T20:12:57.653+0200,21.04888725,42.70812845,21.13
2017-05-15T20:12:58.793+0200,21.04888509,42.70812746,20.1
2017-05-15T20:12:59.995+0200,21.04887051,42.70812491,19.91
2017-05-15T20:13:01.161+0200,21.0488655,42.70812548,20.01
2017-05-15T20:13:02.325+0200,21.04886257,42.70812908,20.01
2017-05-15T20:13:03.453+0200,21.04885832,42.70813136,19.81
2017-05-15T20:13:04.676+0200,21.0488563,42.7081296,19.71
2017-05-15T20:13:05.763+0200,21.04885027,42.70813392,19.71
2017-05-15T20:13:06.985+0200,21.04883845,42.70813089,19.42
2017-05-15T20:13:08.155+0200,21.0488306,42.7081307,19.13
2017-05-15T20:13:09.312+0200,21.0488192,42.70813134,20.2
2017-05-15T20:13:10.479+0200,21.04881192,42.70812714,20.2
2017-05-15T20:13:11.630+0200,21.04880125,42.7081237,19.42
2017-05-15T20:13:12.822+0200,21.04879296,42.70812355,20.1
2017-05-15T20:13:13.967+0200,21.04877917,42.70811986,20.82
2017-05-15T20:13:15.126+0200,21.04876935,42.70812129,20.82
2017-05-15T20:13:16.298+0200,21.04876238,42.7081222,19.71
2017-05-15T20:13:17.476+0200,21.04875484,42.70812488,19.91
2017-05-15T20:13:18.666+0200,21.0487408,42.70812423,19.04
2017-05-15T20:13:19.810+0200,21.04873062,42.70811883,20.2
2017-05-15T20:13:20.977+0200,21.04872202,42.70811876,19.42
2017-05-15T20:13:22.126+0200,21.04870872,42.70811944,19.71
2017-05-15T20:13:23.306+0200,21.04869378,42.70811561,20.31
2017-05-15T20:13:24.480+0200,21.04868091,42.70810588,20.71
2017-05-15T20:13:25.646+0200,21.04867238,42.70810282,20.2
2017-05-15T20:13:26.768+0200,21.04866502,42.70809548,20.82
2017-05-15T20:13:27.971+0200,21.04865286,42.70808804,20.1
2017-05-15T20:13:29.171+0200,21.04865248,42.70808924,19.61
2017-05-15T20:13:30.350+0200,21.04865013,42.70809099,19.51
2017-05-15T20:13:31.470+0200,21.04864566,42.70809273,19.71
2017-05-15T20:13:32.691+0200,21.04864701,42.70809435,18.85
2017-05-15T20:13:33.833+0200,21.04864139,42.70809057,19.23
2017-05-15T20:13:34.955+0200,21.04863599,42.70808164,19.42
2017-05-15T20:13:36.158+0200,21.0486291,42.70807974,20.2
2017-05-15T20:13:37.317+0200,21.04862816,42.70808242,21.45
2017-05-15T20:13:38.416+0200,21.048626,42.70808023,21.03
2017-05-15T20:13:39.656+0200,21.04862252,42.70807744,19.91
2017-05-15T20:13:40.793+0200,21.04861799,42.70807467,19.04
2017-05-15T20:13:41.954+0200,21.04860658,42.70806468,19.71
2017-05-15T20:13:43.135+0200,21.0485994,42.70806125,20.01
2017-05-15T20:13:44.290+0200,21.04859683,42.70805485,18.85
