sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-16T11:01:44.712+0200,21.05208051,42.70733275,90.0
2017-05-16T11:01:45.906+0200,21.05208517,42.70733431,91.7
2017-05-16T11:01:47.099+0200,21.05208878,42.70733116,94.44
2017-05-16T11:01:48.211+0200,21.05209839,42.70732706,93.06
2017-05-16T11:01:49.399+0200,21.05210458,42.70732033,94.78
2017-05-16T11:01:50.569+0200,21.05211097,42.70730202,98.64
2017-05-16T11:01:51.697+0200,21.05212021,42.70729701,102.95
2017-05-16T11:01:52.860+0200,21.05212602,42.70728975,103.31
2017-05-16T11:01:54.037+0200,21.05213537,42.70727384,103.31
2017-05-16T11:01:55.211+0200,21.05214467,42.70726627,102.22
2017-05-16T11:01:56.429+0200,21.05215061,42.70725851,96.17
2017-05-16T11:01:57.546+0200,21.05215396,42.70725452,99.7
2017-05-16T11:01:58.722+0200,21.05216825,42.70724715,92.38
2017-05-16T11:01:59.880+0200,21.05216959,42.70723894,95.48
2017-05-16T11:02:01.047+0200,21.05217079,42.70723521,96.17
2017-05-16T11:02:02.265+0200,21.05217619,42.70724029,92.72
2017-05-16T11:02:03.386+0200,21.05217883,42.70723623,101.5
2017-05-16T11:02:04.589+0200,21.05217939,42.70723429,105.88
2017-05-16T11:02:05.699+0200,21.05218098,42.70722951,101.14
2017-05-16T11:02:06.920+0200,21.05217873,42.70722243,96.17
2017-05-16T11:02:08.099+0200,21.05217786,42.70721363,86.34
2017-05-16T11:02:09.215+0200,21.05218339,42.70720592,87.33
2017-05-16T11:02:10.378+0200,21.05218688,42.70719712,85.68
2017-05-16T11:02:11.536+0200,21.05219257,42.70718962,89.0
2017-05-16T11:02:12.705+0200,21.05220435,42.70717555,85.02
2017-05-16T11:02:13.875+0200,21.05221215,42.70716768,84.04
2017-05-16T11:02:15.032+0200,21.05221534,42.70715826,82.43
2017-05-16T11:02:16.219+0200,21.05221879,42.70714994,86.67
2017-05-16T11:02:17.373+0200,21.05222003,42.70714306,89.33
2017-05-16T11:02:18.589+0200,21.05223408,42.70712468,95.48
2017-05-16T11:02:19.754+0200,21.05223733,42.70711506,104.78
2017-05-16T11:02:20.864+0200,21.05224712,42.70710998,104.41
2017-05-16T11:02:22.052+0200,21.0522558,42.70710738,107.38
2017-05-16T11:02:23.222+0200,21.052259,42.70710203,108.5
2017-05-16T11:02:24.399+0200,21.05226529,42.70710069,115.08
2017-05-16T11:02:25.550+0200,21.0522671,42.70710516,111.94
2017-05-16T11:02:26.714+0200,21.05226797,42.70710476,113.5
2017-05-16T11:02:27.884+0200,21.05226827,42.70710596,117.07
2017-05-16T11:02:29.071+0200,21.05226657,42.70710438,113.5
2017-05-16T11:02:30.264+0200,21.05226644,42.70710252,120.33
2017-05-16T11:02:31.446+0200,21.05226503,42.70710222,127.56
2017-05-16T11:02:32.531+0200,21.0522631,42.70710191,121.99
2017-05-16T11:02:33.751+0200,21.05226151,42.70710555,121.57
2017-05-16T11:02:34.920+0200,21.0522615,42.7071052,121.99
2017-05-16T11:02:36.065+0200,21.05226131,42.70710861,119.92
2017-05-16T11:02:37.265+0200,21.05225814,42.70711126,117.07
2017-05-16T11:02:38.406+0200,21.05226086,42.70711624,111.56
2017-05-16T11:02:39.545+0200,21.05226357,42.70712013,115.47
2017-05-16T11:02:40.770+0200,21.05226761,42.70712133,114.29
2017-05-16T11:02:41.890+0200,21.05226427,42.70711932,111.94
2017-05-16T11:02:43.077+0200,21.05226512,42.70711816,118.69
2017-05-16T11:02:44.221+0200,21.05226643,42.70712103,113.89
2017-05-16T11:02:45.369+0200,21.05226337,42.70712172,116.27
2017-05-16T11:02:46.619+0200,21.05226479,42.70712264,115.47
2017-05-16T11:02:47.719+0200,21.05226521,42.70712064,101.86
2017-05-16T11:02:48.897+0200,21.05226403,42.7071202,94.09
2017-05-16T11:02:50.025+0200,21.05226247,42.70712034,93.75
2017-05-16T11:02:51.206+0200,21.05226234,42.70711964,90.34
2017-05-16T11:02:52.470+0200,21.05226215,42.70711885,90.0
2017-05-16T11:02:53.536+0200,21.05226281,42.70711896,87.99
2017-05-16T11:02:54.724+0200,21.05226269,42.70711898,86.34
2017-05-16T11:02:55.890+0200,21.05226263,42.70711882,84.37
2017-05-16T11:02:57.048+0200,21.05226262,42.7071189,88.33
2017-05-16T11:02:58.320+0200,21.05226269,42.70711912,94.78
2017-05-16T11:02:59.385+0200,21.05226273,42.70711928,92.04
2017-05-16T11:03:00.547+0200,21.05226271,42.70711931,96.17
2017-05-16T11:03:01.723+0200,21.05226271,42.70711941,103.31
2017-05-16T11:03:02.933+0200,21.05226272,42.70711942,107.38
2017-05-16T11:03:04.167+0200,21.05226271,42.70711943,108.5
2017-05-16T11:03:05.194+0200,21.0522627,42.70711944,109.64
2017-05-16T11:03:06.397+0200,21.0522627,42.70711944,111.94
2017-05-16T11:03:07.564+0200,21.05226268,42.70711943,113.11
2017-05-16T11:03:08.722+0200,21.05226268,42.70711943,117.07
2017-05-16T11:03:09.881+0200,21.05226267,42.70711943,122.41
2017-05-16T11:03:11.051+0200,21.05226266,42.70711943,121.99
