sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-18T19:49:54.080+0200,21.0519234,42.7074286,43.73
2017-05-18T19:49:55.256+0200,21.0519234,42.7074286,39.92
2017-05-18T19:49:56.389+0200,21.0519234,42.7074286,38.71
2017-05-18T19:49:57.589+0200,21.0519234,42.7074286,36.77
2017-05-18T19:49:58.721+0200,21.0519234,42.7074286,37.15
2017-05-18T19:49:59.881+0200,21.0519234,42.7074286,36.39
2017-05-18T19:50:01.024+0200,21.0519234,42.7074286,34.38
2017-05-18T19:50:02.234+0200,21.0519234,42.7074286,32.98
2017-05-18T19:50:03.373+0200,21.0519234,42.7074286,33.5
2017-05-18T19:50:04.546+0200,21.0519234,42.7074286,33.33
2017-05-18T19:50:05.800+0200,21.0519234,42.7074286,32.31
2017-05-18T19:50:06.945+0200,21.0519554,42.7073974,31.15
2017-05-18T19:50:08.081+0200,21.05202473,42.70737803,30.04
2017-05-18T19:50:09.231+0200,21.0520565,42.70741655,26.27
2017-05-18T19:50:10.365+0200,21.05206896,42.70744712,25.09
2017-05-18T19:50:11.574+0200,21.05203631,42.70743712,24.58
2017-05-18T19:50:12.707+0200,21.05204484,42.70743992,25.34
2017-05-18T19:50:13.889+0200,21.05204515,42.70743467,23.13
2017-05-18T19:50:15.067+0200,21.05204214,42.70743657,21.45
2017-05-18T19:50:16.213+0200,21.05203972,42.70742596,21.56
2017-05-18T19:50:17.395+0200,21.05204081,42.70741365,20.82
2017-05-18T19:50:18.536+0200,21.05203791,42.7074091,20.41
2017-05-18T19:50:19.730+0200,21.05204608,42.70739881,19.23
2017-05-18T19:50:20.908+0200,21.05205066,42.70739062,19.71
2017-05-18T19:50:22.063+0200,21.05205695,42.70738614,19.91
2017-05-18T19:50:23.217+0200,21.05206258,42.70737974,18.94
2017-05-18T19:50:24.376+0200,21.05206855,42.70736169,18.66
2017-05-18T19:50:25.553+0200,21.05207284,42.70735348,17.67
2017-05-18T19:50:26.720+0200,21.05208088,42.7073464,16.64
2017-05-18T19:50:27.912+0200,21.05208373,42.70734156,16.15
2017-05-18T19:50:29.023+0200,21.05208611,42.70733615,15.11
2017-05-18T19:50:30.206+0200,21.05208723,42.707332,14.79
2017-05-18T19:50:31.396+0200,21.05210655,42.7073184,14.18
2017-05-18T19:50:32.602+0200,21.05211353,42.70731354,14.41
2017-05-18T19:50:33.761+0200,21.05211964,42.70730751,15.18
2017-05-18T19:50:34.887+0200,21.0521205,42.70730573,15.82
2017-05-18T19:50:36.018+0200,21.05212908,42.70730274,15.26
2017-05-18T19:50:37.214+0200,21.05213586,42.70729543,14.79
2017-05-18T19:50:38.369+0200,21.05214928,42.70728591,15.18
2017-05-18T19:50:39.610+0200,21.05215713,42.70728044,15.03
2017-05-18T19:50:40.716+0200,21.05216095,42.707275,14.56
2017-05-18T19:50:41.888+0200,21.05217075,42.70726769,14.56
2017-05-18T19:50:43.047+0200,21.05217839,42.70726058,14.79
2017-05-18T19:50:44.221+0200,21.05218439,42.70725522,15.42
2017-05-18T19:50:45.467+0200,21.05220458,42.7072376,15.5
2017-05-18T19:50:46.558+0200,21.0522119,42.70723377,15.5
2017-05-18T19:50:47.692+0200,21.05222106,42.70723013,15.26
2017-05-18T19:50:48.889+0200,21.05222646,42.70722718,14.79
2017-05-18T19:50:50.021+0200,21.05223271,42.7072217,14.1
2017-05-18T19:50:51.232+0200,21.05223835,42.70721606,14.1
2017-05-18T19:50:52.349+0200,21.05223892,42.7072133,14.18
2017-05-18T19:50:53.572+0200,21.05224322,42.70720407,14.95
2017-05-18T19:50:54.666+0200,21.05225081,42.7072015,14.87
2017-05-18T19:50:55.876+0200,21.05225391,42.70719434,14.79
2017-05-18T19:50:57.028+0200,21.05225287,42.70718767,15.18
2017-05-18T19:50:58.206+0200,21.05225679,42.70718404,14.79
2017-05-18T19:50:59.406+0200,21.05226289,42.70717806,14.1
2017-05-18T19:51:00.517+0200,21.05226667,42.70717464,14.41
2017-05-18T19:51:01.741+0200,21.05226942,42.70716734,14.33
2017-05-18T19:51:02.896+0200,21.05227521,42.70716253,14.41
2017-05-18T19:51:04.028+0200,21.05227891,42.7071559,13.57
2017-05-18T19:51:05.184+0200,21.05228389,42.7071495,13.8
2017-05-18T19:51:06.360+0200,21.0522893,42.70714353,13.65
2017-05-18T19:51:07.539+0200,21.05229306,42.70713017,13.05
2017-05-18T19:51:08.694+0200,21.05229217,42.70712697,12.67
2017-05-18T19:51:09.911+0200,21.05229527,42.70712191,12.6
2017-05-18T19:51:11.061+0200,21.05230007,42.70711887,12.0
2017-05-18T19:51:12.222+0200,21.05230742,42.7071176,11.93
2017-05-18T19:51:13.368+0200,21.05231797,42.70711041,11.41
2017-05-18T19:51:14.542+0200,21.05232267,42.7071061,11.41
2017-05-18T19:51:15.696+0200,21.0523241,42.70710428,11.63
2017-05-18T19:51:16.864+0200,21.05232216,42.70710325,10.82
2017-05-18T19:51:18.013+0200,21.05231915,42.70709967,11.71
2017-05-18T19:51:19.210+0200,21.05231475,42.70709196,12.45
2017-05-18T19:51:20.346+0200,21.05230802,42.70708528,13.34
2017-05-18T19:51:21.526+0200,21.05229442,42.70708069,12.82
