sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-29T18:51:45.601+0200,21.05054555,42.70753183,13.19
2017-05-29T18:51:46.741+0200,21.05054561,42.70753182,13.12
2017-05-29T18:51:47.975+0200,21.05054569,42.70753179,12.82
2017-05-29T18:51:49.096+0200,21.05054572,42.70753189,12.3
2017-05-29T18:51:50.238+0200,21.05053911,42.70754245,11.71
2017-05-29T18:51:51.443+0200,21.05055872,42.70754441,11.93
2017-05-29T18:51:52.573+0200,21.05056238,42.70754891,12.15
2017-05-29T18:51:53.735+0200,21.05055335,42.70755086,11.86
2017-05-29T18:51:54.925+0200,21.05055206,42.70754785,11.56
2017-05-29T18:51:56.076+0200,21.05055312,42.70754928,10.89
2017-05-29T18:51:57.279+0200,21.05055148,42.70755516,10.6
2017-05-29T18:51:58.411+0200,21.05054904,42.70755323,11.04
2017-05-29T18:51:59.581+0200,21.05054764,42.70755103,10.45
2017-05-29T18:52:00.768+0200,21.05054853,42.70755269,10.37
2017-05-29T18:52:01.899+0200,21.05054945,42.70755352,10.45
2017-05-29T18:52:03.129+0200,21.05054652,42.70755268,11.41
2017-05-29T18:52:04.240+0200,21.05054393,42.70755172,11.56
2017-05-29T18:52:05.385+0200,21.05054488,42.70754886,12.3
2017-05-29T18:52:06.571+0200,21.050551,42.70755315,12.15
2017-05-29T18:52:07.747+0200,21.0505517,42.70755547,12.38
2017-05-29T18:52:08.979+0200,21.05055173,42.70755516,12.6
2017-05-29T18:52:10.058+0200,21.05054787,42.70755632,11.78
2017-05-29T18:52:11.229+0200,21.05054442,42.7075577,12.23
2017-05-29T18:52:12.391+0200,21.05051995,42.7075586,12.38
2017-05-29T18:52:13.569+0200,21.0505109,42.70756555,12.0
2017-05-29T18:52:14.831+0200,21.05049653,42.70756873,11.49
2017-05-29T18:52:15.904+0200,21.05048164,42.70757243,11.78
2017-05-29T18:52:17.055+0200,21.05047094,42.70757443,12.52
2017-05-29T18:52:18.228+0200,21.0504619,42.70757607,13.49
2017-05-29T18:52:19.418+0200,21.0504487,42.70758221,13.42
2017-05-29T18:52:20.679+0200,21.05043986,42.70758147,13.05
2017-05-29T18:52:21.777+0200,21.05044207,42.7075808,13.57
2017-05-29T18:52:22.885+0200,21.05044084,42.70758101,13.57
2017-05-29T18:52:24.033+0200,21.05043166,42.70758411,14.1
2017-05-29T18:52:25.242+0200,21.05041935,42.70758592,14.02
2017-05-29T18:52:26.392+0200,21.05039954,42.70759104,13.87
2017-05-29T18:52:27.605+0200,21.05038891,42.70759345,13.8
2017-05-29T18:52:28.728+0200,21.05037423,42.70759479,13.19
2017-05-29T18:52:29.886+0200,21.05036266,42.70759833,12.9
2017-05-29T18:52:31.088+0200,21.05034759,42.707599,13.12
2017-05-29T18:52:32.224+0200,21.05033528,42.70760102,12.6
2017-05-29T18:52:33.425+0200,21.05031397,42.70760722,12.67
2017-05-29T18:52:34.552+0200,21.05030033,42.70759867,12.75
2017-05-29T18:52:35.732+0200,21.0502906,42.70760394,13.19
2017-05-29T18:52:36.899+0200,21.05027672,42.70760469,14.33
2017-05-29T18:52:38.043+0200,21.05026056,42.70760368,15.26
2017-05-29T18:52:39.221+0200,21.05025069,42.70760415,15.98
2017-05-29T18:52:40.399+0200,21.05022855,42.7076084,16.81
2017-05-29T18:52:41.560+0200,21.05021747,42.70760919,17.58
2017-05-29T18:52:42.720+0200,21.05020514,42.70761042,17.5
2017-05-29T18:52:43.900+0200,21.05019114,42.70760883,18.3
2017-05-29T18:52:45.066+0200,21.05017982,42.70760949,18.12
2017-05-29T18:52:46.252+0200,21.05016777,42.70760832,17.94
2017-05-29T18:52:47.376+0200,21.05013239,42.70760616,17.67
2017-05-29T18:52:48.570+0200,21.05012155,42.70760824,18.94
2017-05-29T18:52:49.690+0200,21.05011126,42.70760985,20.01
2017-05-29T18:52:50.893+0200,21.05009739,42.70760833,19.91
2017-05-29T18:52:52.058+0200,21.05007991,42.70761167,19.81
2017-05-29T18:52:53.225+0200,21.05006376,42.70761453,18.94
2017-05-29T18:52:54.395+0200,21.0500363,42.70761557,19.91
2017-05-29T18:52:55.556+0200,21.05002137,42.70761663,19.51
2017-05-29T18:52:56.693+0200,21.05000703,42.70761743,18.48
2017-05-29T18:52:57.884+0200,21.04999208,42.70761722,18.21
2017-05-29T18:52:59.076+0200,21.04997864,42.7076156,18.3
2017-05-29T18:53:00.263+0200,21.04995253,42.70761294,18.12
2017-05-29T18:53:01.366+0200,21.04994031,42.70760739,18.66
2017-05-29T18:53:02.567+0200,21.04992525,42.70760648,19.13
2017-05-29T18:53:03.709+0200,21.04991166,42.70760202,19.04
2017-05-29T18:53:04.920+0200,21.04989788,42.70759787,18.66
2017-05-29T18:53:06.050+0200,21.0498822,42.70759421,17.94
2017-05-29T18:53:07.209+0200,21.049872,42.70758786,18.57
2017-05-29T18:53:08.359+0200,21.04985301,42.7075764,18.76
2017-05-29T18:53:09.536+0200,21.04984475,42.70757499,17.67
2017-05-29T18:53:10.707+0200,21.04982985,42.70757068,18.12
2017-05-29T18:53:11.930+0200,21.04981972,42.70756727,17.67
2017-05-29T18:53:13.080+0200,21.04980616,42.70756267,17.24
