sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-29T11:32:06.237+0200,21.04687632,42.70574429,1.59
2017-05-29T11:32:07.423+0200,21.04687853,42.70574198,1.82
2017-05-29T11:32:08.664+0200,21.04687861,42.70573559,1.65
2017-05-29T11:32:09.769+0200,21.04690702,42.70571576,1.59
2017-05-29T11:32:10.909+0200,21.04692849,42.70571761,1.59
2017-05-29T11:32:12.090+0200,21.04694478,42.70573533,1.43
2017-05-29T11:32:13.280+0200,21.04695184,42.70573472,1.38
2017-05-29T11:32:14.414+0200,21.04695796,42.7057393,1.27
2017-05-29T11:32:15.609+0200,21.04696452,42.70573761,1.17
2017-05-29T11:32:16.760+0200,21.04697776,42.70573605,1.27
2017-05-29T11:32:17.948+0200,21.04701508,42.70574101,1.54
2017-05-29T11:32:19.098+0200,21.04701508,42.70574101,1.94
2017-05-29T11:32:20.255+0200,21.0470309,42.70574302,1.7
2017-05-29T11:32:21.454+0200,21.04704496,42.70575256,1.88
2017-05-29T11:32:22.590+0200,21.04705691,42.70575181,1.94
2017-05-29T11:32:23.706+0200,21.04706322,42.70575533,1.94
2017-05-29T11:32:24.936+0200,21.04707969,42.70576009,1.7
2017-05-29T11:32:26.120+0200,21.04709036,42.70575982,1.94
2017-05-29T11:32:27.249+0200,21.04708831,42.705759,2.19
2017-05-29T11:32:28.405+0200,21.04708784,42.70575822,2.06
2017-05-29T11:32:29.633+0200,21.04708835,42.70575714,1.88
2017-05-29T11:32:30.716+0200,21.04710945,42.70576515,1.76
2017-05-29T11:32:31.910+0200,21.04712121,42.70576843,1.82
2017-05-29T11:32:33.089+0200,21.04714282,42.70576833,1.65
2017-05-29T11:32:34.290+0200,21.04715363,42.70577035,1.59
2017-05-29T11:32:35.357+0200,21.04715976,42.70577362,1.65
2017-05-29T11:32:36.621+0200,21.04718098,42.70577986,2.19
2017-05-29T11:32:37.759+0200,21.0471814,42.70578388,2.19
2017-05-29T11:32:38.941+0200,21.04718029,42.70579951,2.64
2017-05-29T11:32:40.084+0200,21.04720799,42.70578227,2.91
2017-05-29T11:32:41.234+0200,21.04722508,42.70578297,2.71
2017-05-29T11:32:42.440+0200,21.04722011,42.70579227,2.84
2017-05-29T11:32:43.588+0200,21.04723235,42.70579416,2.51
2017-05-29T11:32:44.751+0200,21.04724513,42.70579729,2.25
2017-05-29T11:32:45.926+0200,21.04725472,42.70579914,2.0
2017-05-29T11:32:47.051+0200,21.04727303,42.70580348,1.88
2017-05-29T11:32:48.242+0200,21.04729328,42.70581134,2.0
2017-05-29T11:32:49.390+0200,21.04729623,42.7058119,1.82
2017-05-29T11:32:50.540+0200,21.04730444,42.70580981,1.7
2017-05-29T11:32:51.732+0200,21.04731262,42.70580764,1.54
2017-05-29T11:32:52.902+0200,21.0473201,42.70580902,1.76
2017-05-29T11:32:54.057+0200,21.04733197,42.7058044,2.25
2017-05-29T11:32:55.207+0200,21.04734269,42.70580879,2.31
2017-05-29T11:32:56.361+0200,21.04735299,42.70581284,2.51
2017-05-29T11:32:57.570+0200,21.04736287,42.70581792,2.77
2017-05-29T11:32:58.720+0200,21.04737229,42.70581981,2.51
2017-05-29T11:32:59.947+0200,21.04738824,42.70583355,2.57
2017-05-29T11:33:01.046+0200,21.04739541,42.70583323,2.57
2017-05-29T11:33:02.239+0200,21.04740579,42.70583574,3.33
2017-05-29T11:33:03.394+0200,21.04741417,42.70583967,3.05
2017-05-29T11:33:04.549+0200,21.04742432,42.70584239,3.69
2017-05-29T11:33:05.748+0200,21.04743421,42.70584419,4.06
2017-05-29T11:33:06.885+0200,21.04744076,42.70584544,4.13
2017-05-29T11:33:08.040+0200,21.04745834,42.70585034,3.76
2017-05-29T11:33:09.228+0200,21.04746649,42.70585352,3.91
2017-05-29T11:33:10.373+0200,21.04747662,42.70585637,4.28
2017-05-29T11:33:11.558+0200,21.047484,42.70585845,4.06
2017-05-29T11:33:12.706+0200,21.04749587,42.70585863,3.83
2017-05-29T11:33:13.866+0200,21.0475024,42.70585815,3.98
2017-05-29T11:33:15.040+0200,21.04751099,42.70586619,3.98
2017-05-29T11:33:16.186+0200,21.0475221,42.70586857,3.91
2017-05-29T11:33:17.376+0200,21.04752592,42.70587152,3.47
2017-05-29T11:33:18.576+0200,21.04753064,42.70587348,3.12
2017-05-29T11:33:19.666+0200,21.04753586,42.70587583,2.77
2017-05-29T11:33:20.898+0200,21.04754008,42.70588047,2.84
2017-05-29T11:33:22.005+0200,21.04755834,42.70588264,2.51
2017-05-29T11:33:23.229+0200,21.04757346,42.70588086,2.57
2017-05-29T11:33:24.385+0200,21.04758237,42.70588413,2.31
2017-05-29T11:33:25.529+0200,21.04759066,42.70588781,2.06
2017-05-29T11:33:26.694+0200,21.04760544,42.70588711,1.94
2017-05-29T11:33:27.873+0200,21.04761335,42.70589313,2.19
2017-05-29T11:33:28.987+0200,21.04763911,42.70589746,2.31
2017-05-29T11:33:30.174+0200,21.04764147,42.7059032,2.06
2017-05-29T11:33:31.391+0200,21.04765087,42.70590593,1.88
2017-05-29T11:33:32.533+0200,21.04766214,42.70591099,1.82
2017-05-29T11:33:33.684+0200,21.04767563,42.70590927,2.19
