sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-30T18:53:12.423+0200,21.05209608,42.70734137,14.02
2017-05-30T18:53:13.619+0200,21.05209609,42.70734135,13.8
2017-05-30T18:53:14.804+0200,21.05209609,42.70734131,14.79
2017-05-30T18:53:15.940+0200,21.05209609,42.70734129,14.95
2017-05-30T18:53:17.083+0200,21.05209613,42.70734132,15.34
2017-05-30T18:53:18.269+0200,21.05209616,42.70734132,14.48
2017-05-30T18:53:19.434+0200,21.05209617,42.70734132,14.64
2017-05-30T18:53:20.618+0200,21.05209936,42.70734172,14.64
2017-05-30T18:53:21.761+0200,21.05210524,42.70733949,14.64
2017-05-30T18:53:22.975+0200,21.05210985,42.70733827,14.1
2017-05-30T18:53:24.135+0200,21.05211372,42.70733064,13.12
2017-05-30T18:53:25.278+0200,21.05211417,42.70733094,13.65
2017-05-30T18:53:26.448+0200,21.05211819,42.70733215,13.65
2017-05-30T18:53:27.601+0200,21.05212216,42.70732329,13.57
2017-05-30T18:53:28.769+0200,21.05212916,42.7073173,13.19
2017-05-30T18:53:29.954+0200,21.05213536,42.70731154,12.23
2017-05-30T18:53:31.075+0200,21.05214589,42.70729532,11.49
2017-05-30T18:53:32.308+0200,21.05215387,42.70728873,11.41
2017-05-30T18:53:33.423+0200,21.05216277,42.70728284,12.0
2017-05-30T18:53:34.588+0200,21.05216592,42.70727372,11.78
2017-05-30T18:53:35.780+0200,21.05216997,42.70726508,11.93
2017-05-30T18:53:36.941+0200,21.05217667,42.70725864,13.34
2017-05-30T18:53:38.098+0200,21.05218778,42.70724544,13.57
2017-05-30T18:53:39.244+0200,21.05219466,42.70723833,13.65
2017-05-30T18:53:40.430+0200,21.05220429,42.70723309,13.57
2017-05-30T18:53:41.572+0200,21.05221223,42.707227,13.34
2017-05-30T18:53:42.765+0200,21.05222125,42.70722036,12.82
2017-05-30T18:53:43.925+0200,21.05222379,42.70721334,12.9
2017-05-30T18:53:45.111+0200,21.05223422,42.70719911,13.72
2017-05-30T18:53:46.267+0200,21.05223064,42.70719777,15.42
2017-05-30T18:53:47.421+0200,21.05223154,42.70719653,15.74
2017-05-30T18:53:48.590+0200,21.05223291,42.70719587,14.79
2017-05-30T18:53:49.774+0200,21.05223237,42.70719305,15.34
2017-05-30T18:53:50.930+0200,21.05223065,42.70718706,15.58
2017-05-30T18:53:52.068+0200,21.05222426,42.70718425,15.58
2017-05-30T18:53:53.271+0200,21.05222381,42.70718304,15.74
2017-05-30T18:53:54.424+0200,21.05222291,42.70718253,15.66
2017-05-30T18:53:55.628+0200,21.0522249,42.70717544,16.39
2017-05-30T18:53:56.739+0200,21.05222681,42.7071708,16.23
2017-05-30T18:53:57.916+0200,21.05223162,42.70716391,16.31
2017-05-30T18:53:59.121+0200,21.0522439,42.7071483,17.76
2017-05-30T18:54:00.268+0200,21.05224486,42.7071388,19.23
2017-05-30T18:54:01.413+0200,21.05224373,42.70713005,20.1
2017-05-30T18:54:02.603+0200,21.05224528,42.70711993,20.82
2017-05-30T18:54:03.732+0200,21.05224257,42.70711251,20.92
2017-05-30T18:54:04.969+0200,21.05223599,42.70710819,21.88
2017-05-30T18:54:06.098+0200,21.05222093,42.70709902,23.13
2017-05-30T18:54:07.272+0200,21.05220871,42.70709525,24.83
2017-05-30T18:54:08.407+0200,21.05219657,42.70708977,26.54
2017-05-30T18:54:09.578+0200,21.05218542,42.70708379,27.94
2017-05-30T18:54:10.817+0200,21.05217119,42.70708063,28.09
2017-05-30T18:54:11.911+0200,21.05216075,42.70707458,27.23
2017-05-30T18:54:13.089+0200,21.05213596,42.7070676,27.94
2017-05-30T18:54:14.250+0200,21.05212232,42.70706639,31.97
2017-05-30T18:54:15.419+0200,21.05211767,42.70706229,35.83
2017-05-30T18:54:16.667+0200,21.0521087,42.70705815,41.58
2017-05-30T18:54:17.739+0200,21.05210037,42.70705239,44.62
2017-05-30T18:54:18.915+0200,21.05208836,42.70704898,47.12
2017-05-30T18:54:20.101+0200,21.05206788,42.70704328,50.95
2017-05-30T18:54:21.250+0200,21.05206061,42.70703766,53.96
2017-05-30T18:54:22.397+0200,21.05205232,42.70703368,58.42
2017-05-30T18:54:23.639+0200,21.05204275,42.70702979,59.23
2017-05-30T18:54:24.772+0200,21.05203166,42.70702649,50.95
2017-05-30T18:54:25.974+0200,21.05202752,42.70701738,44.84
2017-05-30T18:54:27.101+0200,21.05200552,42.70699965,41.16
2017-05-30T18:54:28.256+0200,21.05199438,42.70698982,37.93
2017-05-30T18:54:29.398+0200,21.05198164,42.70698702,31.48
2017-05-30T18:54:30.575+0200,21.05196838,42.70698348,28.09
2017-05-30T18:54:31.699+0200,21.05195734,42.70697787,26.81
2017-05-30T18:54:32.931+0200,21.05194873,42.70698054,25.74
2017-05-30T18:54:34.105+0200,21.05194869,42.70698312,22.67
2017-05-30T18:54:35.248+0200,21.05194062,42.70698098,21.03
2017-05-30T18:54:36.418+0200,21.05192708,42.70697962,20.82
2017-05-30T18:54:37.612+0200,21.05191851,42.70698419,18.94
2017-05-30T18:54:38.721+0200,21.05191647,42.70698395,18.85
