sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-05-31T20:50:06.827+0200,21.05207939,42.70702821,40.74
2017-05-31T20:50:07.992+0200,21.05206861,42.70702432,43.95
2017-05-31T20:50:09.162+0200,21.05205849,42.70703003,44.17
2017-05-31T20:50:10.330+0200,21.0520591,42.70703464,45.74
2017-05-31T20:50:11.502+0200,21.05205153,42.70703089,45.74
2017-05-31T20:50:12.644+0200,21.05203411,42.70702884,45.29
2017-05-31T20:50:13.823+0200,21.05201511,42.70702604,46.89
2017-05-31T20:50:14.995+0200,21.05200569,42.70702442,44.17
2017-05-31T20:50:16.188+0200,21.0520021,42.70702095,44.4
2017-05-31T20:50:17.322+0200,21.05199412,42.70701627,45.74
2017-05-31T20:50:18.517+0200,21.05198715,42.7070106,47.36
2017-05-31T20:50:19.646+0200,21.0519733,42.70700623,48.54
2017-05-31T20:50:20.847+0200,21.05195918,42.70700781,46.2
2017-05-31T20:50:21.963+0200,21.05195888,42.70700306,49.49
2017-05-31T20:50:23.156+0200,21.0519589,42.70700062,53.45
2017-05-31T20:50:24.360+0200,21.05196451,42.70699762,50.95
2017-05-31T20:50:25.517+0200,21.05196688,42.7069956,51.94
2017-05-31T20:50:26.672+0200,21.05196646,42.70699882,54.47
2017-05-31T20:50:27.859+0200,21.05196707,42.70700321,53.45
2017-05-31T20:50:29.002+0200,21.0519685,42.70700439,54.73
2017-05-31T20:50:30.164+0200,21.05197296,42.70700325,61.14
2017-05-31T20:50:31.328+0200,21.05197349,42.70700237,54.73
2017-05-31T20:50:32.514+0200,21.05197037,42.70700293,53.96
2017-05-31T20:50:33.671+0200,21.05196807,42.7070031,55.25
2017-05-31T20:50:34.829+0200,21.05196584,42.70700414,55.25
2017-05-31T20:50:36.029+0200,21.05196426,42.70700308,53.71
2017-05-31T20:50:37.186+0200,21.05196459,42.70700339,54.99
2017-05-31T20:50:38.319+0200,21.05196437,42.70700346,49.25
2017-05-31T20:50:39.510+0200,21.05196403,42.7070035,53.71
2017-05-31T20:50:40.646+0200,21.05196387,42.7070034,53.71
2017-05-31T20:50:41.806+0200,21.0519638,42.70700339,55.77
2017-05-31T20:50:42.968+0200,21.05196377,42.7070034,56.56
2017-05-31T20:50:44.216+0200,21.05196374,42.70700339,56.29
2017-05-31T20:50:45.302+0200,21.05196374,42.70700341,56.29
2017-05-31T20:50:46.493+0200,21.05196372,42.70700341,58.15
2017-05-31T20:50:47.626+0200,21.05196372,42.70700342,58.69
2017-05-31T20:50:48.832+0200,21.05196371,42.70700342,63.09
2017-05-31T20:50:50.023+0200,21.0519637,42.7070034,65.07
2017-05-31T20:50:51.184+0200,21.05196369,42.70700341,65.65
2017-05-31T20:50:52.288+0200,21.05196368,42.70700341,67.97
2017-05-31T20:50:53.491+0200,21.05196366,42.7070034,70.33
2017-05-31T20:50:54.652+0200,21.05196362,42.70700342,70.03
2017-05-31T20:50:55.815+0200,21.05197058,42.7070011,71.22
2017-05-31T20:50:56.993+0200,21.05196688,42.70700143,73.34
2017-05-31T20:50:58.179+0200,21.05197016,42.70700624,77.97
2017-05-31T20:50:59.301+0200,21.05197147,42.70701001,75.79
2017-05-31T20:51:00.506+0200,21.05197642,42.70701061,77.66
2017-05-31T20:51:01.638+0200,21.05197283,42.70701265,77.66
2017-05-31T20:51:02.816+0200,21.05197074,42.70701529,72.13
2017-05-31T20:51:03.987+0200,21.05197137,42.7070165,70.92
2017-05-31T20:51:05.153+0200,21.05197334,42.70701746,71.22
2017-05-31T20:51:06.301+0200,21.05197545,42.70701715,69.44
2017-05-31T20:51:07.506+0200,21.05197432,42.70701877,68.55
2017-05-31T20:51:08.623+0200,21.0519726,42.70701735,69.73
2017-05-31T20:51:09.817+0200,21.05196686,42.70701802,70.63
2017-05-31T20:51:10.989+0200,21.05196643,42.70701729,70.03
2017-05-31T20:51:12.167+0200,21.05196639,42.70701727,73.03
2017-05-31T20:51:12.867+0200,21.05196621,42.70701734,71.82
2017-05-31T20:51:14.076+0200,21.05196609,42.7070173,71.22
2017-05-31T20:51:15.205+0200,21.05196602,42.70701737,71.52
2017-05-31T20:51:16.368+0200,21.05196597,42.70701743,76.1
2017-05-31T20:51:17.565+0200,21.05196596,42.70701743,80.5
2017-05-31T20:51:18.694+0200,21.05196595,42.70701744,77.66
2017-05-31T20:51:19.882+0200,21.05196595,42.70701743,80.18
2017-05-31T20:51:21.061+0200,21.05196595,42.70701743,76.41
2017-05-31T20:51:22.195+0200,21.05196596,42.70701743,76.72
2017-05-31T20:51:23.397+0200,21.05196595,42.70701745,74.87
2017-05-31T20:51:24.509+0200,21.05196595,42.70701745,73.95
2017-05-31T20:51:25.725+0200,21.05196597,42.70701745,76.41
2017-05-31T20:51:26.902+0200,21.05196597,42.70701747,75.79
2017-05-31T20:51:28.058+0200,21.05196598,42.70701746,76.72
2017-05-31T20:51:29.211+0200,21.05196584,42.70701731,74.56
2017-05-31T20:51:30.416+0200,21.05196585,42.7070173,75.79
2017-05-31T20:51:31.540+0200,21.05196585,42.7070173,75.79
2017-05-31T20:51:32.741+0200,21.05196585,42.7070173,73.64
