sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-06-07T10:11:09.439+0200,21.16237825,42.66177826,22.9
2017-06-07T10:11:10.660+0200,21.16236811,42.66177802,23.13
2017-06-07T10:11:11.777+0200,21.16236581,42.66178022,22.22
2017-06-07T10:11:12.945+0200,21.1623711,42.66177805,21.99
2017-06-07T10:11:14.108+0200,21.16237272,42.66177276,23.01
2017-06-07T10:11:15.417+0200,21.162371,42.66177014,22.67
2017-06-07T10:11:16.460+0200,21.16237065,42.66176925,22.22
2017-06-07T10:11:17.598+0200,21.1623706,42.66176869,21.45
2017-06-07T10:11:18.790+0200,21.16237087,42.66176859,20.71
2017-06-07T10:11:19.905+0200,21.16237072,42.66176857,22.22
2017-06-07T10:11:21.107+0200,21.16237075,42.66176852,23.36
2017-06-07T10:11:22.263+0200,21.16237068,42.66176838,23.48
2017-06-07T10:11:23.481+0200,21.16237064,42.66176828,23.48
2017-06-07T10:11:24.617+0200,21.16237053,42.66176808,23.36
2017-06-07T10:11:25.776+0200,21.16237045,42.66176792,23.84
2017-06-07T10:11:26.948+0200,21.16237041,42.6617679,23.25
2017-06-07T10:11:28.104+0200,21.16237035,42.66176776,23.01
2017-06-07T10:11:29.258+0200,21.16237037,42.66176767,21.67
2017-06-07T10:11:30.437+0200,21.16237033,42.66176749,21.13
2017-06-07T10:11:31.647+0200,21.16237025,42.66176743,20.92
2017-06-07T10:11:32.823+0200,21.16237022,42.6617674,21.67
2017-06-07T10:11:33.944+0200,21.1623703,42.66176748,23.48
2017-06-07T10:11:35.126+0200,21.16237028,42.66176754,23.84
2017-06-07T10:11:36.275+0200,21.16237024,42.6617675,25.09
2017-06-07T10:11:37.428+0200,21.16237026,42.66176729,25.6
2017-06-07T10:11:38.585+0200,21.1623703,42.66176714,26.0
2017-06-07T10:11:39.806+0200,21.16237031,42.66176705,26.0
2017-06-07T10:11:40.946+0200,21.1623703,42.66176694,25.47
2017-06-07T10:11:42.108+0200,21.16237016,42.66176689,24.83
2017-06-07T10:11:43.277+0200,21.16237008,42.66176676,23.01
2017-06-07T10:11:44.443+0200,21.16236999,42.66176653,22.67
2017-06-07T10:11:45.623+0200,21.16236984,42.66176638,22.44
2017-06-07T10:11:46.743+0200,21.16236978,42.66176621,23.01
2017-06-07T10:11:47.958+0200,21.16236968,42.66176592,23.25
2017-06-07T10:11:49.103+0200,21.1623696,42.66176578,23.36
2017-06-07T10:11:50.284+0200,21.16236949,42.6617657,24.21
2017-06-07T10:11:51.432+0200,21.16236938,42.6617655,24.83
2017-06-07T10:11:52.618+0200,21.16236924,42.66176538,24.58
2017-06-07T10:11:53.740+0200,21.1623691,42.66176522,24.96
2017-06-07T10:11:54.930+0200,21.16236895,42.66176493,25.34
2017-06-07T10:11:56.087+0200,21.16236891,42.6617649,23.84
2017-06-07T10:11:57.264+0200,21.16236886,42.66176488,23.48
2017-06-07T10:11:58.438+0200,21.16236878,42.6617648,23.25
2017-06-07T10:11:59.607+0200,21.16236876,42.66176467,23.6
2017-06-07T10:12:00.758+0200,21.16236867,42.66176461,23.48
2017-06-07T10:12:01.939+0200,21.16236862,42.66176453,22.1
2017-06-07T10:12:03.083+0200,21.16236858,42.66176441,21.67
2017-06-07T10:12:04.261+0200,21.16236857,42.66176427,21.56
2017-06-07T10:12:05.453+0200,21.16236851,42.66176416,20.51
2017-06-07T10:12:06.581+0200,21.16236847,42.66176409,20.2
2017-06-07T10:12:07.773+0200,21.16236841,42.66176403,19.91
2017-06-07T10:12:08.911+0200,21.16236821,42.66176388,20.92
2017-06-07T10:12:10.087+0200,21.16236808,42.66176386,21.24
2017-06-07T10:12:11.271+0200,21.16236793,42.66176378,21.13
2017-06-07T10:12:12.423+0200,21.16236781,42.66176372,19.81
2017-06-07T10:12:13.603+0200,21.16236778,42.66176368,20.31
2017-06-07T10:12:14.804+0200,21.16236765,42.66176357,20.31
2017-06-07T10:12:15.955+0200,21.16236745,42.66176343,20.01
2017-06-07T10:12:17.109+0200,21.16236736,42.66176338,18.85
2017-06-07T10:12:18.273+0200,21.16236734,42.66176332,18.3
2017-06-07T10:12:19.429+0200,21.16236726,42.66176322,19.23
2017-06-07T10:12:20.582+0200,21.16236717,42.66176317,19.71
2017-06-07T10:12:21.756+0200,21.16236708,42.66176309,19.81
2017-06-07T10:12:22.923+0200,21.16236689,42.6617628,20.51
2017-06-07T10:12:24.095+0200,21.16236687,42.6617628,21.45
2017-06-07T10:12:25.252+0200,21.16236683,42.66176273,20.71
2017-06-07T10:12:26.397+0200,21.16236671,42.66176266,20.31
2017-06-07T10:12:27.578+0200,21.16236663,42.66176256,20.71
2017-06-07T10:12:28.765+0200,21.16236655,42.66176254,22.22
2017-06-07T10:12:29.893+0200,21.16236651,42.66176258,21.77
2017-06-07T10:12:31.127+0200,21.16236642,42.66176257,21.24
2017-06-07T10:12:32.256+0200,21.16236639,42.66176256,20.82
2017-06-07T10:12:33.423+0200,21.16236629,42.66176252,19.91
2017-06-07T10:12:34.563+0200,21.16236629,42.66176251,19.51
2017-06-07T10:12:35.768+0200,21.16236624,42.6617625,20.1
